orbit,weight,global_packings,anchored_packings,both_orientations,reflection_fixed,status
660,1941306,14928,7464,0,0,unresolved
661,1941262,25996,12998,0,0,unresolved
662,1941246,10338,5169,0,0,unresolved
663,1941244,5775,2893,11,1,unresolved
664,1941230,6571,3302,33,3,unresolved
665,1941027,13627,6828,29,1,unresolved
666,1940936,7024,3512,0,0,unresolved
667,1940917,23672,11836,0,0,unresolved
668,1940851,23142,11571,0,0,unresolved
669,1940835,31366,15683,0,0,unresolved
670,1940801,30723,15479,235,9,unresolved
671,1940801,4164,2082,0,0,unresolved
672,1940794,2066,1033,0,0,unresolved
673,1940777,24590,12295,0,0,unresolved
674,1940771,18130,9065,0,0,unresolved
675,1940751,17478,8739,0,0,unresolved
676,1940750,11362,5711,60,6,unresolved
677,1940742,4264,2132,0,0,unresolved
678,1940738,22780,11390,0,0,unresolved
679,1940727,18772,9386,0,0,unresolved
680,1940708,4900,2450,0,0,unresolved
681,1940645,6844,3422,0,0,unresolved
682,1940643,8866,4433,0,0,unresolved
683,1940624,19570,9785,0,0,unresolved
684,1940594,15358,7679,0,0,unresolved
685,1940592,5031,2522,13,3,unresolved
686,1940584,14074,7059,44,6,unresolved
687,1940480,8656,4328,0,0,unresolved
688,1940476,6757,3380,3,1,unresolved
689,1940447,6917,3461,5,1,unresolved
690,1940416,12146,6097,48,2,unresolved
691,1940398,17482,8741,0,0,unresolved
692,1940396,11210,5605,0,0,unresolved
693,1940378,15271,7687,103,7,unresolved
694,1940319,8316,4158,0,0,unresolved
695,1940314,20308,10154,0,0,unresolved
696,1940292,12952,6476,0,0,unresolved
697,1940271,6576,3288,0,0,unresolved
698,1940266,5166,2583,0,0,unresolved
699,1940262,21290,10645,0,0,unresolved
700,1940178,18116,9058,0,0,unresolved
701,1940174,25036,12518,0,0,unresolved
702,1940158,10432,5260,88,6,unresolved
703,1940148,9147,4595,43,1,unresolved
704,1940122,15722,7861,0,0,unresolved
705,1940093,20807,10476,145,5,unresolved
706,1940059,5598,2799,0,0,unresolved
707,1939967,14436,7269,102,2,unresolved
708,1939961,7257,3629,1,1,unresolved
709,1939893,6344,3172,0,0,unresolved
710,1939810,25240,12620,0,0,unresolved
711,1939795,21558,10858,158,4,unresolved
712,1939567,19116,9638,160,8,unresolved
713,1939559,5594,2797,0,0,unresolved
714,1939511,15409,7759,109,1,unresolved
715,1939495,14827,7453,79,5,unresolved
716,1939492,15790,7895,0,0,unresolved
717,1939469,5308,2654,0,0,unresolved
718,1939424,6278,3139,0,0,unresolved
719,1939379,10920,5460,0,0,unresolved
720,1939375,16810,8457,104,2,unresolved
721,1939374,2326,1163,0,0,unresolved
722,1939358,2236,1118,0,0,unresolved
723,1939352,13419,6729,39,3,unresolved
724,1939230,4232,2116,0,0,unresolved
725,1939220,16739,8423,107,5,unresolved
726,1939096,15344,7756,168,8,unresolved
727,1939095,11338,5669,0,0,unresolved
728,1939068,5010,2519,28,4,unresolved
729,1939052,7900,3950,0,0,unresolved
730,1939017,4548,2274,0,0,unresolved
731,1938996,8988,4494,0,0,unresolved
732,1938943,9868,4961,54,4,unresolved
733,1938925,5164,2582,0,0,unresolved
734,1938918,18245,9177,109,5,unresolved
735,1938914,3852,1926,0,0,unresolved
736,1938894,10735,5399,63,3,unresolved
737,1938872,17552,8776,0,0,unresolved
738,1938836,5832,2916,0,0,unresolved
739,1938835,3241,1621,1,1,unresolved
740,1938827,3598,1799,0,0,unresolved
741,1938818,6572,3286,0,0,unresolved
742,1938813,17564,8782,0,0,unresolved
743,1938795,5446,2723,0,0,unresolved
744,1938789,6705,3368,31,5,unresolved
745,1938777,12398,6199,0,0,unresolved
746,1938726,9899,4989,79,5,unresolved
747,1938689,7287,3658,29,1,unresolved
748,1938655,8007,4008,9,1,unresolved
749,1938501,11172,5619,66,4,unresolved
750,1938498,5094,2547,0,0,unresolved
751,1938495,16066,8033,0,0,unresolved
752,1938463,4201,2104,7,1,unresolved
753,1938457,9000,4534,68,2,unresolved
754,1938425,3666,1833,0,0,unresolved
755,1938365,10610,5305,0,0,unresolved
756,1938361,9114,4579,44,2,unresolved
757,1938356,7636,3818,0,0,unresolved
758,1938347,13589,6865,141,5,unresolved
759,1938323,2584,1293,2,0,unresolved
760,1938306,7642,3821,0,0,unresolved
761,1938294,17059,8636,213,3,unresolved
762,1938211,5864,2932,0,0,unresolved
