kind	index	score	phases
cube	93	246	0110110211111101211120200101120002210120000100110120010210112100000222121010
cube	94	228	1110110211111101211120200101120002210120000100110120010210112100000222121010
cube	95	246	2110110211111101211120200101120002210120000100110120010210112100000222121010
cube	96	270	0210110211111101211120200101120002210120000100110120010210112100000222121010
cube	97	252	1210110211111101211120200101120002210120000100110120010210112100000222121010
cube	98	261	2210110211111101211120200101120002210120000100110120010210112100000222121010
cube	99	246	0020110211111101211120200101120002210120000100110120010210112100000222121010
cube	100	240	1020110211111101211120200101120002210120000100110120010210112100000222121010
cube	101	249	2020110211111101211120200101120002210120000100110120010210112100000222121010
cube	102	246	0120110211111101211120200101120002210120000100110120010210112100000222121010
cube	103	237	1120110211111101211120200101120002210120000100110120010210112100000222121010
cube	104	252	2120110211111101211120200101120002210120000100110120010210112100000222121010
cube	105	249	0220110211111101211120200101120002210120000100110120010210112100000222121010
cube	106	240	1220110211111101211120200101120002210120000100110120010210112100000222121010
cube	107	252	2220110211111101211120200101120002210120000100110120010210112100000222121010
cube	108	279	0001110211111101211120200101120002210120000100110120010210112100000222121010
cube	109	276	1001110211111101211120200101120002210120000100110120010210112100000222121010
cube	110	297	2001110211111101211120200101120002210120000100110120010210112100000222121010
cube	111	294	0101110211111101211120200101120002210120000100110120010210112100000222121010
cube	112	285	1101110211111101211120200101120002210120000100110120010210112100000222121010
cube	113	318	2101110211111101211120200101120002210120000100110120010210112100000222121010
cube	114	297	0201110211111101211120200101120002210120000100110120010210112100000222121010
cube	115	297	1201110211111101211120200101120002210120000100110120010210112100000222121010
cube	116	324	2201110211111101211120200101120002210120000100110120010210112100000222121010
cube	117	267	0011110211111101211120200101120002210120000100110120010210112100000222121010
cube	118	261	1011110211111101211120200101120002210120000100110120010210112100000222121010
cube	119	276	2011110211111101211120200101120002210120000100110120010210112100000222121010
cube	120	258	0111110211111101211120200101120002210120000100110120010210112100000222121010
cube	121	249	1111110211111101211120200101120002210120000100110120010210112100000222121010
cube	122	273	2111110211111101211120200101120002210120000100110120010210112100000222121010
cube	123	288	0211110211111101211120200101120002210120000100110120010210112100000222121010
cube	124	285	1211110211111101211120200101120002210120000100110120010210112100000222121010
cube	125	300	2211110211111101211120200101120002210120000100110120010210112100000222121010
cube	126	267	0021110211111101211120200101120002210120000100110120010210112100000222121010
cube	127	273	1021110211111101211120200101120002210120000100110120010210112100000222121010
cube	128	288	2021110211111101211120200101120002210120000100110120010210112100000222121010
cube	129	258	0121110211111101211120200101120002210120000100110120010210112100000222121010
cube	130	255	1121110211111101211120200101120002210120000100110120010210112100000222121010
cube	131	279	2121110211111101211120200101120002210120000100110120010210112100000222121010
cube	132	264	0221110211111101211120200101120002210120000100110120010210112100000222121010
cube	133	267	1221110211111101211120200101120002210120000100110120010210112100000222121010
cube	134	288	2221110211111101211120200101120002210120000100110120010210112100000222121010
cube	135	264	0002110211111101211120200101120002210120000100110120010210112100000222121010
cube	136	249	1002110211111101211120200101120002210120000100110120010210112100000222121010
cube	137	279	2002110211111101211120200101120002210120000100110120010210112100000222121010
cube	138	282	0102110211111101211120200101120002210120000100110120010210112100000222121010
cube	139	267	1102110211111101211120200101120002210120000100110120010210112100000222121010
cube	140	309	2102110211111101211120200101120002210120000100110120010210112100000222121010
cube	141	291	0202110211111101211120200101120002210120000100110120010210112100000222121010
cube	142	279	1202110211111101211120200101120002210120000100110120010210112100000222121010
cube	143	315	2202110211111101211120200101120002210120000100110120010210112100000222121010
cube	144	222	0012110211111101211120200101120002210120000100110120010210112100000222121010
cube	145	210	1012110211111101211120200101120002210120000100110120010210112100000222121010
cube	146	231	2012110211111101211120200101120002210120000100110120010210112100000222121010
cube	147	216	0112110211111101211120200101120002210120000100110120010210112100000222121010
cube	148	207	1112110211111101211120200101120002210120000100110120010210112100000222121010
cube	149	237	2112110211111101211120200101120002210120000100110120010210112100000222121010
cube	150	252	0212110211111101211120200101120002210120000100110120010210112100000222121010
cube	151	243	1212110211111101211120200101120002210120000100110120010210112100000222121010
cube	152	264	2212110211111101211120200101120002210120000100110120010210112100000222121010
cube	153	249	0022110211111101211120200101120002210120000100110120010210112100000222121010
cube	154	249	1022110211111101211120200101120002210120000100110120010210112100000222121010
cube	155	264	2022110211111101211120200101120002210120000100110120010210112100000222121010
cube	156	240	0122110211111101211120200101120002210120000100110120010210112100000222121010
cube	157	237	1122110211111101211120200101120002210120000100110120010210112100000222121010
cube	158	261	2122110211111101211120200101120002210120000100110120010210112100000222121010
cube	159	255	0222110211111101211120200101120002210120000100110120010210112100000222121010
cube	160	252	1222110211111101211120200101120002210120000100110120010210112100000222121010
cube	161	273	2222110211111101211120200101120002210120000100110120010210112100000222121010
cube	162	282	0000210211111101211120200101120002210120000100110120010210112100000222121010
cube	163	255	1000210211111101211120200101120002210120000100110120010210112100000222121010
cube	164	285	2000210211111101211120200101120002210120000100110120010210112100000222121010
cube	165	294	0100210211111101211120200101120002210120000100110120010210112100000222121010
cube	166	270	1100210211111101211120200101120002210120000100110120010210112100000222121010
cube	167	309	2100210211111101211120200101120002210120000100110120010210112100000222121010
cube	168	303	0200210211111101211120200101120002210120000100110120010210112100000222121010
cube	169	285	1200210211111101211120200101120002210120000100110120010210112100000222121010
