cycle_type	orbit_variables	fixed_orbits	moving_orbit_size	selected_fixed	selected_moving	source_cnf_sha256	exact_variables	exact_clauses	exact_bytes	exact_sha256	strengthened_variables	strengthened_clauses	strengthened_bytes	strengthened_sha256	union_deficit_clauses	pair_conflicts
3-3	264	0	3	0	12	1c393028684fe149152f08f4d62fed46a119143e321347d20fd29c8bc24340c6	32994	72358	1281798	eca820e432ea8230760cd255dc717c9dfe16efc38c3c3e7be1394ef187a89a6c	33954	75346	1331983	cff4caafc77c40ab605262e8ed1960c59811af9800bb3056dcd29e2d51485c51	2433	555
2-2-2	396	0	2	0	18	47d75c5ff9cdb6c45594e678af9caf8b6c0008fadffbbb9cd47d274adab3cc95	42410	91649	1627854	79a0049925720b6b901f87c5d27da6b866d743b074a32a36e58e484aa2e93253	44526	96570	1716322	42154274e1dadba649bd45d54873701505acc82a59d40d5cb404617802f57536	4897	24
