cycle_type	cnf_bytes	cnf_sha256	drat_bytes	drat_sha256	drat_trim_status
6	630150	844d2b1ee167af6dcb5584f0a6a02299640ab1f7b72b6f446b0ae000cd68ea24	4112362	e7ce0d434b770bb2a70c332e5072aa8651f27f1a8acf6b46087dd4937e7c0756	VERIFIED
5-1	720161	40fb79b98ed08fbec5556f52b84bdc0e967e0d8e056d801deb36ce98af8e82e0	6412691	4f1508019b65911a87ff1ea4fe8eeefed0ef2a7d7f6a72669a8d2fce748f3210	VERIFIED
4-1-1	597176	d7c83b78419be4832deaa2f31cbb12f85265da63a2342f43226908b294bafe3a	55504732	ed428edd723c4474e8005fa2c631e1e9d871a2d8f8793cee891dbf114df34e90	VERIFIED
3-2-1	612327	9ccd9a3f5a4117aac85cf2b9acb11fb7cc4f55a721d42b088c95d29d264878d0	4404311	72650601f392bf26ad0c0d7eca5af5fe18cabde90394bfe130668bf38d4c8b2b	VERIFIED
