0	255	1-0,1-2,0-5,2-3,3-4,5-6,6-7
1	160	1-0,1-2,0-5,2-3,2-4,5-6,6-7
2	83	1-0,1-2,0-5,2-3,2-4,5-6,5-7
3	144	1-0,1-2,1-4,0-5,2-3,5-6,6-7
4	85	1-0,1-2,1-4,0-5,2-3,5-6,5-7
5	77	1-0,1-2,1-4,0-5,0-7,2-3,5-6
6	136	1-0,1-2,0-4,0-7,2-3,4-5,5-6
7	97	1-0,1-2,0-4,2-3,4-5,4-6,4-7
8	89	1-0,1-2,0-4,0-7,2-3,4-5,4-6
9	104	1-0,1-2,0-4,0-6,2-3,4-5,6-7
10	81	1-0,1-2,0-4,0-6,0-7,2-3,4-5
11	58	1-0,1-2,1-3,1-4,1-5,0-6,6-7
12	52	1-0,1-2,1-3,1-4,0-5,5-6,5-7
13	54	1-0,1-2,1-3,1-4,0-5,0-7,5-6
14	31	1-0,1-2,1-3,1-4,0-5,0-6,0-7
15	48	1-0,1-2,1-3,0-4,0-7,4-5,4-6
16	61	1-0,1-2,1-3,0-4,0-6,4-5,6-7
17	50	1-0,1-2,1-3,0-4,0-6,0-7,4-5
18	33	1-0,1-2,1-3,0-4,0-5,0-6,0-7
19	57	1-0,1-2,0-3,0-5,0-7,3-4,5-6
20	46	1-0,1-2,0-3,0-5,0-6,0-7,3-4
21	35	1-0,1-2,0-3,0-4,0-5,0-6,0-7
22	22	1-0,0-2,0-3,0-4,0-5,0-6,0-7
