before	between	after	multinomial	remainder	minimum_l1_defect
0	2	5	21	14	7
0	5	2	21	14	7
1	1	5	42	14	14
1	2	4	105	35	35
1	4	2	105	35	35
1	5	1	42	14	14
2	0	5	21	14	7
2	1	4	105	35	35
2	2	3	210	140	70
2	3	2	210	140	70
2	4	1	105	35	35
2	5	0	21	14	7
3	2	2	210	140	70
4	1	2	105	35	35
4	2	1	105	35	35
5	0	2	21	14	7
5	1	1	42	14	14
5	2	0	21	14	7
