local_index	original_core_index	models	clauses	cnf_sha256	raw_proof_sha256	xz_proof_sha256
0	7922	15	13443	f6ed6be54eb3ad93ff9d98ab745a69b7033ffd3c8e52eab159ee3ddceda492fc	f9e6771a63bf702d1e351a28928a017c04b4b9e1c557a7947efd8459bd924115	60b5072b92ba5f4745afb2ee2a5dd65ee8ae0e818d78389639a20a6712d60eff
1	8782	6	13419	32a32b5fda34d13b2fcfdec5ccdc9c8c1a81c6e22bf62ba0beade4d1ea616cf7	21b799caa576d92512e6a8cd22fa58d7b6cb450f3ea5a4a8a14554bb5bef2366	b37ba18d023188d130e2b7e939ec9aa9e0658d33d6b74cb93c904836c0da7777
2	70011	7	13335	f91114f9ec3b4fc93a90735fecdbeef78af73571e9823b229deeb6f14b47b2a4	e9050f211720d8f5c436c5b5327e5d42c0c72c5497b0be9aa65c9cae9f2c33c6	6c884352f0b916786392e5fc7ec9b2561543875e170e69a1c7043c4c9ec4ea27
3	74679	6	13509	00ff25a842559c1296115a0acd4edd8363ce9aa217d117190d6a81c39d2a49a2	5f814dcc72a6aa2a48ecec781a4c8f9117234c92eb5a132af003b4212e57fee3	d6902edcc89969608a7cdb5d259740f18e138173419d770b22d3ccb381adf4df
4	133368	3	13368	4e597b03d4751883b395b3c92bd11b070f11127b16e3a60fe8ce4e094f36e409	9e70d27ace4ac07d24af6a8f490efc2ac3d139db49cf608a781deea107a32c78	3da7852e21ed40220f933f0ae494be156b6449381af7d85c6ec475951b9ef774
5	144561	4	13350	8ca8ff85a01b31df63e64c55b3b889506d6a45f5ff00960da13f801de77f2e2c	fd127b23a0b6117133b90b133b6d1d1bbeca4bf8e2a394661bb874b42a7dbae9	e591c59fb41436969987bee708813c4af490397d09fe9d0b24a16708c3bb7ae4
6	145043	3	13335	ca548bc4a7ca7af9cb54a7132ff4124c472aa3fe50d7b2f40ceeefc30973a18c	2afea75be687843aa6c5988a39932b3f43f7b60ac14a77039f6e6c308b6e37aa	c9b9ef53aac844df720ce5280549c7bd7d9bf2216b56ca91e1b5d3202d4eeb03
