core	model_a	model_b	model_c	edge_bits	color	old_pair_mask	old_pair_vertices	labeled_permutations
7922	005196eed7	00a269ddeb	3c0000ffff	7	K5	0000000081	0,7	6
8782	000b1953ff	16981099ff	c8270827bf	7	K5	0000000011	0,4	6
8782	000b1953ff	16981099ff	e8270827bf	7	K5	0000000011	0,4	6
70011	0338cf6ec7	037ac117bf	f8001db17f	0	I5	0001200000	21,24	6
74679	0003fccf3f	01c165e9fb	02c29ad6f7	0	I5	0014000000	26,28	6
133368	00b1e22fbd	2a242751fb	95c15ac357	7	K5	0000020010	4,17	6
144561	00f5c8b37b	0194f7cca7	bf402a07df	0	I5	4002000000	25,38	6
145043	031be14b6f	268a18a7bd	99146617f3	7	K5	0000000120	5,8	6
