source_index	toggle_count	clauses	coherent_five_sets	formula_sha256	core_bytes	core_sha256	proof_bytes	proof_sha256	solver_seconds	proof_check_seconds
186	21	56227	29926	856c211761accd3190a1ddd4fc0538ef04f6f3bba64a776ba950f22b388d4124	5460	bc820ec9a0efeaa0b950928ed7457c69e19acd66bab36a21c8af15206bfcb3aa	8048	c75f87e65656971fd62e31fd4ff94510f6f677ac9828dcbae1070950efc9fc0b	0.17294221898191608	0.3200597949908115
187	22	56154	29859	1ca462d6f75e94d528e94e6cc72bd299645ac372c128e2e68ad7435e3daccd7d	4831	2ea8fd08bc2df9b9fd6cb55a53c77269b428f6f4455a77c99b0337247f74fe7a	6889	0c4906060d40224bb1edb50d327f76de07c28a49830a510aab5a42aff155077b	0.11296064101043157	0.2647537349839695
188	17	56186	29872	2ba25a0b3238fdcbbc18ba9fcbd0471c516455b76cd4e60b9eaf91722c665f1b	6274	39e336052ca51e25663ef0ecbe8f8430e4f13b9633db4d63a43050605cf07bc2	8554	8e33ce6fd6b8c00761a18926befc179b70ebb811e31f8953159e76c29daf0c89	0.13853366402327083	0.2695758230111096
189	14	57018	30346	54123727a41c0ccb924b9d274d5736d20c676892d15186b987718d80acd6ea59	5811	8354913aa77bc0c3f6a07ebae26b57bb2702177dc628e2e854981a20be5731cb	8318	e1fb350a5ab6323f6c45597a48a9431f8cfd3d7dfccf7c84a83e65d8233e7201	0.22041881902259775	0.30047267000190914
190	15	56842	30268	352771548563f0bcf641368981afac9a656e0d93c2ccdee6da1b1e6acae224d3	6952	6266ea7ad788ab8f60aefce029241942e5b9d24d4cadc3b6748efd24a337b7ce	10294	aeac03fec282dd61c676b376f707fda7f56b9920f0f7950fbf1980367c98471e	0.1144282319874037	0.29476777199306525
191	15	56794	30263	c6a3a915dc109d9e3db1c6b761317492e59463a8e295d2ac449ca598bbfc1606	6326	46a71038f66dc7e8c96bc2647a4fe73b33182aa60fbda7510f836bbe83b11d1a	9426	7183aeaedc1cc6dee5fcc1e4a0a048df0423280467a4a4dbbe7b949bc230c16a	0.2755428879754618	0.2813501069904305
192	14	56745	30207	422cc52e3829315fbe98fe77261d6acf8db571f79290f51f37f16f8b2829c55b	6786	48cbb6643a0fcb48edb61e4548e2980cd2ed433f00aeb48f8605cee95179424f	10129	11d75fe5d32c8dfcf0648de75291446284be505ed586aadcada0ef3675b5d2b6	0.12308571202447638	0.34467735499492846
193	14	56884	30207	d04adbf38d331e3577897ab1722fb43dd33b8114b8fe7260d28b62b876d4331a	8289	63757ca266fc83e87cbd9e2af002c8eb2444b26f704c1ec942067af8fb647c30	12016	58bf8322e69991cfd9547ad6aa9e0c71784172c16de0214025f66381aa770e26	0.11884566600201651	0.3849077709892299
194	17	56287	29913	6efe85770101ba5890b5af57bcbba0dc55f60a0bca2785d6a65e4179052b63eb	6538	7da498985d97b06abfc2e31be722f6a9e662814d5f514588de227a8471710a34	8900	2fd61f232373dad1bc12f532ec93c4c414766114200a185f005e1a0ab6203b07	0.21319509198656306	0.38204419301473536
195	20	56341	29966	0c6eebd8050a7c3c9cf3984396308b7e0fab6fa9fd07eb075623e7a3521f656a	4650	3af85c2c344776d131b843f2f6c107a7d938a039da8f17615e0308ad952a25e0	6489	1808d094e484782f1c9581ded0c7670adc99a67835e59350f9d2b8babba2d041	0.11363173299469054	0.28453692700713873
196	21	56213	29899	f3d5cbab0edbc5ab6e71ef1c789c7bea38b08aa835f7f2b3db03d219c6f7989d	6729	ebeb28e74615fa3d24bb1c24e7bc465e839294e53669cf4dc8fa586aa2b37c1e	9496	9be75f8995ef77d9c06ebd46f7a88656eb291a8f023bb0a76a72a044d2d7522b	0.18141667198506184	0.26131977600743994
197	20	56369	29969	aad0e27b48e3e222ac90e54510966ba79fb6c647e73326994ca2460715d588a9	4981	d01bea4120963608bbb91dcdfde5a7ce422be2805c464cc25af15590da8aa1da	6845	42a7fc58f539cc872f37521296dc86ecf7d0362a9dbc749882f94a61c2b07acc	0.13057512801606208	0.33245611999882385
198	21	56283	29902	f2667e6e51ce3665a3c6c8590d476062fb53d03945f0f2a049e4ebbb1ea3094b	4955	8021fb6e3cb46ea847fc758bcbc79b562a183e69a9ba930db3bd4a9a86cd419d	6815	c90a604bbeee78f017f5a3f9f804599aa4dfca34f687e0cf800e6d7866e8f8c1	0.20889909501420334	0.4279419029771816
199	21	56241	29902	c6eab2977c52a84ee107f0f5d71465b5ca1493e919691f992802f2146ca26d32	6123	178ed56bb90072fa9ab795ba0f1a82d0ee2b90c7e2656eca8106c4e765be3edf	9223	40c5a709df6c6fce898a5f7b9c47ec601481f294fe0302ee9525a30a346ea313	0.1145847580046393	0.2687894450209569
200	21	56229	29899	8e57f46ee3471f8cc4d8c620deaaef7c668d34a328f78e71414863186bb9b9ab	4978	6a856a70666823f489b320ddbe68e89ada0417c6ba9b5a8346986d2e3d382f3f	6842	97b329c9e73ad3c970483b78cf2854adcae146bda6490b5dcad530638a155074	0.11994375300128013	0.323462581000058
201	22	56101	29832	25543b7a3cd37807a7d594056037a7306fc7a2fee0d2897fd9c82e6f4d23d0bf	5320	1caaf6ac2f0858c8b5b3d131eb8bd02b28ff6444a30237c2359e49b894818562	7726	78d722fe4ef2d6d6c600e5ac7e040e214324cd932b1ec997212ee9614e0479e4	0.1566866319917608	0.43298465199768543
202	21	56221	29915	15a0483f54f664aaed1a476fda97ebf73dd207243173278cd34d74f72bb84cba	4816	4b1edd93ee54e82bd81bd1c3cacd1a7c1b6c8dfda32eff79a91ce39b1c79c447	6667	e94be932c0ed662ac0024f1fb52147fc90f769e249d34345c4e79c7e81894038	0.11131396199925803	0.3353012700099498
203	21	56249	29918	29d7bce5a82ed1f5edf2b2cc4b315c936be43bef621f81279a394a552f513399	5036	11110a5b2b7dfd85b8a993c2f1ce77da0c2ca9facdb3051e9f87882cfd9b2100	7257	fdb9de42714cb3a39f7ddd1a1039a6f20a08241f52bcfd63dcb7ddc43d367bd9	0.22948392500984482	0.2974381769890897
204	22	56163	29851	9d396895f605a2ce4bd5e8cd04a02f8cf015fd364b8d9e609d6981e0977f9562	5302	0ba0563e3765258c3d277b6ff433da6543d4531a2d5580ea123fa21042b8cee5	7598	ae3132b6974086be2466ad69095d8e453ef523f8e03a786cccee5dacfbfacdaa	0.11009831298724748	0.2933004920196254
205	22	56109	29848	38e88b4803610389d78e6361a0294978d1f05525a34a40cd5f08866cbfa4d6a2	4725	82428192c9ac1a5e0e6e80d97f50bed50043cb99d8f2cfacd875898a45fca4ca	6890	cf01844d2b410479b347e75a063959aa6044601af8779f0c22d689009bc3e24f	0.27558120200410485	0.4560633960063569
206	21	56351	29918	438f8515b753e8b2c9736af4ac221a37f32ddb0440758aa6ba6f7cedd2633e25	6601	4a3e7bedd4c662490ee6052f93832d3ffe99732037af1c5733ce0938ad520a03	9522	739a6f089bbb3112bd9d0a57db5eabf8233c81e3415119aab0b9b4e68fc80173	0.22149263098253869	0.50700748199597
207	22	56255	29867	04555363dea6e5696091bca80e0dcf125b4d24126d59839182f4ae856e118189	6392	c130c0eb7f6fd280074aedb9cf363f5ac663707b09a265e328f37deeb3f2a32a	9448	1448e5bf0323b5ab4c218cf4b52b3dc370826c8b1d90ae2de2457c5ba8c896cc	0.18911722899065353	0.37647115800064057
208	21	56382	29915	dc12371dac02688b9ace19e185db6624ebf58a0cb29e2d1b71a4bbc121aed756	6004	f09a08bb4b56a07d45935b278df1389fbfdcaf2e85ea3f541b7fd714c332e129	8932	b438895e8228982bf8f689efa17ad2bf82d7f0ce7e3fa5a3bd1885571f37d1cd	0.16851532700820826	0.2817325470095966
209	21	56311	29899	f00fc9b5568d29c7ea8ffc0d52d12c25e4788e2a313cf9cd4576d43621d3aef0	7041	6975fae0264c3181a71c6ed6bec5a8b067e35c3dc3532f876d6b18379b06ab5f	10072	4c9e65957716946ce483fa38a957e769d5b6f372fc64da3348bcc4c586bfb616	0.1730953789956402	0.58583947000443
210	22	56230	29848	8aa5bfb37a685c96abfad2a3dac89c9572908d282be83daff732f4828bbebde3	6718	b0b08deb057554223ddf23ed69c6afde9e08a885088dd478657573f10b449f00	9802	664e8cdd8f50c9601a0f264477a8ce17c816f077933393da7469649e04518671	0.26977378700394183	0.42318391299340874
211	22	56187	29891	e61c27f6f28299739f70fe37cea8d146281b4540d9072387f65facc947cac991	5559	0b4590ee0047357e0a604b9b14a0bfc2a41f764f1984c97ed952dc0f415d74a9	8073	3196754cb2f2137b376ac9deb295678ac651f803275ee775cdb87f09750285d1	0.2774380370101426	0.3006437229923904
212	22	56208	29851	5d8072efbb0b1a4fd652d984e46a29a4c0bdab4242a65ec62911f74167a053de	6560	904c033e83cd6f7a1b1f3a38ed121b6f742e5c11e49d0eae2a24b8f9940688dd	9491	de7edc498dfd11f0181c791ad5fc86f2844557890037a96202aa2837643b3fb4	0.13699380998150446	0.37267440001596697
213	20	56423	29977	804fcc83d43a175f4d06fc8e23f91771c9f213cdf5b96a43476178adf955389f	7108	59b0a9a9d278c8aa324952a485c34a7f914fb82467e3a8a90f808f4ec7ef76f4	10160	c5319e9a6b4f51147ade3f4ab9abafda29ff88fd1d950fad13ca90018a3c872b	0.2623116649920121	0.4604721069918014
214	21	56361	29942	f5d66fc890123dfe8bc5d7a88bd9af2d4df3225b63b5b1b96bdab678c7b679d5	5625	ea7517e4728f3aebf3045f016372eeee938b5186f4c05106fd05925f151b6a70	7661	ec057863edf05d8f211fd8708f2fd9f0a6283ea7112dfb4897e850aff940e1bf	0.11152924699126743	0.37684598498162813
215	20	56213	29860	61d6e43c0e6e15b5335db14667c407e4f8fa3cf7f5f1dcf25deffb17843399f6	6227	8d64ea75341dc6d2794285b2592f8427396071ebdcc9b9f5da1a5f65a7ec0877	9009	2689a5c4945c9b96ab00dd73af3fcb847fecf142ad5ce4bb3325bffd42ddfb91	0.15290848299628124	0.40986098800203763
216	21	56340	29926	4594b3acac14ae4aa8a2995ef4562051ee125774c90b8963d7ee7207b5727ea6	6627	8e18fdfc3f1b86d361cb731b2ba65b512a5db6252b70d464b51a3d1f34fb409b	9385	d2a9e445d4072e6fc7c8a1744c2e108e07449a691e04fdc7e8c96952239973a2	0.17662812600610778	0.36296452101669274
217	22	56278	29891	8b5a19742c8c82027cc4b090b7c5cf4d03a992175163850a1631fe24092fbb9b	5523	3a4988520709ab1f468e9a2ee5eed917e727777cf0f5dadb5c237a811de25112	8000	740d758c11f6eb48168a2c81060e99acc7a32efbbe3df58c47062c510bcb95e5	0.1134717270033434	0.2747345980023965
218	21	56298	29884	9485583715cf89fb9bd3771193d02fb12cc410413a48bf3098befe36d2b8263f	5236	dedbbcf49b297a5bb6171d223a91570d03fadd9d47366cfbdaf4da3f2a96f6be	7310	3d773a9090628e883d2712aaf8aa77d1facf42025226253dcaf0a6c5a44fc4e0	0.12490517098922282	0.59786005699425
219	21	56294	29910	69bdf6ff50b358ffbb1245a65d543a2d71656e18760622216c84b49fc77fb639	7261	567dd3922d98040dd236c097ad07bb5f9200ecce7e32c4e76b3b5e04bf9ffd46	10605	ae95a2751d1b01e2653eddf7d2b08a5c37e146bcaf574169ca5ea60442997e32	0.12381736701354384	0.3087549790216144
220	22	56211	29859	76e6ca070707920cfc60fe235e4bf23e1f76a0b8a712a31d74ed8cbb56ff5b1b	6529	e1a32a16a43b69e34202bdf9e2edd4cf239e598666df4a027abbcbc4375cb2d1	9345	015223d379fe82a23da8d7b5f87310eb30eba0347829886e784ce08dac5402d4	0.26104156899964437	0.4275977709912695
221	22	56196	29832	614b70ff6f2c8ad0da94688dc478179117bef72f47263cb11f2b938cff6afb85	5147	bc32b6c619bdab4edaa7334af134aecdbc638317627490a2b12032192be50b56	7315	d2ad44535046e841bba99a16142f9a63d1cc5b9c9fcbb49a7151dbf3553b1264	0.21954019900294952	0.4527049580065068
222	16	56150	29953	b2c97c9b6ac7144ea069e162d647d871c09ffa51337c7ee75e9470126e72f7f2	5744	b5cb22e0e5d6bb2a060a117f6052e2bd7c8e7293a970cc40a21386b714bcf903	8114	2abb67029391d254a6fd7838bc5a2d0aa9a6ca6d8bb0eed748e9e1932d0c6e18	0.17604524199850857	0.27541937000933103
223	17	55995	29872	ddcbe904c7bf7d66be17404154f2a748e210bcd64e2d09c2ca187a59dd4ba461	6313	8ceeae556f4c1d6fbe07ec7ca84873ca58b3c6721307ba94472549c617860f73	8512	6085d1750d06bb3f4deb620d5d476f3dea11bc64746511142585c33b2b1eb4b4	0.13286273699486628	0.4042413280112669
224	17	56073	29913	189f8a45ad18f333472d9dd5b194537f1331058cf8b98132c828cd83242be013	6542	d5a3461fc3b6bdd76aaba40e13897a5d16a69bb5bda6fa6af70f595a241d407b	9427	a5cd2aa1d794fd0cbe137cf59fc2b3c6fb3edda4db694c397e153c7719734f9e	0.1011605050007347	0.3350044440012425
225	16	55936	29816	8b686d75fdd9d9398841a06443ce7dfafbdee06b4f2b6e18d1371ace3c277dc7	5204	b5b8939655d57801c7dc24c67a4ab9a9545d64d1192dd0e42fefaabf0b6adfb7	7618	b177eebedbd7d8748b897e88a2f5b746477093caf8de856a9dae313994adcfd2	0.12037985899951309	0.4065932240046095
226	17	55901	29810	51fdb0052c99bbdc277b166ea77ce6e006922adacaed67a6818b1b462da6213c	5337	0a622dc971957dcdbe09f782acec49afa46b0d06c09aa0eedbcc85da2051577c	7580	ee38c8a2a2f1cf87dd54d303d0e99160567a24347a1862f40c456b0885b9855a	0.1680510040023364	0.39010890602367
227	22	56146	29833	d2d5c6354ee5ae96eb78989af46a329e4080307a40a4e569d88ec1c4fae63882	5547	8ce9c02a81a86cd83ded72488db97b16be55e7ff576c60fe617a49da2bbce75e	8247	96df15b38400d567eefc3e8d1af8ea3db333ff2d5d880521aaf120a996cdc5aa	0.13135197100928053	0.3178452069987543
228	13	57017	30289	0b3b824b204f0d57449b34adcb70ba01152bbf934bb496148084d6980d1cb92a	6066	287ef4360322188c0e613d454b287183c054726508658b11b43057457c4e2268	8738	679932258a2c73aa2ffe8ca6220f90df67c1f89ba6cd5f0fb79659530b633d1a	0.1122221710102167	0.2687186590046622
229	13	57087	30315	df04ea7a08ecbcd37563129246661a7a2ee773f555d42b951a7f42a15faf4451	5180	155cc1f88ac416df4b7b6bb99c468532cefa181e705349c2441002b889bc1e2b	7528	4dcdc56e4a1372315bc16105b6da3252bce36f56c33b9a90735df993c9418924	0.11379700398538262	0.2717244930099696
230	14	56849	30193	4d11022c5f7bbcd3408cb145a7063dfed653615e59652d8d6cba4c2e40e7d308	4543	7bf21d1b7ce86a765be370939fde36201734c45b3ca00c905e132c6d6eb1c0ca	6582	64d231a13daef84c05725d77c7e088ca9d515581fb69750f0d6fe0b3f78cd32a	0.06909774700761773	0.2047208430012688
231	14	56825	30193	3f3e4dcdb165a21640e60753c9f84230b46fe8244b172a0824ff0aed04bee127	5151	4c3c8ee734c4677d0d193a209393c5b01855a501908c683cb7f2b7a9b828edd7	7497	e6e34a1270e6dfa89669d91abbf86094d30ab2eaf7e1ad8c79b73c87fdfbb473	0.10617255899705924	0.24417053398792632
232	13	57056	30333	80e118e8f56ce09fadce1d737f055597049e2e22d965826a61ae87a6041328ee	6319	84ad493c82a4573ed519cbe5bbd7020b2593a4a632bee21e73c4a47c537b80d5	9152	f6cc6b0393ad2920ac4acb25b14c13a304a725c275fabae237ef683ad3edb76f	0.06696485599968582	0.16139083198504522
233	14	56807	30215	525c7d1d88bf2f5a8809a781391a7f94ee3662680d0e0d43c801e3b606f29a62	6231	0df8827c694b514b439f9a24d23ba8c72d078a3e2771bab62eb2ef076c66ed45	8814	d237b9664cae769754d567f3864b648cd82d69d915f2b97e77d66a2786c2c290	0.06458225200185552	0.16247624598327093
234	14	56820	30215	76083192c85f54d95264740607f651e4681132c901b004384c2f004a07d1ca04	6454	6cae0bf7c08f76e08340db1f73b48135da145ea69dfcad7a7771fce24c3cc30f	9165	782b728882e386c63d1350f851c78024875770c7ceadda0322206625600f3060	0.06820286900619976	0.16895045898854733
235	15	56571	30097	1320fc7f209dcfcc1534cc79d20b3a4c5852d6e1f0839a1d289fc6860c78d17b	6172	5fb571af526f47547d79444a411c719fa01cbd44c873e0aebab6bf8dfdb89946	8747	8d7365dfec6789589c7c616974a427f44cf9aa87070eaa59d0240414cfd1b459	0.06556032999651507	0.16311891900841147
236	14	56861	30219	688cab790ce5cfa15dfbc3e868927ee2597e41e5005e3b0e0584bf965e41e723	4633	ef8207834b6d2a7c16e4896bc9042106f0275d197ac68fb531094f519b68be97	6704	83d13ad101000595b8adfedc98c516872c85291b9ced2274ba93c378cc138cac	0.06660287201520987	0.15976504498394206
237	15	56634	30115	745638cdd1161e088261fcfabf6c4316f8786dc9bc52082ef2ca30a7aaf3fe18	5397	d94f5a71ed471227eb3f617bf1e755fdb44496bbc109213583e590dd1df09a41	7492	548ea613921b1065c27cf8a31015575f71f241de4ad23d5b175b13e8630d7abc	0.06763524899724871	0.16121595300501212
