parent	radius	flips	target_kind	target_index
33	1	19,24	base	124
33	1	22,35	base	50
33	1	33,37	base	61
33	1	21,38	base	219
33	1	37,38	base	51
33	4	6,12;2,29;28,34;16,38	base	303
33	4	3,21;17,23;14,36;13,39	base	5
34	1	0,2	base	164
34	1	6,17	base	45
34	1	19,22	base	222
34	1	33,36	base	119
34	1	34,36	base	35
34	1	33,38	base	37
34	1	35,39	base	36
35	1	0,2	base	161
35	1	6,17	base	46
35	1	20,23	base	34
35	1	19,24	base	223
35	1	23,35	base	31
35	1	35,38	base	38
35	1	36,39	base	49
36	1	0,2	base	102
36	1	6,17	base	48
36	1	19,23	base	122
36	1	21,33	base	34
36	1	35,37	base	120
36	1	36,37	base	49
36	1	35,39	base	32
37	1	0,2	base	165
37	1	6,17	base	25
37	1	20,23	base	220
37	1	19,33	base	34
37	1	19,37	base	218
37	1	35,37	base	38
37	1	36,39	base	32
38	1	0,2	base	163
38	1	6,17	base	27
38	1	19,24	base	50
38	1	21,24	base	37
38	1	20,25	base	221
38	1	19,35	base	35
38	1	37,39	base	51
39	1	6,15	base	171
39	1	25,39	base	254
39	1	17,40	base	305
39	1	39,41	base	188
40	1	0,5	complement	91
40	1	0,6	complement	143
40	1	3,14	complement	90
40	1	6,16	complement	133
40	1	18,31	complement	100
40	1	27,35	complement	42
40	1	34,36	complement	97
41	1	7,31	base	171
41	1	22,32	base	254
41	1	23,40	base	271
42	1	0,3	complement	40
42	1	17,20	base	74
42	1	21,32	base	119
42	1	34,37	base	43
42	1	35,39	base	121
42	1	33,41	base	60
42	1	39,41	base	45
43	1	0,3	base	90
43	1	17,21	base	75
43	1	20,33	base	42
43	1	22,34	base	120
43	1	36,39	base	217
43	1	35,41	base	44
43	1	39,41	base	48
44	1	0,3	base	134
44	1	17,22	base	63
44	1	21,34	base	60
44	1	23,35	base	61
44	1	19,36	base	43
44	1	36,40	base	47
44	1	37,40	base	30
44	4	12,18;2,19;28,35;11,38	base	10
45	1	0,3	base	143
45	1	17,21	base	64
45	1	20,31	base	34
45	1	33,36	base	42
45	1	34,36	base	46
45	1	33,37	base	25
45	1	35,40	base	48
46	1	0,3	base	142
46	1	18,22	base	45
46	1	17,23	base	58
46	1	21,33	base	35
46	1	22,35	base	60
46	1	35,37	base	27
46	1	36,40	base	47
47	1	0,3	base	141
47	1	18,23	base	48
47	1	17,24	base	59
47	1	22,34	base	49
47	1	21,36	base	46
47	1	23,37	base	44
47	1	37,38	base	28
47	4	2,18;10,20;31,34;13,40	base	2
48	1	0,3	base	88
48	1	17,22	base	65
48	1	20,32	base	36
48	1	21,34	base	45
48	1	35,37	base	43
48	1	36,37	base	47
48	1	35,38	base	26
49	1	0,1	base	157
49	1	6,16	base	47
49	1	21,23	base	36
49	1	19,25	base	123
49	1	22,35	base	35
49	1	23,37	base	61
49	1	37,38	base	51
49	4	2,21;17,24;16,36;13,39	base	22
50	1	0,3	base	162
50	1	6,17	base	29
50	1	19,23	base	224
50	1	33,35	base	31
50	1	20,37	base	218
50	1	35,37	base	38
50	1	36,39	base	33
50	4	6,12;1,28;27,31;16,37	base	286
51	1	0,1	base	156
51	1	6,17	base	28
51	1	19,24	base	33
51	1	22,24	base	32
51	1	20,26	base	227
51	1	19,33	base	49
51	1	23,37	base	38
51	4	2,22;16,25;17,38;13,39	base	21
52	1	0,1	base	110
52	1	4,7	base	29
52	1	26,33	base	62
52	1	22,35	base	224
52	1	20,37	base	73
52	1	33,37	base	55
52	1	36,40	base	53
53	1	0,1	base	70
53	1	4,7	base	30
53	1	27,34	base	63
53	1	23,36	base	124
53	1	20,37	base	52
53	1	21,38	base	76
53	1	34,38	base	57
53	4	16,18;2,21;30,36;19,40	base	19
54	1	0,1	base	112
54	1	4,7	base	25
54	1	16,26	base	64
54	1	22,34	base	220
54	1	16,37	base	73
54	1	36,37	base	55
54	1	35,40	base	56
55	1	0,1	base	111
55	1	4,7	base	27
55	1	16,24	base	52
55	1	21,24	base	54
55	1	16,28	base	58
55	1	23,36	base	221
55	1	37,40	base	57
56	1	0,1	base	72
56	1	4,7	base	26
56	1	16,27	base	65
56	1	23,35	base	226
56	1	21,36	base	54
56	1	16,38	base	76
56	1	37,38	base	57
57	1	0,1	base	71
57	1	4,7	base	28
57	1	16,25	base	53
57	1	22,25	base	56
57	1	16,29	base	59
57	1	24,37	base	227
57	1	21,38	base	55
57	4	17,19;2,22;32,37;20,40	base	24
58	1	0,1	base	106
58	1	4,7	base	46
58	1	20,23	base	64
58	1	23,33	base	62
58	1	22,35	base	223
58	1	33,37	base	55
58	1	36,40	base	59
59	1	0,1	base	68
59	1	4,7	base	47
59	1	21,24	base	65
59	1	24,34	base	63
59	1	23,36	base	123
59	1	20,37	base	58
59	1	34,38	base	57
59	4	16,18;2,21;30,36;19,40	base	11
60	1	0,2	base	133
60	1	18,22	base	62
60	1	21,32	base	31
60	1	17,35	base	42
60	1	34,39	base	44
60	1	35,40	base	46
60	1	36,40	base	29
61	1	0,3	base	159
61	1	6,14	base	44
61	1	19,24	base	125
61	1	22,34	base	31
61	1	21,36	base	120
61	1	36,40	base	49
61	1	37,40	base	33
61	4	6,12;2,28;29,33;17,36	base	304
61	4	1,21;15,23;14,35;13,38	base	6
62	1	0,2	base	96
62	1	4,7	base	60
62	1	22,32	base	228
62	1	20,35	base	74
62	1	35,39	base	58
62	1	36,39	base	52
62	1	34,40	base	63
63	1	0,2	base	66
63	1	4,7	base	44
63	1	23,33	base	125
63	1	20,35	base	62
63	1	21,36	base	75
63	1	36,40	base	59
63	1	37,40	base	53
63	4	16,18;1,21;29,33;19,39	base	20
64	1	0,2	base	107
64	1	4,7	base	45
64	1	21,33	base	222
64	1	31,36	base	74
64	1	35,36	base	58
64	1	31,37	base	54
64	1	34,40	base	65
65	1	0,2	base	69
65	1	4,7	base	48
65	1	22,34	base	122
65	1	20,35	base	64
65	1	32,37	base	75
65	1	36,37	base	59
65	1	32,38	base	56
66	1	2,5	base	134
66	1	13,16	base	63
66	1	17,33	base	96
66	1	24,35	base	184
66	1	23,36	base	67
66	1	36,40	base	68
66	1	37,40	base	70
66	4	18,20;0,23;25,35;19,38	base	168
67	1	2,5	base	90
