parent	radius	flips	target_kind	target_index
147	1	32,34	base	189
147	1	33,35	base	189
147	1	34,35	base	146
147	1	38,39	base	144
148	1	0,1	base	202
148	1	22,23	base	312
148	1	24,25	base	144
148	1	32,33	base	151
148	1	34,35	base	302
148	1	36,37	base	149
149	1	0,1	base	200
149	1	22,23	base	311
149	1	24,25	base	145
149	1	32,33	base	148
149	1	34,35	base	150
149	1	36,37	base	299
150	1	0,1	base	201
150	1	22,23	base	310
150	1	24,25	base	146
150	1	32,33	base	151
150	1	34,35	base	300
150	1	38,39	base	149
151	1	0,1	base	203
151	1	22,23	base	313
151	1	24,25	base	147
151	1	32,33	base	301
151	1	34,35	base	150
151	1	38,39	base	148
152	1	0,1	base	206
152	1	22,23	base	317
152	1	24,32	base	287
152	1	25,33	base	287
152	1	34,35	base	153
152	1	36,37	base	303
152	4	7,14;21,28;4,37;16,38	base	219
152	4	6,15;20,29;5,36;17,39	base	219
153	1	0,1	base	207
153	1	22,23	base	316
153	1	24,32	base	189
153	1	25,33	base	189
153	1	34,35	base	304
153	1	38,39	base	152
153	4	7,14;21,28;4,35;16,36	base	120
153	4	6,15;20,29;5,34;17,37	base	120
154	1	0,6	base	157
154	1	3,17	base	68
154	1	13,19	base	123
154	1	22,25	base	185
154	1	16,35	base	115
154	1	25,36	base	184
154	1	36,39	base	113
154	4	1,22;23,24;17,30;21,38	base	131
155	1	0,6	base	158
155	1	3,17	base	70
155	1	13,19	base	124
155	1	16,35	base	181
155	1	32,36	base	184
155	1	22,38	base	99
155	1	36,38	base	113
155	4	3,9;5,31;28,37;18,38	base	241
155	4	1,22;23,24;17,29;21,39	base	128
156	1	4,14	base	136
156	1	10,20	base	51
156	1	21,24	base	104
156	1	23,24	base	158
156	1	18,26	base	113
156	1	17,37	base	163
156	1	23,38	base	157
156	4	0,21;19,25;14,30;16,39	base	86
157	1	4,15	base	141
157	1	10,20	base	49
157	1	21,23	base	102
157	1	18,25	base	154
157	1	17,36	base	161
157	1	23,37	base	159
157	1	37,40	base	156
157	4	0,21;19,24;15,29;16,38	base	85
158	1	4,15	base	87
158	1	12,17	base	33
158	1	20,24	base	155
158	1	18,35	base	162
158	1	36,37	base	159
158	1	21,38	base	101
158	1	37,38	base	156
158	4	4,6;2,28;33,34;13,38	base	204
158	4	0,21;19,23;15,29;16,39	base	79
159	1	4,16	base	134
159	1	11,18	base	61
159	1	19,24	base	184
159	1	17,33	base	160
159	1	21,36	base	105
159	1	36,40	base	157
159	1	39,40	base	158
159	4	4,5;2,29;32,34;13,36	base	205
159	4	0,21;20,23;16,27;14,37	base	80
160	1	4,16	base	133
160	1	11,17	base	31
160	1	19,23	base	116
160	1	20,35	base	100
160	1	34,37	base	159
160	1	35,40	base	161
160	1	39,40	base	162
160	4	4,5;2,28;31,32;13,35	base	216
161	1	4,15	base	142
161	1	11,19	base	35
161	1	20,23	base	164
161	1	18,24	base	115
161	1	23,36	base	160
161	1	35,38	base	157
161	1	36,40	base	163
162	1	4,15	base	138
162	1	11,19	base	50
162	1	18,23	base	181
162	1	35,36	base	160
162	1	20,37	base	103
162	1	36,37	base	163
162	1	34,39	base	158
162	4	4,5;2,28;31,33;14,37	base	194
163	1	4,15	base	139
163	1	11,19	base	38
163	1	20,24	base	165
163	1	22,24	base	162
163	1	18,25	base	114
163	1	22,37	base	161
163	1	36,39	base	156
164	1	4,15	base	143
164	1	11,19	base	34
164	1	18,22	base	117
164	1	34,36	base	161
164	1	35,36	base	100
164	1	33,38	base	102
164	1	35,40	base	165
165	1	4,15	base	140
165	1	11,19	base	37
165	1	18,23	base	183
165	1	21,35	base	164
165	1	21,37	base	103
165	1	36,37	base	163
165	1	34,39	base	104
166	1	4,5	base	92
166	1	12,13	base	17
166	1	16,17	base	169
166	1	22,23	base	126
166	1	17,26	base	118
166	1	16,27	base	118
167	1	4,5	base	93
167	1	12,13	base	19
167	1	20,21	base	128
167	1	30,31	base	168
167	1	31,38	base	118
167	1	30,39	base	118
167	4	9,20;0,26;28,37;19,38	base	70
167	4	8,21;1,27;29,36;18,39	base	70
168	1	4,5	base	94
168	1	12,13	base	20
168	1	20,21	base	129
168	1	37,38	base	187
168	1	36,39	base	187
168	1	38,39	base	167
168	4	9,20;0,26;28,35;19,36	base	66
168	4	8,21;1,27;29,34;18,37	base	66
169	1	4,5	base	95
169	1	12,13	base	18
169	1	20,21	base	127
169	1	25,32	base	187
169	1	24,33	base	187
169	1	32,33	base	166
170	1	6,33	base	171
170	1	18,34	base	305
170	1	23,41	base	271
170	1	39,41	base	177
171	1	21,33	base	39
171	1	17,40	base	170
171	1	23,41	base	41
171	1	39,41	base	253
172	1	19,34	base	178
172	1	19,36	base	263
172	1	23,40	base	265
172	1	35,40	base	174
172	1	16,41	base	270
173	1	22,38	base	288
173	1	33,38	base	175
173	1	23,39	base	255
173	1	36,39	base	263
173	1	39,40	base	178
173	1	16,41	base	268
174	1	19,34	base	260
174	1	20,36	base	172
174	1	24,36	base	266
174	1	19,37	base	176
174	1	17,41	base	293
175	1	19,34	base	173
175	1	23,34	base	285
175	1	24,39	base	256
175	1	37,39	base	176
175	1	39,40	base	260
175	1	16,41	base	326
176	1	19,35	base	263
176	1	23,35	base	262
176	1	33,36	base	175
176	1	36,40	base	174
176	1	17,41	base	290
177	1	4,34	base	253
177	1	19,35	base	225
177	1	33,36	base	170
178	1	34,35	base	173
178	1	34,38	base	172
178	1	22,39	base	264
178	1	33,39	base	260
178	1	17,41	base	269
179	1	0,5	base	100
179	1	4,15	base	97
179	1	12,19	base	84
179	1	30,36	base	180
179	1	35,39	base	98
179	1	33,40	base	116
179	1	39,40	base	117
179	4	4,8;6,25;24,34;17,40	base	231
180	1	0,5	base	105
180	1	4,16	base	67
180	1	12,20	base	82
180	1	15,31	base	179
180	1	36,39	base	99
180	1	34,40	base	184
180	1	39,40	base	185
180	4	4,8;6,26;25,35;18,40	base	244
181	1	0,6	base	162
181	1	4,17	base	110
181	1	13,18	base	224
181	1	34,35	base	116
181	1	19,37	base	98
181	1	35,37	base	114
181	1	32,39	base	155
181	4	4,9;3,29;26,36;16,37	base	229
182	1	0,6	base	104
182	1	4,16	base	72
182	1	13,20	base	226
182	1	19,33	base	185
182	1	15,35	base	183
182	1	19,38	base	99
182	1	36,38	base	113
183	1	0,6	base	165
183	1	4,15	base	112
183	1	13,19	base	220
183	1	18,33	base	117
183	1	18,37	base	98
183	1	35,37	base	114
183	1	31,39	base	182
184	1	0,6	base	159
184	1	5,18	base	66
184	1	12,19	base	125
184	1	16,34	base	116
184	1	22,36	base	180
184	1	36,40	base	154
184	1	38,40	base	155
184	4	5,9;3,31;27,35;15,36	base	242
184	4	1,22;20,24;18,29;23,37	base	129
185	1	0,6	base	102
185	1	5,18	base	69
185	1	12,19	base	122
185	1	16,33	base	117
185	1	34,37	base	180
185	1	35,37	base	154
185	1	34,39	base	182
186	1	2,4	base	216
186	1	20,23	base	189
186	1	22,24	base	257
186	1	26,33	base	298
186	1	34,35	base	304
186	1	37,38	base	286
186	4	6,17;0,20;21,32;14,36	base	31
187	1	2,5	base	89
187	1	12,14	base	11
187	1	21,23	base	131
187	1	24,34	base	168
187	1	34,39	base	118
187	1	38,39	base	169
187	4	10,21;0,27;30,36;17,38	base	68
188	1	6,20	base	253
188	1	31,33	base	39
188	1	18,41	base	225
189	1	2,4	base	215
189	1	21,22	base	283
189	1	24,31	base	147
189	1	32,33	base	186
189	1	34,35	base	153
189	1	37,38	base	287
189	4	6,17;20,30;1,32;14,36	base	119
190	1	14,15	base	193
190	1	32,33	base	191
191	1	14,15	base	192
191	1	20,21	base	190
192	1	4,5	base	191
192	1	16,17	base	193
193	1	4,5	base	190
193	1	32,33	base	192
194	1	10,11	base	286
194	1	21,22	base	195
194	1	24,26	base	229
194	1	20,29	base	210
194	1	34,35	base	216
194	1	36,37	base	204
194	4	6,14;0,21;25,28;19,38	base	162
195	1	10,11	base	287
195	1	22,24	base	230
195	1	20,27	base	214
195	1	32,33	base	215
195	1	35,36	base	194
195	1	34,37	base	206
195	4	6,14;23,26;0,35;19,38	base	103
196	1	10,11	base	299
196	1	20,21	base	208
196	1	22,23	base	200
196	1	24,25	base	233
196	1	30,31	base	199
196	1	36,37	base	197
197	1	10,11	base	300
197	1	20,21	base	209
197	1	22,23	base	201
197	1	24,25	base	234
197	1	30,31	base	198
197	1	40,41	base	196
198	1	10,11	base	301
198	1	20,21	base	211
198	1	22,23	base	203
198	1	24,25	base	235
198	1	34,35	base	197
198	1	40,41	base	199
199	1	10,11	base	302
199	1	20,21	base	210
199	1	22,23	base	202
199	1	24,25	base	236
199	1	34,35	base	198
199	1	36,37	base	196
200	1	10,11	base	149
200	1	20,21	base	212
200	1	22,23	base	237
200	1	28,29	base	202
200	1	34,35	base	201
200	1	36,37	base	196
201	1	10,11	base	150
201	1	20,21	base	213
201	1	22,23	base	238
201	1	28,29	base	203
201	1	34,35	base	197
201	1	40,41	base	200
202	1	10,11	base	148
202	1	20,21	base	214
202	1	22,23	base	239
202	1	32,33	base	203
202	1	34,35	base	199
202	1	36,37	base	200
203	1	10,11	base	151
203	1	20,21	complement	23
203	1	22,23	base	240
203	1	32,33	base	198
203	1	34,35	base	201
203	1	40,41	base	202
204	1	10,11	base	303
204	1	22,23	base	206
204	1	24,25	base	241
204	1	20,30	base	194
204	1	21,31	base	194
204	1	36,37	base	205
204	4	7,14;0,23;27,28;18,38	base	158
204	4	6,15;1,22;26,29;19,39	base	158
205	1	10,11	base	304
205	1	22,23	base	207
205	1	24,25	base	242
205	1	20,30	base	216
205	1	21,31	base	216
205	1	40,41	base	204
205	4	7,14;0,23;27,28;18,36	base	159
205	4	6,15;1,22;26,29;19,37	base	159
206	1	10,11	base	152
206	1	22,23	base	243
206	1	20,28	base	195
206	1	21,29	base	195
206	1	34,35	base	207
206	1	36,37	base	204
206	4	7,14;25,26;0,37;18,38	base	101
206	4	6,15;24,27;1,36;19,39	base	101
207	1	10,11	base	153
207	1	22,23	base	244
207	1	20,28	base	215
207	1	21,29	base	215
207	1	34,35	base	205
207	1	40,41	base	206
207	4	7,14;25,26;0,35;18,36	base	105
207	4	6,15;24,27;1,34;19,37	base	105
208	1	10,11	base	295
208	1	20,21	base	212
208	1	22,23	base	245
208	1	28,29	base	210
208	1	34,35	base	209
208	1	36,37	base	196
209	1	10,11	base	296
209	1	20,21	base	213
209	1	22,23	base	246
209	1	28,29	base	211
209	1	34,35	base	197
209	1	40,41	base	208
210	1	10,11	base	297
210	1	20,21	base	214
210	1	22,23	base	248
210	1	32,33	base	211
210	1	34,35	base	199
210	1	34,36	base	194
210	1	35,37	base	194
210	1	36,37	base	208
211	1	10,11	base	298
211	1	20,21	complement	23
211	1	22,23	base	247
211	1	32,33	base	198
211	1	32,34	base	216
211	1	33,35	base	216
211	1	34,35	base	209
211	1	40,41	base	210
212	1	10,11	base	145
212	1	20,21	base	249
212	1	26,27	base	214
212	1	32,33	base	213
212	1	34,35	base	200
212	1	36,37	base	208
213	1	10,11	base	146
213	1	20,21	base	250
213	1	26,27	complement	23
213	1	32,33	base	201
213	1	34,35	base	209
213	1	40,41	base	212
214	1	10,11	base	144
214	1	20,21	base	251
214	1	30,31	complement	23
214	1	32,33	base	202
214	1	34,35	base	210
214	1	32,36	base	195
214	1	33,37	base	195
214	1	36,37	base	212
215	1	10,11	base	189
215	1	22,23	base	231
215	1	20,27	complement	23
215	1	33,34	base	216
215	1	32,35	base	207
215	1	39,40	base	195
215	4	7,13;21,25;1,34;18,37	base	100
216	1	10,13	base	186
216	1	20,23	base	215
216	1	24,26	base	232
216	1	19,33	base	211
216	1	34,35	base	205
216	1	39,40	base	194
216	4	6,17;2,20;25,28;22,36	base	160
217	1	0,4	base	135
217	1	19,20	base	76
217	1	21,33	base	121
217	1	22,35	base	219
217	1	30,36	base	43
217	1	36,41	base	26
217	1	37,41	base	30
218	1	0,3	base	103
218	1	6,16	base	121
218	1	20,22	base	83
218	1	31,34	base	119
218	1	36,37	base	219
218	1	34,41	base	37
218	1	35,41	base	50
218	4	6,13;4,26;24,33;14,41	base	287
219	1	0,4	base	101
219	1	6,16	base	217
219	1	20,23	base	81
219	1	22,31	base	218
219	1	33,36	base	120
219	1	36,41	base	32
219	1	37,41	base	33
219	4	6,13;3,27;25,35;14,41	base	152
220	1	0,2	base	183
220	1	1,8	base	37
220	1	6,18	base	54
220	1	17,28	base	222
220	1	17,37	base	83
220	1	36,37	base	221
220	1	35,39	base	226
221	1	0,2	base	114
221	1	1,8	base	38
221	1	6,18	base	55
221	1	17,25	base	224
221	1	23,25	base	220
221	1	17,30	base	223
221	1	37,39	base	227
222	1	0,2	base	117
222	1	1,8	base	34
222	1	6,17	base	64
222	1	29,36	base	84
222	1	35,36	base	223
222	1	29,37	base	220
222	1	34,39	base	122
223	1	0,2	base	115
223	1	1,8	base	35
223	1	6,17	base	58
223	1	22,24	base	222
223	1	24,31	base	228
223	1	31,37	base	221
223	1	36,39	base	123
224	1	0,2	base	181
224	1	1,8	base	50
224	1	6,17	base	52
224	1	28,31	base	228
224	1	22,37	base	83
224	1	31,37	base	221
224	1	36,39	base	124
224	4	6,14;4,30;27,35;18,37	base	258
225	1	7,18	base	177
225	1	3,33	base	188
225	1	30,35	base	305
226	1	0,3	base	182
226	1	1,8	base	32
226	1	6,18	base	56
226	1	19,27	base	122
226	1	21,35	base	220
226	1	19,38	base	81
226	1	37,38	base	227
227	1	0,3	base	113
227	1	1,8	base	51
227	1	6,18	base	57
227	1	19,26	base	124
227	1	23,26	base	226
227	1	19,29	base	123
227	1	21,37	base	221
227	4	2,23;22,24;18,38;20,39	base	12
228	1	0,3	base	116
228	1	1,8	base	31
228	1	7,17	base	62
228	1	22,35	base	84
228	1	35,38	base	223
228	1	36,38	base	224
228	1	34,39	base	125
228	4	7,14;4,29;25,33;18,35	base	257
229	1	4,5	base	194
229	1	17,18	base	258
229	1	21,22	base	230
229	1	16,29	base	248
229	1	35,36	base	232
229	1	34,37	base	241
229	4	8,15;1,22;23,27;25,39	base	181
230	1	4,5	base	195
230	1	17,18	base	284
230	1	16,27	base	251
230	1	33,34	base	231
230	1	35,36	base	229
230	1	32,37	base	243
230	4	8,15;21,25;1,36;23,39	base	98
231	1	4,5	base	215
231	1	16,17	base	283
231	1	15,31	base	252
231	1	33,34	base	232
231	1	32,35	base	244
231	1	37,38	base	230
231	4	13,14;22,26;0,33;24,36	base	179
232	1	4,5	base	216
232	1	16,17	base	257
232	1	22,24	base	231
232	1	15,33	base	247
232	1	34,35	base	242
232	1	37,38	base	229
232	4	13,14;0,22;23,28;26,36	base	116
233	1	4,5	base	196
233	1	16,17	base	245
233	1	18,19	base	307
233	1	22,23	base	237
233	1	30,31	base	236
233	1	36,37	base	234
234	1	4,5	base	197
234	1	16,17	base	246
234	1	18,19	base	306
234	1	22,23	base	238
234	1	30,31	base	235
234	1	36,37	base	233
235	1	4,5	base	198
235	1	16,17	base	247
235	1	18,19	base	309
235	1	22,23	base	240
235	1	34,35	base	234
235	1	36,37	base	236
236	1	4,5	base	199
236	1	16,17	base	248
236	1	18,19	base	308
236	1	22,23	base	239
236	1	34,35	base	235
236	1	36,37	base	233
237	1	4,5	base	200
237	1	16,17	base	249
237	1	18,19	base	311
237	1	28,29	base	239
237	1	34,35	base	238
237	1	36,37	base	233
238	1	4,5	base	201
238	1	16,17	base	250
238	1	18,19	base	310
238	1	28,29	base	240
238	1	34,35	base	234
238	1	36,37	base	237
239	1	4,5	base	202
239	1	16,17	base	251
239	1	18,19	base	312
239	1	32,33	base	240
239	1	34,35	base	236
239	1	36,37	base	237
240	1	4,5	base	203
240	1	16,17	base	252
240	1	18,19	base	313
240	1	32,33	base	235
240	1	34,35	base	238
240	1	36,37	base	239
241	1	4,5	base	204
241	1	18,19	base	315
241	1	22,23	base	243
241	1	16,30	base	229
241	1	17,31	base	229
241	1	36,37	base	242
241	4	9,14;0,23;25,28;27,39	base	155
241	4	8,15;1,22;24,29;26,38	base	155
242	1	4,5	base	205
242	1	18,19	base	314
242	1	22,23	base	244
242	1	16,30	base	232
242	1	17,31	base	232
242	1	36,37	base	241
242	4	9,14;0,23;25,28;27,39	base	184
242	4	8,15;1,22;24,29;26,38	base	184
243	1	4,5	base	206
243	1	18,19	base	317
243	1	16,28	base	230
243	1	17,29	base	230
243	1	34,35	base	244
243	1	36,37	base	241
243	4	9,14;23,26;0,37;25,39	base	99
243	4	8,15;22,27;1,36;24,38	base	99
244	1	4,5	base	207
244	1	18,19	base	316
244	1	16,28	base	231
244	1	17,29	base	231
244	1	34,35	base	242
244	1	36,37	base	243
244	4	9,14;23,26;0,35;25,39	base	180
244	4	8,15;22,27;1,34;24,38	base	180
245	1	4,5	base	208
245	1	16,17	base	319
245	1	20,21	base	249
245	1	28,29	base	248
245	1	34,35	base	233
245	1	36,37	base	246
246	1	4,5	base	209
246	1	16,17	base	318
246	1	20,21	base	250
246	1	28,29	base	247
246	1	34,35	base	234
246	1	36,37	base	245
247	1	4,5	base	211
247	1	16,17	base	321
247	1	20,21	base	252
247	1	32,33	base	235
247	1	32,34	base	232
247	1	33,35	base	232
247	1	34,35	base	246
247	1	36,37	base	248
248	1	4,5	base	210
248	1	16,17	base	320
248	1	20,21	base	251
248	1	32,33	base	236
248	1	34,35	base	247
248	1	32,36	base	229
248	1	33,37	base	229
248	1	36,37	base	245
249	1	4,5	base	212
249	1	16,17	base	323
249	1	26,27	base	251
249	1	32,33	base	237
249	1	34,35	base	250
249	1	36,37	base	245
250	1	4,5	base	213
250	1	16,17	base	322
250	1	26,27	base	252
250	1	32,33	base	238
250	1	34,35	base	246
250	1	36,37	base	249
251	1	4,5	base	214
251	1	16,17	base	324
251	1	30,31	base	239
251	1	32,33	base	252
251	1	34,35	base	248
251	1	30,36	base	230
251	1	31,37	base	230
251	1	36,37	base	249
252	1	4,5	complement	23
252	1	16,17	base	325
252	1	30,31	base	240
252	1	32,33	base	247
252	1	30,34	base	231
252	1	31,35	base	231
252	1	34,35	base	250
252	1	36,37	base	251
253	1	32,33	base	171
253	1	21,35	base	188
253	1	18,41	base	177
254	1	6,17	base	41
254	1	7,29	base	39
254	1	23,39	base	294
255	1	8,32	base	173
255	1	23,38	base	259
255	1	34,38	base	256
255	1	19,41	base	292
256	1	23,33	base	255
256	1	24,33	base	289
256	1	8,34	base	175
256	1	19,41	base	272
257	1	0,2	base	232
257	1	6,7	base	186
257	1	23,26	base	283
257	1	21,31	base	321
257	1	34,35	base	314
257	1	36,37	base	258
257	4	13,15;1,23;25,32;24,38	base	228
258	1	0,2	base	229
258	1	6,7	base	286
258	1	23,26	base	284
258	1	27,32	base	257
258	1	21,35	base	320
258	1	36,37	base	315
258	4	12,15;1,23;25,33;24,38	base	224
259	1	9,27	base	255
259	1	8,32	base	288
259	1	27,35	base	289
259	1	22,40	base	279
260	1	19,34	base	178
260	1	23,34	base	267
260	1	35,36	base	175
260	1	35,39	base	174
260	1	16,41	base	327
261	1	8,32	base	263
261	1	32,34	base	262
261	1	31,36	base	288
261	1	36,40	base	265
261	1	17,41	base	281
262	1	8,15	base	176
262	1	15,21	base	261
262	1	33,36	base	285
262	1	36,40	base	266
262	1	18,41	base	282
263	1	30,35	base	173
263	1	23,38	base	261
263	1	34,38	base	176
263	1	35,40	base	172
263	1	17,41	base	291
264	1	8,32	base	178
264	1	32,34	base	267
264	1	35,36	base	288
264	1	35,39	base	265
264	1	17,41	base	275
265	1	20,30	base	264
265	1	8,34	base	172
265	1	34,36	base	266
265	1	20,37	base	261
265	1	17,41	base	280
266	1	8,20	base	174
266	1	20,21	base	265
266	1	22,33	base	267
266	1	22,37	base	262
266	1	17,41	base	277
267	1	8,20	base	260
267	1	20,21	base	264
267	1	35,36	base	285
267	1	35,39	base	266
267	1	17,41	base	276
268	1	6,34	base	173
268	1	22,39	base	273
268	1	31,39	base	326
268	1	23,40	base	292
268	1	37,40	base	291
268	1	40,41	base	269
269	1	33,35	base	268
269	1	6,36	base	178
269	1	33,39	base	270
269	1	22,41	base	275
269	1	31,41	base	327
270	1	19,32	base	269
270	1	19,36	base	291
270	1	6,37	base	172
270	1	23,41	base	280
270	1	33,41	base	293
271	1	5,30	base	41
271	1	7,33	base	170
271	1	20,34	base	294
272	1	22,30	base	292
272	1	24,30	base	278
272	1	9,32	base	326
272	1	7,36	base	256
273	1	8,27	base	268
273	1	27,32	base	274
273	1	2,35	base	288
273	1	23,40	base	279
273	1	38,40	base	281
273	1	40,41	base	275
274	1	8,16	base	326
274	1	16,20	base	273
274	1	2,35	base	285
274	1	25,40	base	278
274	1	38,40	base	282
274	1	40,41	base	276
275	1	8,28	base	269
275	1	28,32	base	276
275	1	34,36	base	273
275	1	2,37	base	264
275	1	34,39	base	280
276	1	8,14	base	327
276	1	14,20	base	275
276	1	34,36	base	274
276	1	2,37	base	267
276	1	34,39	base	277
277	1	8,14	base	293
277	1	14,20	base	280
277	1	23,29	base	276
277	1	23,37	base	282
277	1	2,38	base	266
278	1	8,18	base	272
278	1	18,22	base	279
278	1	10,34	base	274
278	1	2,35	base	289
279	1	8,27	base	292
279	1	10,33	base	273
279	1	27,34	base	278
279	1	2,35	base	259
280	1	21,27	base	275
280	1	8,31	base	270
280	1	31,33	base	277
280	1	21,37	base	281
280	1	2,38	base	265
281	1	8,26	base	291
281	1	29,32	base	273
281	1	26,34	base	282
281	1	2,37	base	261
281	1	32,41	base	280
282	1	8,14	base	290
282	1	14,20	base	281
282	1	30,33	base	274
282	1	2,37	base	262
282	1	33,41	base	277
283	1	2,3	base	231
283	1	4,5	base	189
283	1	20,31	base	325
283	1	33,34	base	257
283	1	32,35	base	316
283	1	36,37	base	284
283	4	13,14;22,28;0,34;24,38	base	84
284	1	2,3	base	230
284	1	4,5	base	287
284	1	31,32	base	283
284	1	20,33	base	324
284	1	35,36	base	258
284	1	34,37	base	317
284	4	13,14;23,30;0,36;22,38	base	83
285	1	8,17	base	175
285	1	17,22	base	288
285	1	25,39	base	289
285	1	37,39	base	262
285	1	19,40	base	274
285	1	39,41	base	267
286	1	0,3	base	194
286	1	20,24	base	287
286	1	22,25	base	258
286	1	26,31	base	297
286	1	34,35	base	186
286	1	36,37	base	303
286	4	6,16;1,20;21,33;14,38	base	50
287	1	0,3	base	195
287	1	20,23	base	284
287	1	24,29	base	144
287	1	32,33	base	189
287	1	34,35	base	286
287	1	36,37	base	152
287	4	6,17;21,30;1,34;14,38	base	218
288	1	8,30	base	173
288	1	30,33	base	285
288	1	23,38	base	259
288	1	37,38	base	261
288	1	18,40	base	273
288	1	38,41	base	264
289	1	9,15	base	256
289	1	15,24	base	259
289	1	8,32	base	285
289	1	21,40	base	278
290	1	19,28	base	291
290	1	23,28	base	282
290	1	32,34	base	326
290	1	6,37	base	176
290	1	34,41	base	293
291	1	31,33	base	268
291	1	6,36	base	263
291	1	21,40	base	281
291	1	32,40	base	290
291	1	33,41	base	270
292	1	9,32	base	268
292	1	7,34	base	255
292	1	23,37	base	279
292	1	33,37	base	272
293	1	20,30	base	327
293	1	19,34	base	270
293	1	23,34	base	277
293	1	20,37	base	290
293	1	5,38	base	174
294	1	5,18	base	271
294	1	4,29	base	254
294	1	8,31	base	305
295	1	2,3	base	208
295	1	18,19	base	145
295	1	24,25	base	319
295	1	26,27	base	297
295	1	34,35	base	296
295	1	36,37	base	299
296	1	2,3	base	209
296	1	18,19	base	146
296	1	24,25	base	318
296	1	26,27	base	298
296	1	34,35	base	300
296	1	36,37	base	295
297	1	2,3	base	210
297	1	18,19	base	144
297	1	24,25	base	320
297	1	32,33	base	298
297	1	34,35	base	302
297	1	34,36	base	286
297	1	35,37	base	286
297	1	36,37	base	295
298	1	2,3	base	211
298	1	18,19	base	147
298	1	24,25	base	321
298	1	32,33	base	301
298	1	32,34	base	186
298	1	33,35	base	186
298	1	34,35	base	296
298	1	36,37	base	297
299	1	2,3	base	196
299	1	18,19	base	149
299	1	24,25	base	307
299	1	26,27	base	295
299	1	28,29	base	302
299	1	36,37	base	300
300	1	2,3	base	197
300	1	18,19	base	150
300	1	24,25	base	306
300	1	26,27	base	296
300	1	28,29	base	301
300	1	36,37	base	299
301	1	2,3	base	198
301	1	18,19	base	151
301	1	24,25	base	309
301	1	26,27	base	298
301	1	34,35	base	300
301	1	36,37	base	302
302	1	2,3	base	199
302	1	18,19	base	148
302	1	24,25	base	308
302	1	26,27	base	297
302	1	34,35	base	301
302	1	36,37	base	299
303	1	2,3	base	204
303	1	18,19	base	152
303	1	24,25	base	315
303	1	26,28	base	286
303	1	27,29	base	286
303	1	36,37	base	304
303	4	7,14;0,19;23,32;12,38	base	33
303	4	6,15;1,18;22,33;13,39	base	33
304	1	2,3	base	205
304	1	18,19	base	153
304	1	24,25	base	314
304	1	26,28	base	186
304	1	27,29	base	186
304	1	36,37	base	303
304	4	7,14;0,19;23,32;12,38	base	61
304	4	6,15;1,18;22,33;13,39	base	61
305	1	2,19	base	170
305	1	7,33	base	39
305	1	25,40	base	294
305	1	39,40	base	225
306	1	2,3	base	234
306	1	4,5	base	300
306	1	20,21	base	318
306	1	24,25	base	310
306	1	34,35	base	309
306	1	36,37	base	307
307	1	2,3	base	233
307	1	4,5	base	299
307	1	20,21	base	319
307	1	24,25	base	311
307	1	34,35	base	306
307	1	36,37	base	308
308	1	2,3	base	236
308	1	4,5	base	302
308	1	20,21	base	320
308	1	24,25	base	312
308	1	34,35	base	309
308	1	36,37	base	307
309	1	2,3	base	235
309	1	4,5	base	301
309	1	20,21	base	321
309	1	24,25	base	313
309	1	34,35	base	308
309	1	36,37	base	306
310	1	2,3	base	238
310	1	4,5	base	150
310	1	20,21	base	322
310	1	32,33	base	313
310	1	34,35	base	306
310	1	36,37	base	311
311	1	2,3	base	237
311	1	4,5	base	149
311	1	20,21	base	323
311	1	32,33	base	310
311	1	34,35	base	312
311	1	36,37	base	307
312	1	2,3	base	239
312	1	4,5	base	148
312	1	20,21	base	324
312	1	32,33	base	313
312	1	34,35	base	308
312	1	36,37	base	311
313	1	2,3	base	240
313	1	4,5	base	151
313	1	20,21	base	325
313	1	32,33	base	309
313	1	34,35	base	312
313	1	36,37	base	310
314	1	2,3	base	242
314	1	4,5	base	304
314	1	24,25	base	316
314	1	20,34	base	257
314	1	21,35	base	257
314	1	36,37	base	315
314	4	13,14;1,24;26,33;23,39	base	125
314	4	12,15;0,25;27,32;22,38	base	125
315	1	2,3	base	241
315	1	4,5	base	303
315	1	24,25	base	317
315	1	34,35	base	314
315	1	20,36	base	258
315	1	21,37	base	258
315	4	13,14;1,24;26,33;23,39	base	124
315	4	12,15;0,25;27,32;22,38	base	124
316	1	2,3	base	244
316	1	4,5	base	153
316	1	20,32	base	283
316	1	21,33	base	283
316	1	34,35	base	314
316	1	36,37	base	317
316	4	13,14;24,31;1,34;23,39	base	82
316	4	12,15;25,30;0,35;22,38	base	82
317	1	2,3	base	243
317	1	4,5	base	152
317	1	32,33	base	316
317	1	20,34	base	284
317	1	21,35	base	284
317	1	36,37	base	315
317	4	13,14;24,31;1,36;23,39	base	81
317	4	12,15;25,30;0,37;22,38	base	81
318	1	2,3	base	246
318	1	4,5	base	296
318	1	22,23	base	322
318	1	32,33	base	321
318	1	34,35	base	306
318	1	36,37	base	319
319	1	2,3	base	245
319	1	4,5	base	295
319	1	22,23	base	323
319	1	32,33	base	318
319	1	34,35	base	320
319	1	36,37	base	307
320	1	2,3	base	248
320	1	4,5	base	297
320	1	22,23	base	324
320	1	32,33	base	321
320	1	34,35	base	308
320	1	34,36	base	258
320	1	35,37	base	258
320	1	36,37	base	319
321	1	2,3	base	247
321	1	4,5	base	298
321	1	22,23	base	325
321	1	32,33	base	309
321	1	34,35	base	320
321	1	32,36	base	257
