record	roots	branches_unsat	base_clauses	source_clauses	source_reported_proof_bytes
197	43	903	233503	251606	1155722
198	43	903	233424	251527	1105367
199	43	903	234106	252209	1176792
200	43	903	233323	251426	1230025
201	43	903	233655	251758	1093384
202	43	903	233969	252072	1251886
203	43	903	233667	251770	1117438
204	43	903	233523	251626	1280416
205	43	903	233778	251881	1129428
206	43	903	233553	251656	1108412
207	43	903	233897	252000	1098933
208	43	903	233573	251676	1170560
209	43	903	233182	251285	1018954
210	43	903	233284	251387	1104158
211	43	903	233376	251479	1100707
212	43	903	233498	251601	1165269
213	43	903	232691	250794	1035842
214	43	903	233946	252049	1197773
215	43	903	233443	251546	1187529
216	43	903	233602	251705	1176361
217	43	903	233682	251785	1190616
218	43	903	233621	251724	1228456
219	43	903	233448	251551	1077964
220	43	903	233663	251766	1118795
221	43	903	233417	251520	1163283
222	43	903	233452	251555	1160936
223	43	903	233729	251832	1074074
224	43	903	234068	252171	1115716
225	43	903	233758	251861	1136567
226	43	903	233621	251724	1117231
227	43	903	233708	251811	1209183
228	43	903	233653	251756	1102365
229	43	903	233613	251716	1146135
230	43	903	233919	252022	1103625
231	43	903	233585	251688	1181628
232	43	903	233690	251793	1119159
233	43	903	233738	251841	1118572
234	43	903	233160	251263	1124764
235	43	903	233669	251772	1067474
236	43	903	233552	251655	1152692
237	43	903	233614	251717	1164602
238	43	903	233848	251951	1246492
239	43	903	233187	251290	1034058
240	43	903	233618	251721	1150660
241	43	903	233298	251401	1119453
242	43	903	233659	251762	1082231
243	43	903	233605	251708	1077739
244	43	903	233615	251718	1137761
245	43	903	233990	252093	1222804
246	43	903	233465	251568	1160154
247	43	903	233723	251826	1134656
248	43	903	233837	251940	1195778
249	43	903	233596	251699	1160512
250	43	903	233755	251858	1188175
251	43	903	233527	251630	1224423
252	43	903	233998	252101	1167249
253	43	903	233554	251657	1162230
254	43	903	233783	251886	1064964
255	43	903	234064	252167	1095868
256	43	903	233516	251619	1155351
257	43	903	233799	251902	1162580
258	43	903	233495	251598	1163836
259	43	903	233130	251233	1067683
260	43	903	233907	252010	1270406
