# Production environment: Python 3.11.2; CaDiCaL Debian 1.5.3-2 (banner sc2021), binary sha256 c6de62662723ec4a7426c5ca2bc9bfb04c60aad81a423957e3cd1ffadd0f8aa7; drat-trim Debian 0.0~git20240428.effa1dc-2, binary sha256 bc7543a99da8521ddb09af442698956054f11e10d198bd482ac756535244c021
# Each CNF was independently audited by audit_cnf.py before solving. Every listed proof ended with "s VERIFIED" in drat-trim. Proof files and transcripts remain outside Git under /scratch.
n	k	variables	clauses	cnf_sha256	drat_bytes	drat_sha256	core_original_clauses	original_clauses	core_lemmas	proof_lemmas	resolution_steps	verification_seconds
14	9	252	3403	575cb5d2bf1251237bc38653d5d6cde79194ca5d445a34305025fd1b2246f34d	75530555	7c168e73ef5c6bfdddaa934a7e91e0ef0583cabc2a00b56955ac14d85eb9efe4	2832	3403	701215	880642	22674614	24.376
15	8	240	2986	2c00b2099f6fd994819456bad456123c68767db77eeacf5d1af38db883d11398	22057144	e509b76a873d37018e6adcc76b8c6c8bd986d223ba2c7c0c7936a04c600c733e	2597	2986	233111	281948	6458939	5.855
18	8	288	3637	5c8eab2404af55e3d1bc28273dedbc71908ebbc07644bd56464774be878792f7	107833773	01fbc6c4fe7a5894fe12d248596e3da92dc3f791ab533e9e07346ce24c166acf	3202	3637	910961	1183764	26565049	35.458
20	8	320	4041	46320e2881daaab5f3112a98912501c1cbaf704b2e089b72818c1566f59afac7	125179559	758d1328e26d06140d0ba65e4500af5e15d20d82f97142dc2f9b5f661ddf6479	3591	4041	923959	1286630	28996429	44.792
21	8	336	4243	980924a2c35f2b8a4800cb070d833857ecea77ecc30f8bc221249c557e48c284	116734985	320d4ff3ea294b3de08879a35eca62cc9ecb5feb18a47f3a3e786bc951ecdd9b	3787	4243	810180	1158383	25555667	41.167
23	8	368	4647	2b12ca5de1935d8272b607294fab47e2592b1d43f61e0ba8dadd4be9c1295a4f	137968268	407218d41cc71f54b35d9f509ed62b2f2b7c4d4d6459d8062ce1f07760889f1f	4163	4647	877401	1300553	28553395	54.563
24	8	384	4849	c6c186abf7af6abc737041d65b0b8ea70694779a2c705a6daadac7fcc3f5e6b6	119773179	eae5827ed8af55d72eb3ff30ee154cdb7f7d2eb7e21137a830cd9503edd529c6	4365	4849	749134	1121346	24387907	43.824
25	8	400	5051	26feccd6a770d5f125f4184ba0f6f590f53ea4bc54a0fe0f0f6c6463e3250590	119307402	c0605c699cb0246b40836f30a33a2e9a9c4bff4a0f28dd7d85328e71e0554bb7	4534	5051	747255	1126955	24157078	36.595
26	8	416	5253	aa765521331f53723b8d14c3eb7f4c551280820f1c4843912e433115dd349c89	164596233	8dac4c55ace4c2865d14047e3adb9cb5adbd4b6f152a92c94477746078852e7e	4723	5253	880291	1390647	29600988	73.208
