index	toggles	red_defects	blue_defects	support_edges	proof_assignments	core_clauses	status
137	15	10	2	78	78	79	UP_UNSAT
138	14	12	0	72	67	68	UP_UNSAT
139	15	8	4	78	76	77	UP_UNSAT
140	15	10	2	78	73	74	UP_UNSAT
141	16	12	0	66	60	61	UP_UNSAT
142	17	12	0	66	60	61	UP_UNSAT
143	15	10	2	66	60	61	UP_UNSAT
144	14	10	2	72	65	66	UP_UNSAT
145	15	8	4	78	76	77	UP_UNSAT
146	15	8	4	78	68	69	UP_UNSAT
147	14	8	4	78	69	70	UP_UNSAT
148	14	4	8	90	86	87	UP_UNSAT
149	13	12	0	60	56	57	UP_UNSAT
150	14	10	2	66	61	62	UP_UNSAT
151	14	10	2	66	61	62	UP_UNSAT
152	15	8	4	72	66	67	UP_UNSAT
153	14	12	0	78	74	75	UP_UNSAT
154	15	12	0	78	74	75	UP_UNSAT
155	14	12	0	78	75	76	UP_UNSAT
156	15	12	0	78	75	76	UP_UNSAT
157	15	12	0	78	75	76	UP_UNSAT
158	14	4	8	84	82	83	UP_UNSAT
159	14	4	8	90	83	84	UP_UNSAT
160	13	6	6	90	83	84	UP_UNSAT
161	13	8	4	84	74	75	UP_UNSAT
162	14	4	8	90	83	84	UP_UNSAT
163	14	6	6	84	74	75	UP_UNSAT
164	14	6	6	84	76	77	UP_UNSAT
165	16	6	6	91	84	85	UP_UNSAT
166	16	8	4	89	83	84	UP_UNSAT
167	17	4	8	88	83	84	UP_UNSAT
168	14	6	6	84	81	82	UP_UNSAT
169	15	4	8	84	79	80	UP_UNSAT
170	13	8	4	84	75	76	UP_UNSAT
171	14	6	6	84	77	78	UP_UNSAT
172	14	6	6	84	77	78	UP_UNSAT
173	13	6	6	90	82	83	UP_UNSAT
174	14	4	8	90	84	85	UP_UNSAT
175	14	4	8	84	80	81	UP_UNSAT
176	14	4	8	90	84	85	UP_UNSAT
177	14	4	8	90	87	88	UP_UNSAT
178	20	6	6	77	75	76	UP_UNSAT
179	21	4	8	83	82	83	UP_UNSAT
180	20	6	6	77	71	72	UP_UNSAT
181	20	6	6	83	78	79	UP_UNSAT
182	21	6	6	83	78	79	UP_UNSAT
183	21	4	8	82	77	78	UP_UNSAT
184	20	4	8	89	85	86	UP_UNSAT
185	21	6	6	77	74	75	UP_UNSAT
186	21	4	8	83	81	82	UP_UNSAT
187	22	4	8	83	81	82	UP_UNSAT
188	17	6	6	97	85	86	UP_UNSAT
189	14	6	6	84	82	83	UP_UNSAT
190	15	4	8	84	80	81	UP_UNSAT
191	15	4	8	84	77	78	UP_UNSAT
192	14	4	8	90	84	85	UP_UNSAT
193	14	4	8	90	82	83	UP_UNSAT
194	17	6	6	95	85	86	UP_UNSAT
195	20	6	6	83	77	78	UP_UNSAT
196	21	6	6	83	78	79	UP_UNSAT
197	20	6	6	83	79	80	UP_UNSAT
198	21	6	6	83	79	80	UP_UNSAT
199	21	6	6	83	80	81	UP_UNSAT
200	21	4	8	82	79	80	UP_UNSAT
201	22	4	8	82	80	81	UP_UNSAT
202	21	4	8	83	78	79	UP_UNSAT
203	21	4	8	83	80	81	UP_UNSAT
204	22	4	8	83	80	81	UP_UNSAT
205	22	2	10	81	79	80	UP_UNSAT
206	21	4	8	83	82	83	UP_UNSAT
207	22	2	10	82	81	82	UP_UNSAT
208	21	4	8	83	81	82	UP_UNSAT
209	21	4	8	82	78	79	UP_UNSAT
210	22	2	10	81	80	81	UP_UNSAT
211	22	2	10	83	80	81	UP_UNSAT
212	22	4	8	83	82	83	UP_UNSAT
213	20	6	6	77	76	77	UP_UNSAT
214	21	4	8	83	82	83	UP_UNSAT
215	20	4	8	89	87	88	UP_UNSAT
216	21	4	8	83	82	83	UP_UNSAT
217	22	2	10	83	81	82	UP_UNSAT
218	21	4	8	82	79	80	UP_UNSAT
219	21	6	6	77	76	77	UP_UNSAT
220	22	4	8	83	82	83	UP_UNSAT
221	22	4	8	82	79	80	UP_UNSAT
222	16	8	4	89	77	78	UP_UNSAT
223	17	6	6	97	90	91	UP_UNSAT
224	17	6	6	95	88	89	UP_UNSAT
225	16	6	6	91	83	84	UP_UNSAT
226	17	4	8	88	76	77	UP_UNSAT
227	22	2	10	81	79	80	UP_UNSAT
228	13	4	8	84	81	82	UP_UNSAT
229	13	4	8	84	81	82	UP_UNSAT
230	14	2	10	84	82	83	UP_UNSAT
231	14	2	10	84	83	84	UP_UNSAT
232	13	4	8	84	77	78	UP_UNSAT
233	14	2	10	84	80	81	UP_UNSAT
234	14	2	10	84	79	80	UP_UNSAT
235	15	0	12	84	82	83	UP_UNSAT
236	14	2	10	84	82	83	UP_UNSAT
237	15	0	12	84	84	85	UP_UNSAT
