formula	variables	clauses	cnf_bytes	cnf_sha256	proof_bytes	proof_sha256	original_core	original_total	lemma_core	lemma_total	resolution_steps	rat_core	verification_seconds
branch50-d25	10432	183619	3433600	4e289cbbea709c2b4ea24652eaf8b7c5f03114600ca2cdf63328e2e734db23ef	257792154	d8f555655bc4814c2e1cb7bccea2bd6db7e1226b16942535f0b6833cfafd2e75	3844	183619	1087575	1759221	53719236	0	212.146
branch50-d24-selector	11437	194233	3650590	e13f78769c23c56a67ca945da8759dae0292e8b3838e1b5da1a9598cce9e6741	723412269	afdff35e38396effe8b3db53ffcc089970d74a5938e13fe87f9b2924f7cc9d98	5281	194233	2721546	4254545	150790876	0	764.883
