# denominator 8; each row: label followed by x and y coefficients in [1,sqrt3,sqrt5,sqrt7,sqrt15,sqrt21,sqrt35,sqrt105]
0	-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0
4	-6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
5	3	0	0	0	0	-1	0	0	0	-3	0	1	2	0	0	0
6	3	0	0	0	0	1	0	0	0	3	0	1	2	0	0	0
7	-5	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0
8	-5	0	-3	0	0	0	0	0	0	-1	0	0	1	0	0	0
9	-6	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0
10	0	0	0	0	0	0	0	0	0	0	0	-2	-2	0	0	0
11	6	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0
12	-3	0	0	0	0	1	0	0	0	3	0	-1	-2	0	0	0
13	-3	0	0	0	0	-1	0	0	0	-3	0	-1	-2	0	0	0
14	5	0	-3	0	0	0	0	0	0	-1	0	0	-1	0	0	0
15	5	0	3	0	0	0	0	0	0	1	0	0	-1	0	0	0
