orbit,packings,calls,queries,options,leaves,found
0,1434,14724,14721,11856,3,0
1,910,6960,6956,5140,4,0
2,1167,9122,9122,6788,0,0
3,1310,9731,9723,7111,4,0
4,2268,11902,11893,7366,3,0
5,1609,15514,15509,12296,5,0
6,1592,14403,14395,11219,6,0
7,7702,28195,27979,12791,2,0
8,1590,9296,9296,6116,0,0
9,3964,16943,16911,9015,0,0
10,2177,13022,13022,8668,0,0
11,5178,19143,18979,8787,1,0
12,6034,26206,26109,14138,1,0
13,7110,27025,26787,12805,1,0
14,7018,28850,28676,14814,1,0
15,1661,11109,11104,7787,4,0
16,3133,16392,16382,10126,1,0
17,1287,5626,5624,3052,1,0
18,4257,16990,16938,8476,0,0
19,3568,16019,15988,8883,1,0
20,1744,8449,8443,4961,0,0
21,1631,7097,7090,3835,0,0
22,4437,17569,17511,8695,0,0
23,2473,9727,9710,4781,0,0
24,3561,11767,11575,4645,0,0
25,3040,13470,13455,7390,1,0
26,3071,10457,10358,4315,1,0
27,2921,10690,10630,4848,0,0
28,4025,14537,14494,6487,0,0
29,250,1380,1380,880,0,0
30,3288,10156,9979,3580,0,0
31,1436,5552,5548,2680,0,0
32,2938,8798,8624,2922,0,0
33,230,1116,1116,656,0,0
34,1375,5655,5649,2905,0,0
35,2358,8120,8105,3404,0,0
36,692,2383,2375,999,0,0
37,2722,8476,8348,3032,0,0
38,644,2108,2104,820,0,0
39,1509,4943,4937,1925,0,0
40,741,3046,3041,1564,0,0
41,2556,7232,7089,2120,0,0
42,859,2984,2978,1266,0,0
43,1728,5119,5059,1663,0,0
44,1263,3643,3601,1117,0,0
45,794,2709,2700,1121,1,0
46,779,2215,2207,657,0,0
47,87,372,372,198,0,0
48,2014,5499,5384,1471,0,0
49,693,2020,2012,634,0,0
50,949,2902,2889,1004,0,0
51,430,1314,1310,454,0,0
52,296,862,858,270,0,0
53,47,176,176,82,0,0
54,907,2748,2744,934,0,0
55,792,2409,2399,825,0,0
56,630,1856,1843,596,0,0
57,800,2174,2150,574,0,0
58,1003,3034,3014,1028,0,0
59,43,231,231,145,0,0
60,451,1460,1456,558,0,0
61,133,460,460,194,0,0
62,1260,3355,3280,835,1,0
63,1499,4030,3966,1032,1,0
64,1183,3345,3332,979,0,0
65,939,2557,2529,679,0,0
66,1139,3007,2981,729,0,0
67,53,184,184,78,0,0
68,1213,3269,3203,843,0,0
69,496,1453,1447,461,0,0
70,1226,3453,3426,1001,0,0
71,702,1912,1900,508,0,0
72,305,932,932,322,0,0
73,1271,3260,3194,718,0,0
74,1579,3945,3802,787,0,0
75,375,1026,1023,276,0,0
76,577,1483,1467,329,0,0
77,165,512,512,182,0,0
78,1586,3863,3713,691,0,0
79,1285,3038,2891,468,0,0
80,896,2532,2524,740,0,0
81,154,558,558,250,0,0
82,148,486,486,190,0,0
83,399,1079,1077,281,0,0
84,352,1123,1123,419,0,0
85,2059,4519,4019,401,0,0
86,1634,4030,3911,762,0,0
87,1124,2733,2668,485,0,0
88,645,1646,1624,356,0,0
89,1292,3057,2919,473,0,0
90,676,1853,1841,501,0,0
91,541,1471,1457,389,0,0
92,156,485,485,173,0,0
93,242,695,691,211,0,0
94,1854,4327,4151,619,0,0
95,139,445,445,167,0,0
96,1361,3194,3041,472,0,0
97,1935,4521,4212,651,0,0
98,656,1626,1591,314,0,0
99,490,1284,1275,304,0,0
100,955,2333,2286,423,0,0
101,637,1799,1789,525,0,0
