# red_exceptional_x variables clauses dimacs_sha256
0 458107 3782794 53bb2e87936f68b468cabe69393f867033c8072f4b06987a037c3a93c6986b8c
3 458107 3782794 beeb2ffa996dca7281289995eac39476389e8675796062b10407617bb902d314
6 458107 3782794 a9092932a782f19819266dde09b686f5bf86826551a7d5f1d43d7529403f81be
9 458107 3782794 a17f5d53152bc61fa3521e1df8ae1c016400d22e0c70a3af2361bbb00fcab717
12 458107 3782794 2fbd1e1c2a97046b33ea4596d4db5c63f7cd23dd0f3ddf24f989db4fbc0e4b40
15 458107 3782794 a1581f1756303f1cbbed9b8733313186ccf53331a359e45590255d7fdbec7334
18 458107 3782794 efec93c108e41fa31755bd4779a176969df5b0f8bbcda466c90dfac0be7bca73
