# red_exceptional_x variables clauses dimacs_sha256
0 458107 3782854 aa24ffb7e81eb5c514ec8961b2df5fd4a9b15e453f16f31f8c2c349fbd9b2a35
3 458107 3782854 751cb0dd2371c7da88bf1c0f5cc57d1374f2ba40c7e2289a29a7082e20fb6717
6 458107 3782854 9eac163e50b473a705b76e4639154d442b90501f250ee5994985b7b6d6b9a0a0
9 458107 3782854 b10fe7719734b80fd3ac3e41db1a357463cbb395bb84f5c413a64bd0d7c93666
12 458107 3782854 99713c3fd027fa31428d33dbd9d6f06d920ccccde1bdb38f64a026cf70b406bf
15 458107 3782854 2ea06a06de430d0ae4d466a7c74bbacbff19b51b1f7b0a42ef413b48f938719a
18 458107 3782854 33a289542b45fa6dbb7e233623fca4fe471cb4787233f37400995bb0b685266a
