SoPlex version 9.0.0 [mode: optimized] [precision: 8 byte] [rational: GMP 6.2.1] [PaPILO n/a] [GitHash: 7418b73]
Copyright (c) 1996-2026 Zuse Institute Berlin (ZIB)

External libraries:
  Boost 1.74.0         Boost C++ Libraries (boost.org)
  GMP 6.2.1            GNU Multiple Precision Arithmetic Library developed by T. Granlund (gmplib.org)
  ZLIB 1.2.13          General Purpose Compression Library by J. Gailly and M. Adler (zlib.net)

int:verbosity = 4
int:pricer = 3
int:syncmode = 1
int:readmode = 1
real:timelimit = 9.00000000e+02

Reading (rational) LP file <colored_sevendeck_normalized.lp> . . .
Finished reading 74141 lines
Reading took 9.08 seconds.

LP has 10619 rows 84341 columns and 574669 nonzeros.

Equilibrium scaling LP (persistent)
before scaling: min= 1.29870130e-02 max= 1.00000000e+00 col-ratio= 7.70000000e+01 row-ratio= 7.70000000e+01
after scaling:  min= 1.29870130e-02 max= 1.00000000e+00 col-ratio= 7.70000000e+01 row-ratio= 7.70000000e+01
LP has 10617 equations, 0 ranged rows, 0 boxed columns
Simplifier (rows) removed 0 rows, 0 non-zeros, 2 col bounds, 0 row bounds; kept 1 column bounds, 0 row bounds
Simplifier (columns) removed 0 rows, 6 cols, 8 non-zeros, 0 col bounds
Simplifier removed 4 rows, 6 columns, 12 nonzeros, 2 col bounds, 0 row bounds
Simplifier kept 1 column bounds, 0 row bounds
Reduced LP has 10615 rows 84335 columns 574657 nonzeros
Reduced LP has 10611 equations, 0 ranged rows, 1 boxed columns

Simplifier performed:
0 empty rows
0 free rows
4 singleton rows
0 forcing rows
0 empty columns
2 fixed columns
0 free columns with zero objective
4 singleton columns with zero objective
0 singleton columns combined with a doubleton equation
0 free singleton columns
0 dominated columns
0 weakly dominated columns
0 duplicate rows
0 duplicate columns (fixed)
0 duplicate columns (substituted)
0 variable aggregations
0 multi aggregations

Equilibrium scaling LP
before scaling: min= 1.29870130e-02 max= 1.00000000e+00 col-ratio= 7.70000000e+01 row-ratio= 7.70000000e+01
after scaling:  min= 1.29870130e-02 max= 1.00000000e+00 col-ratio= 7.70000000e+01 row-ratio= 7.70000000e+01
type |   time |   iters | facts |    shift | viol sum | viol num | obj value
  L  |61.4    |8199     | 59    | 1.96e+00 | 6.59e+01 | 4341     | 6.81346582e-06
  L  |62.8    |8399     | 61    | 1.96e+00 | 1.23e+02 | 4396     | 7.23697756e-06
  L  |64.0    |8599     | 62    | 2.27e+00 | 2.04e+02 | 4254     | 7.47768094e-06
  L  |65.2    |8799     | 63    | 2.27e+00 | 2.88e+02 | 4215     | 7.74497471e-06
  L  |66.4    |8999     | 64    | 2.39e+00 | 9.16e+01 | 4345     | 8.16296666e-06
  L  |67.6    |9199     | 65    | 2.39e+00 | 2.13e+02 | 4267     | 8.61940636e-06
  L  |68.9    |9399     | 67    | 2.51e+00 | 2.83e+02 | 4272     | 9.44062707e-06
  L  |70.1    |9599     | 68    | 2.52e+00 | 1.96e+02 | 4379     | 1.02785871e-05
  L  |71.3    |9799     | 69    | 2.52e+00 | 1.82e+02 | 4339     | 1.06232018e-05
  E  |72.5    |9999     | 70    | 1.27e+02 | 0.00e+00 | 0        | 0.00000000e+00
  L  |72.6    |9999     | 71    | 0.00e+00 | 1.26e+02 | 4348     | 0.00000000e+00
  L  |77.7    |10196    | 72    | 1.82e+00 | 3.75e+02 | 4569     | 1.86454004e-06
  L  |79.1    |10396    | 73    | 1.88e+00 | 2.47e+02 | 4736     | 3.31431806e-06
  L  |80.5    |10596    | 75    | 1.88e+00 | 1.23e+02 | 4630     | 4.00490976e-06
  L  |82.3    |10796    | 76    | 1.74e+00 | 2.32e+02 | 4596     | 4.89578110e-06
  L  |83.8    |10996    | 78    | 1.91e+00 | 2.17e+02 | 4752     | 6.05420686e-06
  L  |85.4    |11196    | 79    | 1.98e+00 | 1.84e+02 | 4687     | 7.14070457e-06
  L  |86.9    |11396    | 80    | 1.98e+00 | 1.57e+02 | 4623     | 7.75868947e-06
  L  |88.2    |11596    | 81    | 2.06e+00 | 1.04e+02 | 4609     | 8.52919264e-06
  L  |89.6    |11796    | 82    | 2.06e+00 | 1.50e+02 | 4580     | 9.21482173e-06
type |   time |   iters | facts |    shift | viol sum | viol num | obj value
  L  |90.9    |11996    | 83    | 2.06e+00 | 1.64e+02 | 4574     | 9.73973692e-06
  L  |92.5    |12196    | 84    | 2.11e+00 | 1.43e+02 | 4767     | 1.04762020e-05
  L  |93.9    |12396    | 85    | 2.11e+00 | 1.75e+02 | 4687     | 1.10301295e-05
  L  |95.2    |12596    | 86    | 2.11e+00 | 1.20e+02 | 4652     | 1.16228277e-05
  L  |96.6    |12796    | 87    | 2.16e+00 | 8.03e+01 | 4583     | 1.23189872e-05
  L  |97.9    |12996    | 88    | 2.16e+00 | 8.69e+01 | 4609     | 1.26241176e-05
  L  |99.3    |13196    | 89    | 2.19e+00 | 1.25e+02 | 4480     | 1.31423674e-05
  L  |100.6   |13396    | 90    | 2.22e+00 | 1.21e+02 | 4659     | 1.38498630e-05
  L  |102.0   |13596    | 91    | 2.22e+00 | 9.36e+01 | 4559     | 1.44927358e-05
  L  |103.5   |13796    | 92    | 2.25e+00 | 1.40e+02 | 4629     | 1.48683066e-05
  L  |104.9   |13996    | 93    | 2.25e+00 | 1.41e+02 | 4529     | 1.54041251e-05
  L  |106.2   |14196    | 94    | 2.25e+00 | 1.18e+02 | 4719     | 1.57666303e-05
  L  |107.8   |14396    | 95    | 2.25e+00 | 1.21e+02 | 4579     | 1.62018189e-05
  L  |109.2   |14596    | 96    | 2.25e+00 | 9.97e+01 | 4679     | 1.66094770e-05
  L  |110.6   |14796    | 97    | 2.25e+00 | 1.37e+02 | 4629     | 1.71603867e-05
  L  |112.1   |14996    | 98    | 2.43e+00 | 1.04e+02 | 4709     | 1.76814782e-05
  L  |113.8   |15196    | 99    | 2.43e+00 | 1.25e+02 | 4666     | 1.81949581e-05
  L  |115.6   |15396    | 100   | 2.43e+00 | 1.05e+02 | 4641     | 1.85681784e-05
  L  |117.0   |15596    | 101   | 2.43e+00 | 8.33e+01 | 4646     | 1.89547961e-05
  L  |118.3   |15796    | 102   | 2.43e+00 | 6.03e+01 | 4617     | 1.92918340e-05
  L  |119.6   |15996    | 103   | 2.43e+00 | 1.20e+02 | 4625     | 1.96344121e-05
  L  |121.0   |16196    | 104   | 2.43e+00 | 9.46e+01 | 4689     | 2.00499398e-05
  L  |122.3   |16396    | 105   | 2.43e+00 | 1.59e+02 | 4605     | 2.05466331e-05
  L  |123.9   |16596    | 106   | 2.43e+00 | 9.08e+01 | 4636     | 2.09755091e-05
  L  |125.3   |16796    | 107   | 2.49e+00 | 2.00e+02 | 4680     | 2.14301914e-05
  L  |126.9   |16996    | 108   | 2.50e+00 | 1.41e+02 | 4819     | 2.20646027e-05
  L  |128.4   |17196    | 109   | 2.50e+00 | 6.67e+01 | 4644     | 2.24127596e-05
  L  |130.0   |17396    | 110   | 2.50e+00 | 2.02e+02 | 4715     | 2.27639300e-05
  L  |131.4   |17596    | 111   | 2.50e+00 | 1.41e+02 | 4751     | 2.31798190e-05
  L  |132.8   |17796    | 112   | 2.50e+00 | 9.49e+01 | 4693     | 2.34497791e-05
type |   time |   iters | facts |    shift | viol sum | viol num | obj value
  L  |134.2   |17996    | 113   | 2.52e+00 | 8.62e+01 | 4892     | 2.42208508e-05
  L  |135.6   |18196    | 114   | 2.52e+00 | 8.80e+01 | 4748     | 2.45868473e-05
  L  |137.0   |18396    | 115   | 2.52e+00 | 1.15e+02 | 4616     | 2.49593027e-05
  L  |138.6   |18596    | 116   | 2.52e+00 | 1.04e+02 | 4746     | 2.53172622e-05
  L  |140.1   |18796    | 117   | 2.52e+00 | 1.43e+02 | 4669     | 2.57139656e-05
  L  |141.5   |18996    | 118   | 2.52e+00 | 7.97e+01 | 4565     | 2.61627731e-05
  L  |143.0   |19196    | 119   | 2.52e+00 | 5.87e+01 | 4579     | 2.65631351e-05
  L  |144.5   |19396    | 120   | 2.57e+00 | 1.12e+02 | 4593     | 4.05231982e-05
  L  |145.9   |19596    | 121   | 2.57e+00 | 9.34e+01 | 4646     | 4.11641478e-05
  L  |147.4   |19796    | 122   | 2.57e+00 | 9.47e+01 | 4648     | 4.15938395e-05
  L  |148.8   |19996    | 123   | 2.57e+00 | 1.48e+02 | 4731     | 4.20160794e-05
  E  |148.8   |19998    | 123   | 1.63e+02 | 0.00e+00 | 0        | 0.00000000e+00
  L  |148.9   |19998    | 124   | 0.00e+00 | 1.63e+02 | 4762     | 0.00000000e+00
  L  |154.5   |20193    | 125   | 1.93e+00 | 1.84e+02 | 4929     | 4.43554287e-05
