orbit,packings,calls,queries,options,leaves,found
2583,0,0,0,0,0,0
2584,2,3,3,1,0,0
2585,4,9,9,5,0,0
2586,0,0,0,0,0,0
2587,0,0,0,0,0,0
2588,0,0,0,0,0,0
2589,1,1,1,0,0,0
2590,0,0,0,0,0,0
2591,1,1,1,0,0,0
2592,17,34,33,17,0,0
2593,1,1,1,0,0,0
2594,3,4,4,1,0,0
2595,5,10,10,5,0,0
2596,0,0,0,0,0,0
2597,71,94,91,23,0,0
2598,3,4,4,1,0,0
2599,0,0,0,0,0,0
2600,0,0,0,0,0,0
2601,0,0,0,0,0,0
2602,7,9,9,2,0,0
2603,4,5,5,1,0,0
2604,5,9,9,4,0,0
2605,0,0,0,0,0,0
2606,3,4,4,1,0,0
2607,15,22,22,7,0,0
2608,1,3,3,2,0,0
2609,0,0,0,0,0,0
2610,0,0,0,0,0,0
2611,0,0,0,0,0,0
2612,0,0,0,0,0,0
2613,158,213,203,55,0,0
2614,0,0,0,0,0,0
2615,22,31,30,9,0,0
2616,0,0,0,0,0,0
2617,0,0,0,0,0,0
2618,1,2,2,1,0,0
2619,6,7,7,1,0,0
2620,0,0,0,0,0,0
2621,0,0,0,0,0,0
2622,0,0,0,0,0,0
2623,0,0,0,0,0,0
2624,0,0,0,0,0,0
2625,2,2,2,0,0,0
2626,0,0,0,0,0,0
2627,0,0,0,0,0,0
2628,3,5,5,2,0,0
2629,0,0,0,0,0,0
2630,12,21,21,9,0,0
2631,0,0,0,0,0,0
2632,0,0,0,0,0,0
2633,3,3,3,0,0,0
2634,0,0,0,0,0,0
2635,1,1,1,0,0,0
2636,5,10,10,5,0,0
2637,1,2,2,1,0,0
2638,0,0,0,0,0,0
2639,0,0,0,0,0,0
2640,1,2,2,1,0,0
2641,4,4,4,0,0,0
2642,0,0,0,0,0,0
2643,0,0,0,0,0,0
2644,3,4,4,1,0,0
2645,0,0,0,0,0,0
2646,12,19,19,7,0,0
2647,9,14,14,5,0,0
2648,0,0,0,0,0,0
2649,0,0,0,0,0,0
2650,1,1,1,0,0,0
2651,10,14,14,4,0,0
2652,20,49,48,29,0,0
2653,0,0,0,0,0,0
2654,1,1,1,0,0,0
2655,3,5,5,2,0,0
2656,0,0,0,0,0,0
2657,0,0,0,0,0,0
2658,0,0,0,0,0,0
2659,8,11,11,3,0,0
2660,7,11,11,4,0,0
2661,0,0,0,0,0,0
2662,0,0,0,0,0,0
2663,3,4,4,1,0,0
2664,0,0,0,0,0,0
2665,6,8,8,2,0,0
2666,0,0,0,0,0,0
2667,0,0,0,0,0,0
