branch	mask	couple_orbits	variables	clauses	cnf_bytes	cnf_sha256	proof_bytes	proof_sha256	original_core	original_total	lemma_core	lemma_total	resolution_steps	rat_core	verification_seconds
61	5941	58	11386	193457	3640388	685d071c82ce9325653f438d90f7822a12f6f666f713af4c9dabc5cecb4f51db	1107470946	672c2cbbf6bba06408c0dcb7628fa36dc17e4a9622b789f767f7e6d79a0c51ad	4728	193457	3743287	6202229	216497208	0	1439.230
62	5948	76	11404	193709	3643674	af2c03482eff31a48d492b42bb919a507e18399e83c6aa96edb05c56a5f8e897	1119486852	43be85229ed3ee21598d12200f6eecae5346236e304f64eb4e91a48381bd4d9a	5100	193709	3816807	6307699	224272585	0	1392.199
