# a b c d; z=(a+b sqrt33+i(c sqrt3+d sqrt11))/12
12 -2 0 0
-12 2 0 0
-5 1 -1 1
-5 1 1 -1
5 -1 1 -1
5 -1 -1 1
7 -1 3 -1
7 -1 -3 1
-7 1 -3 1
-7 1 3 -1
0 0 2 0
0 0 -2 0
2 0 -2 2
2 0 2 -2
-2 0 2 -2
-2 0 -2 2
9 -1 7 -3
9 -1 -7 3
-9 1 -7 3
-9 1 7 -3
4 0 4 -2
4 0 -4 2
-4 0 -4 2
-4 0 4 -2
-1 1 -1 1
-1 1 1 -1
1 -1 1 -1
1 -1 -1 1
7 -1 1 1
7 -1 -1 -1
-7 1 -1 -1
-7 1 1 1
9 -1 -3 3
9 -1 3 -3
-9 1 3 -3
-9 1 -3 3
6 0 0 0
-6 0 0 0
-6 2 2 0
-6 2 -2 0
6 -2 -2 0
6 -2 2 0
12 -2 4 0
12 -2 -4 0
-12 2 -4 0
-12 2 4 0
1 1 3 -1
1 1 -3 1
-1 -1 -3 1
-1 -1 3 -1
-1 1 5 -1
-1 1 -5 1
1 -1 -5 1
1 -1 5 -1
11 -1 1 1
11 -1 -1 -1
-11 1 -1 -1
-11 1 1 1
4 0 0 2
4 0 0 -2
-4 0 0 -2
-4 0 0 2
1 1 1 1
1 1 -1 -1
-1 -1 -1 -1
-1 -1 1 1
-3 1 -1 3
-3 1 1 -3
3 -1 1 -3
3 -1 -1 3
6 0 4 0
6 0 -4 0
-6 0 -4 0
-6 0 4 0
-1 1 3 1
-1 1 -3 -1
1 -1 -3 -1
1 -1 3 1
3 1 -3 3
3 1 3 -3
-3 -1 3 -3
-3 -1 -3 3
2 0 2 2
2 0 -2 -2
-2 0 -2 -2
-2 0 2 2
0 0 6 0
8 0 0 2
8 0 0 -2
0 0 -6 0
-8 0 0 -2
-8 0 0 2
4 0 -2 4
4 0 2 -4
-4 0 2 -4
-4 0 -2 4
0 2 0 0
0 -2 0 0
-6 2 6 0
-6 2 -6 0
6 -2 -6 0
6 -2 6 0
5 1 1 1
5 1 -1 -1
-5 -1 -1 -1
-5 -1 1 1
9 -1 1 3
9 -1 -1 -3
-9 1 -1 -3
-9 1 1 3
15 -1 -1 3
15 -1 1 -3
-15 1 1 -3
-15 1 -1 3
12 0 2 0
12 0 -2 0
-12 0 -2 0
-12 0 2 0
7 1 -1 1
7 1 1 -1
-7 -1 1 -1
-7 -1 -1 1
2 0 0 4
0 2 4 0
0 2 -4 0
2 0 0 -4
-2 0 0 -4
0 -2 -4 0
0 -2 4 0
-2 0 0 4
-10 2 4 2
-10 2 -4 -2
10 -2 -4 -2
10 -2 4 2
1 1 5 1
1 1 -5 -1
-1 -1 -5 -1
-1 -1 5 1
4 0 4 2
4 0 -4 -2
-4 0 -4 -2
-4 0 4 2
10 0 2 2
10 0 -2 -2
-10 0 -2 -2
-10 0 2 2
14 0 -2 2
14 0 2 -2
-14 0 2 -2
-14 0 -2 2
3 1 1 3
3 1 -1 -3
-3 -1 -1 -3
-3 -1 1 3
9 1 -5 3
9 1 5 -3
-9 -1 5 -3
-9 -1 -5 3
7 1 3 1
7 1 -3 -1
-7 -1 -3 -1
-7 -1 3 1
-3 1 3 3
-3 1 -3 -3
3 -1 -3 -3
3 -1 3 3
12 0 6 0
12 0 -6 0
-12 0 -6 0
-12 0 6 0
11 1 -1 1
11 1 1 -1
-11 -1 1 -1
-11 -1 -1 1
9 1 -1 3
9 1 1 -3
-9 -1 1 -3
-9 -1 -1 3
4 0 2 4
4 0 -2 -4
-4 0 -2 -4
-4 0 2 4
6 2 2 0
6 2 -2 0
-6 -2 -2 0
-6 -2 2 0
18 0 0 0
-18 0 0 0
9 -1 5 3
9 -1 -5 -3
-9 1 -5 -3
-9 1 5 3
6 2 6 0
6 2 -6 0
-6 -2 -6 0
-6 -2 6 0
9 1 3 3
9 1 -3 -3
-9 -1 -3 -3
-9 -1 3 3
12 2 0 0
-12 -2 0 0
15 1 1 3
15 1 -1 -3
-15 -1 -1 -3
-15 -1 1 3
12 2 4 0
12 2 -4 0
-12 -2 -4 0
-12 -2 4 0
9 1 7 3
9 1 -7 -3
-9 -1 -7 -3
-9 -1 7 3
