order_index	vertex	status	vertices_after
179	321	SAT_VERIFIED	561
180	323	SAT_VERIFIED	561
181	324	SAT_VERIFIED	561
182	444	SAT_VERIFIED	561
183	487	SAT_VERIFIED	561
184	492	SAT_VERIFIED	561
185	494	SAT_VERIFIED	561
186	99	SAT_VERIFIED	561
187	100	SAT_VERIFIED	561
188	122	SAT_VERIFIED	561
189	123	SAT_VERIFIED	561
190	124	SAT_VERIFIED	561
191	125	SAT_VERIFIED	561
192	126	SAT_VERIFIED	561
193	127	SAT_VERIFIED	561
194	201	SAT_VERIFIED	561
195	209	SAT_VERIFIED	561
196	211	SAT_VERIFIED	561
197	212	POSITIVE_COVER	561
198	224	SAT_VERIFIED	561
199	225	POSITIVE_COVER	561
200	246	SAT_VERIFIED	561
201	260	SAT_VERIFIED	561
202	261	SAT_VERIFIED	561
203	263	SAT_VERIFIED	561
204	265	SAT_VERIFIED	561
205	266	SAT_VERIFIED	561
206	283	SAT_VERIFIED	561
207	284	SAT_VERIFIED	561
208	285	SAT_VERIFIED	561
209	286	SAT_VERIFIED	561
210	294	SAT_VERIFIED	561
211	298	SAT_VERIFIED	561
212	300	POSITIVE_COVER	561
213	304	SAT_VERIFIED	561
214	306	SAT_VERIFIED	561
215	310	UNKNOWN	561
216	313	SAT_VERIFIED	561
217	314	SAT_VERIFIED	561
218	315	SAT_VERIFIED	561
219	316	SAT_VERIFIED	561
220	317	SAT_VERIFIED	561
221	322	SAT_VERIFIED	561
222	325	SAT_VERIFIED	561
223	375	SAT_VERIFIED	561
224	376	SAT_VERIFIED	561
225	377	SAT_VERIFIED	561
226	400	SAT_VERIFIED	561
227	404	SAT_VERIFIED	561
228	406	UNKNOWN	561
229	409	UNKNOWN	561
230	443	SAT_VERIFIED	561
231	452	SAT_VERIFIED	561
232	455	UNKNOWN	561
233	457	SAT_VERIFIED	561
234	460	SAT_VERIFIED	561
235	465	SAT_VERIFIED	561
236	466	SAT_VERIFIED	561
237	467	SAT_VERIFIED	561
238	479	SAT_VERIFIED	561
239	488	SAT_VERIFIED	561
240	491	SAT_VERIFIED	561
241	493	SAT_VERIFIED	561
242	13	SAT_VERIFIED	561
243	14	SAT_VERIFIED	561
244	18	SAT_VERIFIED	561
245	21	SAT_VERIFIED	561
246	68	SAT_VERIFIED	561
247	69	SAT_VERIFIED	561
248	103	SAT_VERIFIED	561
249	104	SAT_VERIFIED	561
250	107	SAT_VERIFIED	561
251	108	SAT_VERIFIED	561
252	113	SAT_VERIFIED	561
253	118	SAT_VERIFIED	561
254	119	SAT_VERIFIED	561
255	120	SAT_VERIFIED	561
256	192	SAT_VERIFIED	561
257	194	SAT_VERIFIED	561
258	198	SAT_VERIFIED	561
259	200	POSITIVE_COVER	561
260	213	SAT_VERIFIED	561
261	218	SAT_VERIFIED	561
262	219	SAT_VERIFIED	561
263	230	SAT_VERIFIED	561
264	231	SAT_VERIFIED	561
265	232	SAT_VERIFIED	561
266	287	SAT_VERIFIED	561
267	288	SAT_VERIFIED	561
268	360	UNKNOWN	561
269	378	SAT_VERIFIED	561
270	379	UNKNOWN	561
271	382	SAT_VERIFIED	561
272	389	SAT_VERIFIED	561
273	390	SAT_VERIFIED	561
274	401	SAT_VERIFIED	561
275	402	SAT_VERIFIED	561
276	403	SAT_VERIFIED	561
277	405	SAT_VERIFIED	561
278	407	UNKNOWN	561
279	408	SAT_VERIFIED	561
280	441	SAT_VERIFIED	561
281	442	SAT_VERIFIED	561
282	447	SAT_VERIFIED	561
283	448	SAT_VERIFIED	561
284	449	SAT_VERIFIED	561
285	451	SAT_VERIFIED	561
286	454	UNKNOWN	561
287	456	SAT_VERIFIED	561
288	458	SAT_VERIFIED	561
289	459	SAT_VERIFIED	561
290	461	SAT_VERIFIED	561
291	463	SAT_VERIFIED	561
292	464	SAT_VERIFIED	561
293	469	SAT_VERIFIED	561
294	470	SAT_VERIFIED	561
295	500	UNKNOWN	561
296	504	POSITIVE_COVER	561
297	505	UNKNOWN	561
298	506	SAT_VERIFIED	561
299	507	UNSAT_PROVISIONAL	560
300	509	SAT_VERIFIED	560
301	1	SAT_VERIFIED	560
302	4	SAT_VERIFIED	560
303	15	SAT_VERIFIED	560
304	70	SAT_VERIFIED	560
305	71	SAT_VERIFIED	560
306	72	SAT_VERIFIED	560
307	73	SAT_VERIFIED	560
308	87	SAT_VERIFIED	560
309	88	SAT_VERIFIED	560
310	92	SAT_VERIFIED	560
311	95	SAT_VERIFIED	560
312	96	SAT_VERIFIED	560
313	112	SAT_VERIFIED	560
314	121	SAT_VERIFIED	560
315	157	SAT_VERIFIED	560
316	178	SAT_VERIFIED	560
317	181	SAT_VERIFIED	560
318	206	SAT_VERIFIED	560
319	234	SAT_VERIFIED	560
320	273	SAT_VERIFIED	560
321	276	SAT_VERIFIED	560
322	277	SAT_VERIFIED	560
323	280	SAT_VERIFIED	560
324	289	SAT_VERIFIED	560
325	290	SAT_VERIFIED	560
326	291	SAT_VERIFIED	560
327	292	SAT_VERIFIED	560
328	295	SAT_VERIFIED	560
329	297	SAT_VERIFIED	560
330	301	SAT_VERIFIED	560
331	303	SAT_VERIFIED	560
332	307	SAT_VERIFIED	560
333	309	SAT_VERIFIED	560
334	327	SAT_VERIFIED	560
335	328	POSITIVE_COVER	560
336	380	SAT_VERIFIED	560
337	383	SAT_VERIFIED	560
338	385	SAT_VERIFIED	560
339	387	SAT_VERIFIED	560
340	391	SAT_VERIFIED	560
341	398	SAT_VERIFIED	560
342	421	SAT_VERIFIED	560
343	428	SAT_VERIFIED	560
344	431	UNKNOWN	560
345	432	SAT_VERIFIED	560
346	433	SAT_VERIFIED	560
347	434	UNKNOWN	560
348	445	SAT_VERIFIED	560
349	446	SAT_VERIFIED	560
350	450	SAT_VERIFIED	560
351	453	SAT_VERIFIED	560
352	490	SAT_VERIFIED	560
353	497	SAT_VERIFIED	560
354	499	SAT_VERIFIED	560
355	501	SAT_VERIFIED	560
356	5	SAT_VERIFIED	560
357	8	SAT_VERIFIED	560
358	9	SAT_VERIFIED	560
359	12	SAT_VERIFIED	560
360	16	SAT_VERIFIED	560
361	17	SAT_VERIFIED	560
362	27	SAT_VERIFIED	560
363	28	SAT_VERIFIED	560
364	32	SAT_VERIFIED	560
365	35	SAT_VERIFIED	560
366	39	POSITIVE_COVER	560
367	40	SAT_VERIFIED	560
368	43	SAT_VERIFIED	560
369	44	SAT_VERIFIED	560
370	48	POSITIVE_COVER	560
371	51	POSITIVE_COVER	560
372	55	SAT_VERIFIED	560
373	57	SAT_VERIFIED	560
374	61	SAT_VERIFIED	560
375	63	SAT_VERIFIED	560
376	67	SAT_VERIFIED	560
377	75	SAT_VERIFIED	560
378	76	SAT_VERIFIED	560
379	78	SAT_VERIFIED	560
380	80	SAT_VERIFIED	560
381	83	SAT_VERIFIED	560
382	85	SAT_VERIFIED	560
383	86	SAT_VERIFIED	560
384	91	SAT_VERIFIED	560
385	93	SAT_VERIFIED	560
386	110	SAT_VERIFIED	560
387	111	SAT_VERIFIED	560
388	114	SAT_VERIFIED	560
389	115	SAT_VERIFIED	560
390	116	SAT_VERIFIED	560
391	117	SAT_VERIFIED	560
392	132	SAT_VERIFIED	560
393	139	SAT_VERIFIED	560
394	142	POSITIVE_COVER	560
395	149	SAT_VERIFIED	560
396	158	SAT_VERIFIED	560
397	167	SAT_VERIFIED	560
398	168	POSITIVE_COVER	560
399	170	SAT_VERIFIED	560
400	177	SAT_VERIFIED	560
401	182	SAT_VERIFIED	560
402	185	SAT_VERIFIED	560
403	186	SAT_VERIFIED	560
404	189	SAT_VERIFIED	560
405	204	SAT_VERIFIED	560
406	215	SAT_VERIFIED	560
407	216	SAT_VERIFIED	560
408	233	SAT_VERIFIED	560
409	235	SAT_VERIFIED	560
410	236	SAT_VERIFIED	560
411	238	SAT_VERIFIED	560
412	239	SAT_VERIFIED	560
413	240	SAT_VERIFIED	560
414	248	SAT_VERIFIED	560
415	253	SAT_VERIFIED	560
416	256	SAT_VERIFIED	560
417	257	SAT_VERIFIED	560
418	272	SAT_VERIFIED	560
419	274	SAT_VERIFIED	560
420	278	SAT_VERIFIED	560
421	279	SAT_VERIFIED	560
422	281	SAT_VERIFIED	560
423	329	SAT_VERIFIED	560
424	332	SAT_VERIFIED	560
425	358	UNKNOWN	560
426	359	SAT_VERIFIED	560
427	381	SAT_VERIFIED	560
428	386	SAT_VERIFIED	560
429	392	SAT_VERIFIED	560
430	416	UNKNOWN	560
431	429	SAT_VERIFIED	560
432	468	SAT_VERIFIED	560
433	471	SAT_VERIFIED	560
434	473	POSITIVE_COVER	560
435	474	SAT_VERIFIED	560
436	19	SAT_VERIFIED	560
437	20	SAT_VERIFIED	560
438	29	SAT_VERIFIED	560
439	31	SAT_VERIFIED	560
440	36	SAT_VERIFIED	560
441	47	SAT_VERIFIED	560
442	74	SAT_VERIFIED	560
443	77	SAT_VERIFIED	560
444	82	SAT_VERIFIED	560
445	89	SAT_VERIFIED	560
446	90	SAT_VERIFIED	560
447	94	SAT_VERIFIED	560
448	97	SAT_VERIFIED	560
449	128	SAT_VERIFIED	560
450	129	SAT_VERIFIED	560
451	131	SAT_VERIFIED	560
452	135	SAT_VERIFIED	560
453	136	SAT_VERIFIED	560
454	165	SAT_VERIFIED	560
455	166	SAT_VERIFIED	560
456	169	SAT_VERIFIED	560
457	171	SAT_VERIFIED	560
458	172	SAT_VERIFIED	560
459	173	SAT_VERIFIED	560
460	174	SAT_VERIFIED	560
461	175	SAT_VERIFIED	560
462	176	SAT_VERIFIED	560
463	190	SAT_VERIFIED	560
464	193	SAT_VERIFIED	560
465	196	SAT_VERIFIED	560
466	199	POSITIVE_COVER	560
467	202	SAT_VERIFIED	560
468	205	SAT_VERIFIED	560
469	214	SAT_VERIFIED	560
470	217	SAT_VERIFIED	560
471	220	POSITIVE_COVER	560
472	221	SAT_VERIFIED	560
473	222	SAT_VERIFIED	560
474	223	SAT_VERIFIED	560
475	226	POSITIVE_COVER	560
476	227	SAT_VERIFIED	560
477	228	SAT_VERIFIED	560
478	229	SAT_VERIFIED	560
479	237	SAT_VERIFIED	560
480	249	SAT_VERIFIED	560
481	252	SAT_VERIFIED	560
482	271	SAT_VERIFIED	560
483	275	SAT_VERIFIED	560
484	282	SAT_VERIFIED	560
485	330	SAT_VERIFIED	560
486	331	SAT_VERIFIED	560
487	362	UNKNOWN	560
488	388	SAT_VERIFIED	560
489	394	SAT_VERIFIED	560
490	396	SAT_VERIFIED	560
491	420	SAT_VERIFIED	560
492	424	SAT_VERIFIED	560
493	426	SAT_VERIFIED	560
494	427	SAT_VERIFIED	560
495	435	SAT_VERIFIED	560
496	437	SAT_VERIFIED	560
497	439	SAT_VERIFIED	560
498	440	UNKNOWN	560
499	472	SAT_VERIFIED	560
500	475	SAT_VERIFIED	560
501	476	SAT_VERIFIED	560
502	477	SAT_VERIFIED	560
503	481	SAT_VERIFIED	560
504	482	SAT_VERIFIED	560
505	483	SAT_VERIFIED	560
506	484	SAT_VERIFIED	560
507	485	SAT_VERIFIED	560
508	486	SAT_VERIFIED	560
509	495	SAT_VERIFIED	560
510	496	SAT_VERIFIED	560
511	502	SAT_VERIFIED	560
512	503	SAT_VERIFIED	560
513	26	SAT_VERIFIED	560
514	30	SAT_VERIFIED	560
515	33	SAT_VERIFIED	560
516	79	SAT_VERIFIED	560
517	81	POSITIVE_COVER	560
518	84	SAT_VERIFIED	560
519	130	SAT_VERIFIED	560
520	133	SAT_VERIFIED	560
521	134	SAT_VERIFIED	560
522	138	SAT_VERIFIED	560
523	150	SAT_VERIFIED	560
524	251	SAT_VERIFIED	560
525	346	SAT_VERIFIED	560
526	348	SAT_VERIFIED	560
527	351	SAT_VERIFIED	560
528	372	SAT_VERIFIED	560
529	393	UNKNOWN	560
530	397	SAT_VERIFIED	560
531	417	SAT_VERIFIED	560
532	418	SAT_VERIFIED	560
533	419	SAT_VERIFIED	560
534	422	SAT_VERIFIED	560
535	423	SAT_VERIFIED	560
536	425	SAT_VERIFIED	560
537	430	SAT_VERIFIED	560
538	436	SAT_VERIFIED	560
539	438	SAT_VERIFIED	560
540	480	SAT_VERIFIED	560
541	498	UNKNOWN	560
542	508	SAT_VERIFIED	560
543	34	SAT_VERIFIED	560
544	37	SAT_VERIFIED	560
545	41	SAT_VERIFIED	560
546	42	SAT_VERIFIED	560
547	45	SAT_VERIFIED	560
