formula	variables	clauses	cnf_bytes	cnf_sha256	proof_bytes	proof_sha256	original_core	lemma_core	lemma_total	resolution_steps	rat_core
branch58-d22-center15	10432	183627	3433640	b221f7ad79f1b3a86cc56e086380aac59dc0202897656e9710844281181f3505	24718099	8d702f9cb8311eb0a5396ad3ef8b7d2d9d10b6d3f17e7c7c3c8731404b56a8f3	3257	92038	223727	3664543	0
branch58-d22-center63	10432	183627	3433642	fa726fdd665d175f31aa2189b6a4e94b868f9eaffb632317f86276d650d792e3	12896180	800aeec8dd6cc92ece9eef02c97b9e6d1fd7e765dfaa94c0646b02b52e0664bf	3001	40439	131837	1651480	0
branch58-d22-center75	10432	183627	3433642	0ce428369d1cd046c2592bfd79fcdcec1c19e1a4f2416fb5cdf34df14c44c561	9523465	8dafc09d9441e28b9237ac17badfd44011d5ec09d36044a6a93729bb5b2724e8	2721	23285	95151	1061026	0
branch58-d22-center95	10432	183627	3433642	37cf743aa6980b5af8fc5aa72399e62b02f6e3d00d613fbc92df1e03cbb86c77	12135865	f957e3c18353084947354ff64fb7c1043f8b9c823907c5256cbaca9437f98105	3159	37542	126583	1565073	0
branch58-d22-center126	10432	183627	3433647	8ab485b6fe4d81a9f62fa58f74065b2f29e282043d6258e607931a074fbf8406	10115550	dccfa912eb64654b8831bf1ef36292e2637b4f06a64dc5163be499f89dddaa1e	2787	25081	102730	920910	0
branch58-d22-center127	10432	183627	3433647	8599dd8819797c67f7dcbc6b7d1ae1a1705ca7534557ba78c0b5ddacc3842a9b	11789537	b56310675adf7f561ff35312ad963c89683b6006ddef7fc670f4da6503f60704	2767	36514	117004	1552158	0
