RR	0	13527
RR	1	1106
RR	2	1106
RR	3	1106
RR	4	1106
RR	5	1106
RR	7	82
RR	8	82
RR	9	82
RR	10	1106
RR	11	82
RR	13	82
RR	14	82
RR	15	1106
RR	16	82
RR	17	82
RR	19	82
RR	20	1106
RR	21	82
RR	22	82
RR	23	82
RR	25	1106
RR	27	82
RR	28	82
RR	29	82
RR	35	82
RR	38	7
RR	39	7
RR	40	82
RR	42	7
RR	44	7
RR	45	82
RR	47	7
RR	48	7
RR	50	1106
RR	51	82
RR	53	82
RR	54	82
RR	55	82
RR	58	7
RR	59	7
RR	65	82
RR	66	7
RR	69	7
RR	70	82
RR	71	7
RR	73	7
RR	75	1106
RR	76	82
RR	77	82
RR	79	82
RR	80	82
RR	82	7
RR	84	7
RR	85	82
RR	86	7
RR	89	7
RR	95	82
RR	96	7
RR	97	7
RR	100	1106
RR	101	82
RR	102	82
RR	103	82
RR	105	82
RR	107	7
RR	108	7
RR	110	82
RR	111	7
RR	113	7
RR	115	82
RR	116	7
RR	117	7
RR	125	1106
RR	127	82
RR	128	82
RR	129	82
RR	135	82
RR	138	7
RR	139	7
RR	140	82
RR	142	7
RR	144	7
RR	145	82
RR	147	7
RR	148	7
RR	175	82
RR	178	7
RR	179	7
RR	190	7
RR	194	1
RR	195	7
RR	198	1
RR	200	82
RR	202	7
RR	204	7
RR	210	7
RR	214	1
RR	220	7
RR	222	1
RR	225	82
RR	227	7
RR	228	7
RR	235	7
RR	238	1
RR	240	7
RR	242	1
RR	250	1106
RR	251	82
RR	253	82
RR	254	82
RR	255	82
RR	258	7
RR	259	7
RR	265	82
RR	266	7
RR	269	7
RR	270	82
RR	271	7
RR	273	7
RR	275	82
RR	278	7
RR	279	7
RR	290	7
RR	294	1
RR	295	7
RR	298	1
RR	325	82
RR	326	7
RR	329	7
RR	330	7
RR	334	1
RR	345	7
RR	346	1
RR	350	82
RR	351	7
RR	353	7
RR	355	7
RR	358	1
RR	365	7
RR	366	1
RR	375	1106
RR	376	82
RR	377	82
RR	379	82
RR	380	82
RR	382	7
RR	384	7
RR	385	82
RR	386	7
RR	389	7
RR	395	82
RR	396	7
RR	397	7
RR	400	82
RR	402	7
RR	404	7
RR	410	7
RR	414	1
RR	420	7
RR	422	1
RR	425	82
RR	426	7
RR	429	7
RR	430	7
RR	434	1
RR	445	7
RR	446	1
RR	475	82
RR	476	7
RR	477	7
RR	480	7
RR	482	1
RR	485	7
RR	486	1
RR	500	1106
RR	501	82
RR	502	82
RR	503	82
RR	505	82
RR	507	7
RR	508	7
RR	510	82
RR	511	7
RR	513	7
RR	515	82
RR	516	7
RR	517	7
RR	525	82
RR	527	7
RR	528	7
RR	535	7
RR	538	1
RR	540	7
RR	542	1
RR	550	82
RR	551	7
RR	553	7
RR	555	7
RR	558	1
RR	565	7
RR	566	1
RR	575	82
RR	576	7
RR	577	7
RR	580	7
RR	582	1
RR	585	7
RR	586	1
RB	0	6510
RB	1	988
RB	2	988
RB	3	988
RB	4	988
RB	5	988
RB	6	72
RB	7	121
RB	8	121
RB	9	121
RB	10	988
RB	11	121
RB	12	72
RB	13	121
RB	14	121
RB	15	988
RB	16	121
RB	17	121
RB	18	72
RB	19	121
RB	20	988
RB	21	121
RB	22	121
RB	23	121
RB	24	72
RB	25	988
RB	26	72
RB	27	121
RB	28	121
RB	29	121
RB	30	72
RB	31	4
RB	32	11
RB	33	11
RB	34	11
RB	35	121
RB	36	11
RB	37	11
RB	38	11
RB	39	11
RB	40	121
RB	41	11
RB	42	11
RB	43	11
RB	44	11
RB	45	121
RB	46	11
RB	47	11
RB	48	11
RB	49	11
RB	50	988
RB	51	121
RB	52	72
RB	53	121
RB	54	121
RB	55	121
RB	56	11
RB	57	11
RB	58	11
RB	59	11
RB	60	72
RB	61	11
RB	62	4
RB	63	11
RB	64	11
RB	65	121
RB	66	11
RB	67	11
RB	68	11
RB	69	11
RB	70	121
RB	71	11
RB	72	11
RB	73	11
RB	74	11
RB	75	988
RB	76	121
RB	77	121
RB	78	72
RB	79	121
RB	80	121
RB	81	11
RB	82	11
RB	83	11
RB	84	11
RB	85	121
RB	86	11
RB	87	11
RB	88	11
RB	89	11
RB	90	72
RB	91	11
RB	92	11
RB	93	4
RB	94	11
RB	95	121
RB	96	11
RB	97	11
RB	98	11
RB	99	11
RB	100	988
RB	101	121
RB	102	121
RB	103	121
RB	104	72
RB	105	121
RB	106	11
RB	107	11
RB	108	11
RB	109	11
RB	110	121
RB	111	11
RB	112	11
RB	113	11
RB	114	11
RB	115	121
RB	116	11
RB	117	11
RB	118	11
RB	119	11
RB	120	72
RB	121	11
RB	122	11
RB	123	11
RB	124	4
RB	125	988
RB	126	72
RB	127	121
RB	128	121
RB	129	121
RB	130	72
RB	131	4
RB	132	11
RB	133	11
RB	134	11
RB	135	121
RB	136	11
RB	137	11
RB	138	11
RB	139	11
RB	140	121
RB	141	11
RB	142	11
RB	143	11
RB	144	11
RB	145	121
RB	146	11
RB	147	11
RB	148	11
RB	149	11
RB	150	72
RB	151	4
RB	152	11
RB	153	11
RB	154	11
RB	155	4
RB	157	1
RB	158	1
RB	159	1
RB	160	11
RB	161	1
RB	162	1
RB	163	1
RB	164	1
RB	165	11
RB	166	1
RB	167	1
RB	168	1
RB	169	1
RB	170	11
RB	171	1
RB	172	1
RB	173	1
RB	174	1
RB	175	121
RB	176	11
RB	177	11
RB	178	11
RB	179	11
RB	180	11
RB	181	1
RB	182	1
RB	183	1
RB	184	1
RB	185	11
RB	186	1
RB	187	1
RB	188	1
RB	189	1
RB	190	11
RB	191	1
RB	192	1
RB	193	1
RB	194	1
RB	195	11
RB	196	1
RB	197	1
RB	198	1
RB	199	1
RB	200	121
RB	201	11
RB	202	11
RB	203	11
RB	204	11
RB	205	11
RB	206	1
RB	207	1
RB	208	1
RB	209	1
RB	210	11
RB	211	1
RB	212	1
RB	213	1
RB	214	1
RB	215	11
RB	216	1
RB	217	1
RB	218	1
RB	219	1
RB	220	11
RB	221	1
RB	222	1
RB	223	1
RB	224	1
RB	225	121
RB	226	11
RB	227	11
RB	228	11
RB	229	11
RB	230	11
RB	231	1
RB	232	1
RB	233	1
RB	234	1
RB	235	11
RB	236	1
RB	237	1
RB	238	1
RB	239	1
RB	240	11
RB	241	1
RB	242	1
RB	243	1
RB	244	1
RB	245	11
RB	246	1
RB	247	1
RB	248	1
RB	249	1
RB	250	988
RB	251	121
RB	252	72
RB	253	121
RB	254	121
RB	255	121
RB	256	11
RB	257	11
RB	258	11
RB	259	11
RB	260	72
RB	261	11
RB	262	4
RB	263	11
RB	264	11
RB	265	121
RB	266	11
RB	267	11
RB	268	11
RB	269	11
RB	270	121
RB	271	11
RB	272	11
RB	273	11
RB	274	11
RB	275	121
RB	276	11
RB	277	11
RB	278	11
RB	279	11
RB	280	11
RB	281	1
RB	282	1
RB	283	1
RB	284	1
RB	285	11
RB	286	1
RB	287	1
RB	288	1
RB	289	1
RB	290	11
RB	291	1
RB	292	1
RB	293	1
RB	294	1
RB	295	11
RB	296	1
RB	297	1
RB	298	1
RB	299	1
RB	300	72
RB	301	11
RB	302	4
RB	303	11
RB	304	11
RB	305	11
RB	306	1
RB	307	1
RB	308	1
RB	309	1
RB	310	4
RB	311	1
RB	313	1
RB	314	1
RB	315	11
RB	316	1
RB	317	1
RB	318	1
RB	319	1
RB	320	11
RB	321	1
RB	322	1
RB	323	1
RB	324	1
RB	325	121
RB	326	11
RB	327	11
RB	328	11
RB	329	11
RB	330	11
RB	331	1
RB	332	1
RB	333	1
RB	334	1
RB	335	11
RB	336	1
RB	337	1
RB	338	1
RB	339	1
RB	340	11
RB	341	1
RB	342	1
RB	343	1
RB	344	1
RB	345	11
RB	346	1
RB	347	1
RB	348	1
RB	349	1
RB	350	121
RB	351	11
RB	352	11
RB	353	11
RB	354	11
RB	355	11
RB	356	1
RB	357	1
RB	358	1
RB	359	1
RB	360	11
RB	361	1
RB	362	1
RB	363	1
RB	364	1
RB	365	11
RB	366	1
RB	367	1
RB	368	1
RB	369	1
RB	370	11
RB	371	1
RB	372	1
RB	373	1
RB	374	1
RB	375	988
RB	376	121
RB	377	121
RB	378	72
RB	379	121
RB	380	121
RB	381	11
RB	382	11
RB	383	11
RB	384	11
RB	385	121
RB	386	11
RB	387	11
RB	388	11
RB	389	11
RB	390	72
RB	391	11
RB	392	11
RB	393	4
RB	394	11
RB	395	121
RB	396	11
RB	397	11
RB	398	11
RB	399	11
RB	400	121
RB	401	11
RB	402	11
RB	403	11
RB	404	11
RB	405	11
RB	406	1
RB	407	1
RB	408	1
RB	409	1
RB	410	11
RB	411	1
RB	412	1
RB	413	1
RB	414	1
RB	415	11
RB	416	1
RB	417	1
RB	418	1
RB	419	1
RB	420	11
RB	421	1
RB	422	1
RB	423	1
RB	424	1
RB	425	121
RB	426	11
RB	427	11
RB	428	11
RB	429	11
RB	430	11
RB	431	1
RB	432	1
RB	433	1
RB	434	1
RB	435	11
RB	436	1
RB	437	1
RB	438	1
RB	439	1
RB	440	11
RB	441	1
RB	442	1
RB	443	1
RB	444	1
RB	445	11
RB	446	1
RB	447	1
RB	448	1
RB	449	1
RB	450	72
RB	451	11
RB	452	11
RB	453	4
RB	454	11
RB	455	11
RB	456	1
RB	457	1
RB	458	1
RB	459	1
RB	460	11
RB	461	1
RB	462	1
RB	463	1
RB	464	1
RB	465	4
RB	466	1
RB	467	1
RB	469	1
RB	470	11
RB	471	1
RB	472	1
RB	473	1
RB	474	1
RB	475	121
RB	476	11
RB	477	11
RB	478	11
RB	479	11
RB	480	11
RB	481	1
RB	482	1
RB	483	1
RB	484	1
RB	485	11
RB	486	1
RB	487	1
RB	488	1
RB	489	1
RB	490	11
RB	491	1
RB	492	1
RB	493	1
RB	494	1
RB	495	11
RB	496	1
RB	497	1
RB	498	1
RB	499	1
RB	500	988
RB	501	121
RB	502	121
RB	503	121
RB	504	72
RB	505	121
RB	506	11
