same	0	13527	1430579329
same	1	1106	1300582241
same	2	1106	1300582241
same	3	1106	1300582241
same	4	1106	1300582241
same	5	1106	1300582241
same	7	82	1180308993
same	8	82	1180308993
same	9	82	1180308993
same	10	1106	1300582241
same	11	82	1180308993
same	13	82	1180308993
same	14	82	1180308993
same	15	1106	1300582241
same	16	82	1180308993
same	17	82	1180308993
same	19	82	1180308993
same	20	1106	1300582241
same	21	82	1180308993
same	22	82	1180308993
same	23	82	1180308993
same	25	1106	1300582241
same	27	82	1180308993
same	28	82	1180308993
same	29	82	1180308993
same	35	82	1180308993
same	38	7	1069146145
same	39	7	1069146145
same	40	82	1180308993
same	42	7	1069146145
same	44	7	1069146145
same	45	82	1180308993
same	47	7	1069146145
same	48	7	1069146145
same	50	1106	1300582241
same	51	82	1180308993
same	53	82	1180308993
same	54	82	1180308993
same	55	82	1180308993
same	58	7	1069146145
same	59	7	1069146145
same	65	82	1180308993
same	66	7	1069146145
same	69	7	1069146145
same	70	82	1180308993
same	71	7	1069146145
same	73	7	1069146145
same	75	1106	1300582241
same	76	82	1180308993
same	77	82	1180308993
same	79	82	1180308993
same	80	82	1180308993
same	82	7	1069146145
same	84	7	1069146145
same	85	82	1180308993
same	86	7	1069146145
same	89	7	1069146145
same	95	82	1180308993
same	96	7	1069146145
same	97	7	1069146145
same	100	1106	1300582241
same	101	82	1180308993
same	102	82	1180308993
same	103	82	1180308993
same	105	82	1180308993
same	107	7	1069146145
same	108	7	1069146145
same	110	82	1180308993
same	111	7	1069146145
same	113	7	1069146145
same	115	82	1180308993
same	116	7	1069146145
same	117	7	1069146145
same	125	1106	1300582241
same	127	82	1180308993
same	128	82	1180308993
same	129	82	1180308993
same	135	82	1180308993
same	138	7	1069146145
same	139	7	1069146145
same	140	82	1180308993
same	142	7	1069146145
same	144	7	1069146145
same	145	82	1180308993
same	147	7	1069146145
same	148	7	1069146145
same	175	82	1180308993
same	178	7	1069146145
same	179	7	1069146145
same	190	7	1069146145
same	194	1	966514601
same	195	7	1069146145
same	198	1	966514601
same	200	82	1180308993
same	202	7	1069146145
same	204	7	1069146145
same	210	7	1069146145
same	214	1	966514601
same	220	7	1069146145
same	222	1	966514601
same	225	82	1180308993
same	227	7	1069146145
same	228	7	1069146145
same	235	7	1069146145
same	238	1	966514601
same	240	7	1069146145
same	242	1	966514601
same	250	1106	1300582241
same	251	82	1180308993
same	253	82	1180308993
same	254	82	1180308993
same	255	82	1180308993
same	258	7	1069146145
same	259	7	1069146145
same	265	82	1180308993
same	266	7	1069146145
same	269	7	1069146145
same	270	82	1180308993
same	271	7	1069146145
same	273	7	1069146145
same	275	82	1180308993
same	278	7	1069146145
same	279	7	1069146145
same	290	7	1069146145
same	294	1	966514601
same	295	7	1069146145
same	298	1	966514601
same	325	82	1180308993
same	326	7	1069146145
same	329	7	1069146145
same	330	7	1069146145
same	334	1	966514601
same	345	7	1069146145
same	346	1	966514601
same	350	82	1180308993
same	351	7	1069146145
same	353	7	1069146145
same	355	7	1069146145
same	358	1	966514601
same	365	7	1069146145
same	366	1	966514601
same	375	1106	1300582241
same	376	82	1180308993
same	377	82	1180308993
same	379	82	1180308993
same	380	82	1180308993
same	382	7	1069146145
same	384	7	1069146145
same	385	82	1180308993
same	386	7	1069146145
same	389	7	1069146145
same	395	82	1180308993
same	396	7	1069146145
same	397	7	1069146145
same	400	82	1180308993
same	402	7	1069146145
same	404	7	1069146145
same	410	7	1069146145
same	414	1	966514601
same	420	7	1069146145
same	422	1	966514601
same	425	82	1180308993
same	426	7	1069146145
same	429	7	1069146145
same	430	7	1069146145
same	434	1	966514601
same	445	7	1069146145
same	446	1	966514601
same	475	82	1180308993
same	476	7	1069146145
same	477	7	1069146145
same	480	7	1069146145
same	482	1	966514601
same	485	7	1069146145
same	486	1	966514601
same	500	1106	1300582241
same	501	82	1180308993
same	502	82	1180308993
same	503	82	1180308993
same	505	82	1180308993
same	507	7	1069146145
same	508	7	1069146145
