# orientation_index first_overlap second_overlap
4 10659 23611
5 4525 11606
5 11273 26601
5 1941 15006
5 11687 26465
5 11636 19361
5 19363 24765
5 4489 11576
5 4539 24761
5 19768 24629
5 32458 43976
5 17321 25333
5 14973 17323
5 24772 26976
5 3418 3718
5 3029 3548
5 11747 24699
5 3413 3684
5 3409 3688
5 3040 3556
5 3010 3540
5 3043 3619
5 14901 15010
5 14301 14417
5 3477 3702
5 3340 3564
5 19256 24147
5 3005 3550
5 3001 3570
5 3450 3701
5 3438 3686
5 3453 3706
5 2996 3266
5 3325 3632
5 4212 25527
5 5082 10585
5 18815 24219
5 3208 3474
5 3132 3696
5 3026 3317
5 11096 24282
5 3139 3410
5 3231 3487
5 3142 3687
5 10554 18262
5 3162 3751
5 24182 26102
5 3290 3581
5 2999 3295
5 3066 3288
5 3016 3591
5 3094 3361
5 13877 14879
5 3152 3455
5 3011 3270
5 3274 3572
5 3002 3279
5 13887 17055
5 11090 18813
5 10556 23742
5 4748 26063
5 3046 3348
5 1766 23625
5 13742 14468
5 37911 38031
5 702 23731
5 18279 23679
5 4627 10627
5 2076 13781
5 4660 10653
5 12121 41521
6 30363 38352
6 38488 46537
6 2939 15463
6 40156 44223
6 38843 40001
6 21198 43486
6 12051 38097
6 10295 40339
6 12665 41839
6 20027 35385
6 1547 38228
6 3686 11162
6 3677 11197
6 43448 48907
6 39614 43406
6 42923 43920
6 34414 38724
6 3289 45632
6 4093 8888
6 4976 7660
6 1125 14162
6 21897 30513
6 3072 30618
6 16598 38860
6 13607 26012
6 33675 37944
6 4963 18910
6 43100 48573
6 39069 42586
7 12670 43818
7 22627 28870
7 21619 43678
7 35654 46866
7 20467 42922
7 5354 8198
7 5326 18578
7 25590 44675
7 3295 11581
7 34348 38044
7 9874 45170
7 38722 46673
7 4772 7393
7 7661 20464
7 13905 16772
7 10184 44613
7 4769 19596
7 4227 19114
7 735 14654
7 34290 37976
7 4840 16064
7 43029 43503
8 39955 43999
8 14894 24405
8 22286 39949
8 1421 24417
8 23254 33439
8 12010 33078
8 12607 18003
8 3725 8874
8 41282 48822
8 14011 19762
8 3449 8054
8 8917 11190
8 22765 29918
8 19817 23662
8 3213 7243
8 22070 47874
8 23156 41225
8 21661 39441
8 3710 8854
8 554 19726
8 3437 8036
8 21299 25174
8 12563 33198
8 39491 46932
8 25172 44827
8 641 3727
8 40001 47085
8 19231 29254
8 582 8862
8 8052 10657
8 3674 8844
8 13180 48297
8 46949 49632
8 28189 49096
8 7230 26561
8 7232 11741
8 22820 47119
8 3734 8938
8 8099 10645
8 5004 10391
8 3481 8051
8 25751 33568
8 3173 7234
8 10688 25507
8 4641 26584
8 17041 40534
8 12562 40984
8 5774 13521
9 16582 49681
9 4493 25904
9 4508 25905
9 1229 7792
9 14632 19386
9 3584 9411
9 216 8594
9 15967 29663
9 1246 7772
9 19323 24255
9 2632 29600
9 3311 8596
9 3047 7776
9 33783 40815
9 34920 44635
9 9476 25969
9 728 9396
9 9398 25888
9 7762 26436
9 2602 29621
9 7854 11071
9 18783 23719
9 15950 39326
9 13054 40885
9 1276 7766
