0001021010101030201	030200012230011221102322311223311322223112113113133203313312310112233203001230303220110203010203000001231221020302020102101233010201112
0001021010301030201	030200012230011221102322311223311322223112113113133203313312310112233203001230303220110203010203000001231221020302020102101233010201112
0001021011310000201	030200012230011221102322311223311322223112113113133203313312310112233203001230303220110203100203000001231221020312120102101233000211112
0001021011310030201	030200012230011221102322311223311322223112113113133203313312310112233203001230303220110203100203000001231221020312120102101233000211112
0001021020101030201	030200012230011221102322311223311322223112113113133203313312310112233203001230303220110203010203000001231221020302020102101233010201112
0001021020301030201	030200012230011221102322311223311322223112113113133203313312310112233203001230303220110203010203000001231221020302020102101233010201112
0001021021310000201	030200012230011221102322311223311322223112113113133203313312310112233203001230303220110203100203000001231221020312120102101233000211112
0001021021310030201	030200012230011221102322311223311322223112113113133203313312310112233203001230303220110203100203000001231221020312120102101233000211112
0001023011310000201	010000311200311230122312331223321322202112223312132233223112013212200203311200031223010203101203003013201121020312130103311203330333112
0001023021310000201	010000311200311230122312331223321322202112223312132233223112013212200203311200031223010203101203003013201121020312130103311203330333112
0001221010101030201	130212213002133010303232133123123121222100122312310103000000033221113322113002111020230201230201033230221301010301010203332201032221333
0001221010301030201	130212213002133010303232133123123121222100122312310103000000033221113322113002111020230201230201033230221301010301010203332201032221333
0001221011310000201	130002113002133010323132133223123122222332221312312203221132031230300301113000111220230210100201030030211323021032310203332200022211333
0001221011310030201	300022310002331001222323312213311222223311133130102213211012332330100203231100223120112030100203003001202231201032130302211000223331110
0001221020101030201	330002311002331030222312312213321122223110223132110203221312033230010203231002333020210130020203000031232101023132030301111200023333110
0001221020301030201	330002331002331030222312312211321122223100223112110201223312013213010103231002333020210103020203000031233101020302030301112203022233110
0001221021310000201	113212123331100010030302213223122111231133222313010220300000033221123312200033112213233131101003013223311001000032331303122121322012230
0001221021310030201	000332001133200133322211231122132211112012302011231322100131222010032333020013321132332020030310030030123203102311021321300303332200112
0001223011310000201	133212321113300030010302231221122132213312223132030220100000011223111133200013332231311313303001031221133003000012313301322223122032210
0001223021310000201	133212321113300030010302231221122132213312223132030220100000011223111133200013332231311313303001031221133003000012313301322223122032210
0012032020102010302	101311200311200331012203321322331223313203332203023332112003110202311213200311220321110213010203001101120032030203020102203233111323010
0012032020202010302	101311200311200331012203321322331223313203332203023332112003110202311213200311220321110213010203001101120032030203020102203233111323010
0012032022120000302	101311200311200331012203321322331223313201332233023332112003110202301213200011223321110213100203001101123032030013120102203233131223010
0012032022120010302	102311230312200031010203321321331223313201332133020330112000110202331022200011223321110213202003001231123002030013212102233233131023330
0012032030102010302	102311230312200031110203321321331223313200332133020330112000110202331022200011223321110203202003001231123002030113212102133233132023330
0012032030202010302	102311230312200031110203321321331223313200332133020330112000110202331022200011223321110203202003001231123002030113212102133233132023330
0012032032120000302	102311230312200031110203321321331223313200332133020330112000110202331022200011223321110203202003001231123002030113212102133233132023330
0012032032120010302	102311230312200031110203321321331223313200332133020330112000110202331022200011223321110203202003001231123002030113212102133233132023330
0012332020102010302	102311230312200031110203321321331223313200332133020330112000110202331022200011223321110203202003001231123002030113212102133233132023330
0012332020202010302	102311230312200031110203321321331223313200332133020330112000110202331022200011223321110203202003001231123002030113212102133233132023330
0012332022120000302	102311230312200031110203321321331223313200332133020330112000110202331022200011223321110203202003001231123002030113212102133233132023330
