sweep	matching	before	after	mask
1	0	1834	1719	273631
1	1	1719	1518	469763
1	2	1518	1258	763319
1	3	1258	1171	175638
1	4	1171	1039	40731
1	5	1039	950	463778
1	6	950	914	703028
1	7	914	850	383505
1	8	850	816	99170
1	9	816	798	148096
1	10	798	770	688148
1	11	770	750	283205
1	12	750	735	66116
1	13	735	724	42
1	14	724	719	40
1	15	719	702	9218
1	16	702	689	50304
1	17	689	675	33329
1	18	675	659	34208
1	19	659	647	413696
1	20	647	621	20488
1	21	621	619	263170
1	22	619	615	1034
1	23	615	603	18444
1	24	603	582	526034
1	25	582	575	131201
1	26	575	566	37059
1	27	566	564	128
1	28	564	549	8448
1	29	549	541	66563
1	30	541	529	234112
1	31	529	528	192
1	34	528	524	32832
1	35	524	518	2562
1	36	518	514	386
1	37	514	511	16512
1	38	511	499	6144
1	39	499	498	1536
1	41	498	489	1
1	42	489	482	32962
2	0	482	477	8224
2	2	477	465	270336
2	3	465	459	323
2	4	459	454	131202
2	6	454	451	2048
2	7	451	447	320
2	8	447	446	2304
2	11	446	445	73728
2	12	445	432	266496
2	13	432	426	16520
2	15	426	423	33024
2	16	423	417	288
2	17	417	415	6144
2	18	415	413	4096
2	20	413	411	528384
2	22	411	408	8
2	25	408	407	64
2	26	407	404	393472
2	28	404	401	1280
2	29	401	398	4097
2	31	398	397	16
2	34	397	392	2
2	35	392	391	32768
2	36	391	390	64
2	38	390	387	4
2	40	387	386	8
2	42	386	377	33
3	0	377	376	36
3	4	376	374	16400
3	6	374	373	65536
3	10	373	370	1
3	17	370	369	4096
3	18	369	367	16384
3	19	367	364	1
3	23	364	361	12
3	27	361	359	8
3	31	359	358	1
3	32	358	357	512
3	36	357	355	1
4	7	355	354	64
4	8	354	352	24576
4	10	352	350	1056
4	17	350	348	8
4	19	348	347	512
4	28	347	346	16640
4	30	346	345	65536
4	32	345	342	16896
5	1	342	341	64
5	23	341	339	4
5	29	339	338	32
5	36	338	336	512
6	0	336	335	4
6	8	335	332	32
6	13	332	331	16384
6	24	331	330	128
6	25	330	326	68
6	39	326	325	4
7	3	325	324	64
7	10	324	322	1
7	21	322	319	8
7	33	319	318	131072
8	5	318	317	16384
8	13	317	316	16384
8	22	316	314	8192
8	41	314	313	262144
9	13	313	312	16384
