sweep	matching	before	after	mask
1	0	1726	1536	182853
1	1	1536	1386	115229
1	2	1386	1216	669357
1	3	1216	1190	103040
1	4	1190	1087	138157
1	5	1087	1014	445554
1	6	1014	992	129
1	7	992	910	348959
1	8	910	886	264666
1	9	886	851	100392
1	10	851	823	633864
1	11	823	801	101381
1	12	801	787	393292
1	13	787	774	49158
1	14	774	759	32898
1	15	759	745	25664
1	16	745	734	6402
1	17	734	725	32800
1	18	725	720	8452
1	19	720	703	20994
1	20	703	686	663695
1	21	686	670	430082
1	22	670	662	16964
1	23	662	658	262528
1	24	658	644	786688
1	25	644	641	4
1	26	641	623	47368
1	27	623	604	182274
1	28	604	597	565296
1	29	597	588	329732
1	30	588	581	4112
1	31	581	569	65578
1	32	569	562	98560
1	33	562	544	8962
1	34	544	534	273
1	35	534	530	32800
1	36	530	528	1024
1	38	528	515	2320
1	40	515	514	16385
1	41	514	512	32768
1	42	512	509	1024
2	0	509	505	1024
2	1	505	501	2048
2	2	501	495	8968
2	3	495	493	262144
2	5	493	485	65536
2	6	485	482	16512
2	8	482	481	64
2	9	481	475	4
2	10	475	471	34
2	11	471	460	857089
2	12	460	459	1024
2	14	459	455	8
2	15	455	452	3072
2	18	452	449	33
2	19	449	440	66052
2	20	440	438	131074
2	21	438	433	131592
2	23	433	427	12
2	25	427	425	16640
2	26	425	421	65538
2	27	421	415	1282
2	29	415	413	16
2	30	413	412	32768
2	31	412	410	64
2	33	410	405	4096
2	34	405	400	4
2	35	400	398	4
2	38	398	397	1024
2	40	397	395	516
2	41	395	390	1025
3	3	390	389	1
3	9	389	384	192
3	10	384	380	98304
3	13	380	376	4096
3	14	376	375	8
3	16	375	374	8
3	19	374	368	1026
3	20	368	365	256
3	23	365	364	128
3	25	364	362	33024
3	29	362	361	512
3	34	361	360	128
3	37	360	359	4
3	38	359	357	2
3	41	357	354	4097
3	42	354	352	1024
4	1	352	351	32
4	3	351	347	16384
4	5	347	346	10240
4	6	346	345	1024
4	8	345	342	512
4	12	342	339	256
4	19	339	338	327680
4	32	338	337	32768
4	36	337	336	2
4	41	336	335	65536
5	1	335	333	8192
5	5	333	332	8192
5	9	332	328	131072
5	16	328	326	9
5	20	326	325	139264
5	30	325	324	2
5	32	324	322	2
6	12	322	321	1024
6	18	321	317	2
6	24	317	314	2
