before	between	after	value
0	0	7	70
0	1	6	11
0	2	5	0
0	3	4	5
0	4	3	1
0	5	2	3
0	6	1	10
0	7	0	70
1	0	6	9
1	1	5	4
1	2	4	0
1	3	3	0
1	4	2	1
1	5	1	2
1	6	0	10
2	0	5	2
2	1	4	0
2	2	3	1
2	3	2	0
2	4	1	1
2	5	0	3
3	0	4	3
3	1	3	0
3	2	2	1
3	3	1	0
3	4	0	1
4	0	3	3
4	1	2	0
4	2	1	0
4	3	0	5
5	0	2	2
5	1	1	4
5	2	0	0
6	0	1	9
6	1	0	11
7	0	0	70
