parent	edge_1	edge_2	edge_3	edge_4	target_kind	target_index
9	18,19	20,21	36,37	36,38	base	0
9	18,19	20,21	36,37	37,39	base	0
9	18,19	20,21	36,38	37,39	base	13
9	18,19	36,37	36,38	37,39	base	4
9	2,3	18,19	20,21	36,37	base	129
9	2,3	18,19	20,21	36,38	base	130
9	2,3	18,19	20,21	37,39	base	130
9	2,3	18,19	36,37	36,38	base	85
9	2,3	18,19	36,37	37,39	base	85
9	2,3	18,19	36,38	37,39	base	77
9	2,3	20,21	36,37	36,38	base	187
9	2,3	20,21	36,37	37,39	base	187
9	2,3	20,21	36,38	37,39	base	166
9	2,3	36,37	36,38	37,39	base	95
9	20,21	36,37	36,38	37,39	base	18
10	10,19	0,28	27,32	14,37	base	44
10	11,18	1,29	26,33	15,36	base	44
10	18,19	20,21	36,40	37,41	base	14
10	18,19	20,21	36,40	40,41	base	12
10	18,19	20,21	37,41	40,41	base	12
10	18,19	36,40	37,41	40,41	base	3
10	2,3	18,19	20,21	36,40	base	131
10	2,3	18,19	20,21	37,41	base	131
10	2,3	18,19	20,21	40,41	base	128
10	2,3	18,19	36,40	37,41	base	78
10	2,3	18,19	36,40	40,41	base	86
10	2,3	18,19	37,41	40,41	base	86
10	2,3	20,21	36,40	37,41	base	169
10	2,3	20,21	36,40	40,41	base	118
10	2,3	20,21	37,41	40,41	base	118
10	2,3	36,40	37,41	40,41	base	92
10	20,21	36,40	37,41	40,41	base	17
11	0,1	20,21	24,30	30,39	base	128
11	0,1	20,21	24,30	38,39	base	131
11	0,1	20,21	30,39	38,39	base	126
11	0,1	24,30	30,39	38,39	base	118
11	0,1	5,7	20,21	24,30	base	80
11	0,1	5,7	20,21	30,39	base	86
11	0,1	5,7	20,21	38,39	base	78
11	0,1	5,7	24,30	30,39	base	93
11	0,1	5,7	24,30	38,39	base	89
11	0,1	5,7	30,39	38,39	base	92
11	15,20	3,27	31,33	16,38	base	59
11	20,21	24,30	30,39	38,39	base	12
11	5,7	20,21	24,30	30,39	base	5
11	5,7	20,21	24,30	38,39	base	22
11	5,7	20,21	30,39	38,39	base	3
11	5,7	24,30	30,39	38,39	base	1
12	0,1	19,23	19,32	32,38	base	131
12	0,1	4,5	19,23	19,32	base	168
12	0,1	4,5	19,23	32,38	base	118
12	0,1	4,5	19,32	32,38	base	169
12	0,1	4,5	6,7	19,23	base	93
12	0,1	4,5	6,7	19,32	base	89
12	0,1	4,5	6,7	32,38	base	92
12	0,1	6,7	19,23	19,32	base	80
12	0,1	6,7	19,23	32,38	base	86
12	0,1	6,7	19,32	32,38	base	78
12	4,5	19,23	19,32	32,38	base	11
12	4,5	6,7	19,23	19,32	base	10
12	4,5	6,7	19,23	32,38	base	1
12	4,5	6,7	19,32	32,38	base	8
12	5,17	2,28	22,38	34,39	base	227
12	6,7	19,23	19,32	32,38	base	22
13	0,1	20,21	20,24	21,25	base	129
13	0,1	4,5	20,21	20,24	base	187
13	0,1	4,5	20,21	21,25	base	187
13	0,1	4,5	20,24	21,25	base	167
13	0,1	4,5	6,7	20,21	base	95
13	0,1	4,5	6,7	20,24	base	132
13	0,1	4,5	6,7	21,25	base	132
13	0,1	6,7	20,21	20,24	base	85
13	0,1	6,7	20,21	21,25	base	85
13	0,1	6,7	20,24	21,25	base	79
13	4,5	20,21	20,24	21,25	base	20
13	4,5	6,7	20,21	20,24	base	2
13	4,5	6,7	20,21	21,25	base	2
13	4,5	6,7	20,24	21,25	base	9
13	6,7	20,21	20,24	21,25	base	6
14	0,1	22,32	23,33	32,33	base	128
14	0,1	4,5	22,32	23,33	base	168
14	0,1	4,5	22,32	32,33	base	118
14	0,1	4,5	23,33	32,33	base	118
14	0,1	4,5	6,7	22,32	base	89
14	0,1	4,5	6,7	23,33	base	89
14	0,1	4,5	6,7	32,33	base	92
14	0,1	6,7	22,32	23,33	base	80
14	0,1	6,7	22,32	32,33	base	86
14	0,1	6,7	23,33	32,33	base	86
14	4,5	22,32	23,33	32,33	base	19
14	4,5	6,7	22,32	23,33	base	10
14	4,5	6,7	22,32	32,33	base	1
14	4,5	6,7	23,33	32,33	base	1
14	6,7	22,32	23,33	32,33	base	5
15	0,1	30,31	30,38	31,39	base	127
15	0,1	4,5	30,31	30,38	base	187
15	0,1	4,5	30,31	31,39	base	187
15	0,1	4,5	30,38	31,39	base	166
15	0,1	4,5	6,7	30,31	base	94
15	0,1	4,5	6,7	30,38	base	132
15	0,1	4,5	6,7	31,39	base	132
15	0,1	6,7	30,31	30,38	base	85
15	0,1	6,7	30,31	31,39	base	85
15	0,1	6,7	30,38	31,39	base	77
15	4,17	3,25	33,36	21,38	base	124
15	4,5	30,31	30,38	31,39	base	18
15	4,5	6,7	30,31	30,38	base	2
15	4,5	6,7	30,31	31,39	base	2
15	4,5	6,7	30,38	31,39	base	7
15	5,16	2,24	32,37	20,39	base	124
15	6,7	30,31	30,38	31,39	base	4
16	0,1	36,38	37,39	38,39	base	126
16	0,1	4,5	36,38	37,39	base	169
16	0,1	4,5	36,38	38,39	base	118
16	0,1	4,5	37,39	38,39	base	118
16	0,1	4,5	6,7	36,38	base	89
16	0,1	4,5	6,7	37,39	base	89
16	0,1	4,5	6,7	38,39	base	93
16	0,1	6,7	36,38	37,39	base	78
16	0,1	6,7	36,38	38,39	base	86
16	0,1	6,7	37,39	38,39	base	86
16	4,17	3,25	31,34	21,36	base	125
16	4,5	36,38	37,39	38,39	base	17
16	4,5	6,7	36,38	37,39	base	8
16	4,5	6,7	36,38	38,39	base	1
16	4,5	6,7	37,39	38,39	base	1
16	5,16	2,24	30,35	20,37	base	125
16	6,7	36,38	37,39	38,39	base	3
17	0,1	14,15	14,24	15,25	base	168
17	0,1	14,15	22,23	14,24	base	131
17	0,1	14,15	22,23	15,25	base	131
17	0,1	22,23	14,24	15,25	base	128
17	0,1	6,7	14,15	14,24	base	89
17	0,1	6,7	14,15	15,25	base	89
17	0,1	6,7	14,15	22,23	base	78
17	0,1	6,7	14,24	15,25	base	93
17	0,1	6,7	22,23	14,24	base	86
17	0,1	6,7	22,23	15,25	base	86
17	14,15	22,23	14,24	15,25	base	16
17	6,7	14,15	14,24	15,25	base	10
17	6,7	14,15	22,23	14,24	base	22
17	6,7	14,15	22,23	15,25	base	22
17	6,7	22,23	14,24	15,25	base	5
18	0,1	20,21	22,28	23,29	base	129
18	0,1	20,21	22,28	28,29	base	130
18	0,1	20,21	23,29	28,29	base	130
18	0,1	22,28	23,29	28,29	base	167
18	0,1	6,7	20,21	22,28	base	85
18	0,1	6,7	20,21	23,29	base	85
18	0,1	6,7	20,21	28,29	base	77
18	0,1	6,7	22,28	23,29	base	94
18	0,1	6,7	22,28	28,29	base	132
18	0,1	6,7	23,29	28,29	base	132
18	20,21	22,28	23,29	28,29	base	15
18	6,7	20,21	22,28	23,29	base	6
18	6,7	20,21	22,28	28,29	base	21
18	6,7	20,21	23,29	28,29	base	21
18	6,7	22,28	23,29	28,29	base	9
19	0,1	20,21	26,27	26,38	base	131
19	0,1	20,21	26,27	27,39	base	131
19	0,1	20,21	26,38	27,39	base	126
19	0,1	26,27	26,38	27,39	base	169
19	0,1	6,7	20,21	26,27	base	80
19	0,1	6,7	20,21	26,38	base	86
19	0,1	6,7	20,21	27,39	base	86
19	0,1	6,7	26,27	26,38	base	89
19	0,1	6,7	26,27	27,39	base	89
19	0,1	6,7	26,38	27,39	base	92
19	14,21	2,28	30,33	18,39	base	53
19	15,20	3,29	31,32	19,38	base	53
19	20,21	26,27	26,38	27,39	base	14
19	6,7	20,21	26,27	26,38	base	22
19	6,7	20,21	26,27	27,39	base	22
19	6,7	20,21	26,38	27,39	base	3
19	6,7	26,27	26,38	27,39	base	8
20	0,1	20,21	36,38	37,39	base	127
20	0,1	20,21	36,38	38,39	base	130
20	0,1	20,21	37,39	38,39	base	130
20	0,1	36,38	37,39	38,39	base	166
20	0,1	6,7	20,21	36,38	base	85
20	0,1	6,7	20,21	37,39	base	85
20	0,1	6,7	20,21	38,39	base	79
20	0,1	6,7	36,38	37,39	base	95
20	0,1	6,7	36,38	38,39	base	132
20	0,1	6,7	37,39	38,39	base	132
20	14,21	2,26	28,31	18,37	base	63
20	15,20	3,27	29,30	19,36	base	63
20	20,21	36,38	37,39	38,39	base	13
20	6,7	20,21	36,38	37,39	base	4
20	6,7	20,21	36,38	38,39	base	21
20	6,7	20,21	37,39	38,39	base	21
20	6,7	36,38	37,39	38,39	base	7
21	0,3	20,21	20,36	36,37	base	85
21	0,3	20,21	22,23	20,36	base	129
21	0,3	20,21	22,23	36,37	base	130
21	0,3	22,23	20,36	36,37	base	127
21	0,3	4,5	20,21	20,36	base	94
21	0,3	4,5	20,21	22,23	base	167
21	0,3	4,5	20,21	36,37	base	132
21	0,3	4,5	20,36	36,37	base	95
21	0,3	4,5	22,23	20,36	base	187
21	0,3	4,5	22,23	36,37	base	166
21	20,21	22,23	20,36	36,37	base	0
21	4,5	20,21	20,36	36,37	base	2
21	4,5	20,21	22,23	20,36	base	20
21	4,5	20,21	22,23	36,37	base	24
