# label a b c d; native coordinates ((a sqrt3+b sqrt11)/36,(c+d sqrt33)/36)
0 0 0 0 0
1 0 0 0 12
2 -6 0 0 6
3 6 0 0 6
4 0 0 -18 6
5 0 0 18 6
6 -3 -9 9 9
7 3 9 9 9
8 -9 -9 9 3
9 9 9 9 3
10 -3 -9 -9 3
11 3 9 -9 3
12 -12 0 0 0
13 12 0 0 0
14 9 -9 -9 3
15 -9 9 -9 3
16 3 -9 -9 9
17 -3 9 -9 9
18 3 -9 9 3
19 -3 9 9 3
20 -6 0 18 0
21 6 0 18 0
22 -6 0 -18 0
23 6 0 -18 0
24 -6 -18 0 0
25 6 18 0 0
26 -3 -9 9 -3
27 3 9 9 -3
28 9 -9 9 -3
29 -9 9 9 -3
30 -9 -9 -9 -3
31 9 9 -9 -3
32 3 -9 -9 -3
33 -3 9 -9 -3
34 -6 0 0 -6
35 6 0 0 -6
36 0 0 -18 -6
37 0 0 18 -6
38 -3 9 9 -9
39 3 -9 9 -9
40 -18 0 -36 -6
41 -9 -9 -45 -3
42 -27 9 -27 3
43 -18 0 -36 6
44 -9 9 -45 3
45 -21 -9 -27 3
46 -21 9 -27 -3
47 -12 0 -36 0
48 -3 -9 -45 3
49 -3 9 -45 -3
50 -24 0 -18 -6
51 -15 -9 -27 -3
52 -6 0 -36 -6
53 -24 0 -18 6
54 -3 -3 -33 -3
55 -27 -9 -9 3
56 -18 0 -18 0
57 -9 9 -27 -3
58 0 0 -36 0
59 -30 0 0 -6
60 -12 0 -18 -6
61 -3 -9 -27 -3
62 6 0 -36 -6
63 -15 3 -15 -3
64 -9 3 -21 -3
65 -15 -3 -15 3
66 -9 -3 -21 3
67 -30 0 0 6
68 -21 9 -9 3
69 -12 0 -18 6
70 6 0 -36 6
71 -12 6 -12 -6
72 -9 -3 -15 -3
73 -3 -3 -21 -3
74 -24 0 0 0
75 -15 -9 -9 3
76 -15 9 -9 -3
77 3 -9 -27 3
78 3 9 -27 -3
79 -12 12 -12 0
80 -9 3 -15 3
81 -3 3 -21 3
82 -12 6 -12 6
83 -27 -9 9 -3
84 -9 9 -9 -9
85 9 -9 -27 -3
86 -15 3 -3 -3
87 -12 -6 -6 0
88 -6 -6 -12 0
89 -3 3 -15 -3
90 -21 -3 3 3
91 -15 -3 -3 3
92 -12 6 -6 0
93 -6 6 -12 0
94 -3 -3 -15 3
95 6 6 -24 0
96 -27 9 9 3
97 -18 0 0 6
98 9 9 -27 3
99 0 -6 -12 -6
100 -15 -3 3 -3
101 -6 -12 -6 0
102 3 -3 -15 -3
103 -30 0 18 0
104 -21 -9 9 3
105 -21 9 9 -3
106 15 -9 -27 3
107 -15 3 3 3
108 -6 12 -6 0
109 0 -6 -12 6
110 0 12 -12 0
111 3 3 -15 3
112 -15 -9 9 -3
113 12 0 -18 -6
114 -18 -6 12 0
115 -12 -6 6 0
116 -9 3 3 -3
117 0 -6 -6 0
118 -27 -3 21 3
119 -9 -3 3 3
120 0 6 -6 0
121 -24 0 18 6
122 -15 9 9 3
123 12 0 -18 6
124 6 -6 -6 -6
125 -15 -3 15 -3
126 -3 -3 3 -3
127 3 -3 -3 -3
128 -27 -9 27 3
129 -18 0 18 0
130 18 0 -18 0
131 -15 3 15 3
132 -3 3 3 3
133 3 3 -3 3
134 -12 6 12 6
135 6 6 -6 6
136 -21 -9 27 -3
137 -12 0 18 -6
138 15 -9 -9 -3
139 -9 3 15 -3
140 -6 -6 12 0
141 3 3 3 -3
142 -15 -3 21 3
143 -9 -3 15 3
144 -6 6 12 0
145 0 6 6 0
146 3 -3 3 3
147 -12 0 18 6
148 -12 18 18 0
149 15 9 -9 3
150 -4 6 12 2
151 -9 -3 21 -3
152 0 6 12 -6
153 6 6 6 -6
154 9 -3 3 -3
155 15 -3 -3 -3
156 -24 0 36 0
157 -15 -9 27 3
158 -15 9 27 -3
159 21 -9 -9 3
160 -9 3 21 3
161 -3 3 15 3
162 0 -6 12 6
163 9 3 3 3
164 6 6 6 6
165 -18 0 36 -6
166 -9 -9 27 -3
167 -12 -6 30 0
168 -6 -6 24 0
169 -3 3 21 -3
170 3 3 15 -3
171 6 -6 12 0
172 15 3 3 -3
173 -6 6 24 0
174 -3 -3 21 3
175 3 -3 15 3
176 6 6 12 0
177 15 -3 3 3
178 -18 0 36 6
179 -9 9 27 3
180 0 18 18 0
181 18 0 0 6
182 9 -3 15 -3
183 -21 9 45 -3
184 -12 0 36 0
185 -3 -9 27 3
186 -3 9 27 -3
187 15 -9 9 3
188 15 9 9 -3
189 0 12 24 0
190 12 12 12 0
191 7 3 21 -1
192 -15 -9 45 -3
193 -6 0 36 -6
194 3 -9 27 -3
195 12 0 18 -6
196 21 -9 9 -3
197 0 -6 30 0
198 6 -6 24 0
199 0 6 30 0
200 -15 9 45 3
