family	cases	rows	nonzeros	residual_targets	support_min	support_max	gap_min	gap_max
link_profiles	142	457	23954	230	154	197	8	1693
terminal_same	1	317	5070	316	156	156	9	9
terminal_different	1	281	4530	280	148	148	9	9
