parent	edge_1	edge_2	edge_3	edge_4	edge_5	target_kind	target_index
9	11,18	1,29	26,33	15,38	38,39	base	217
9	11,18	1,29	26,33	22,34	15,38	base	29
9	11,18	1,29	26,33	36,37	15,38	base	44
9	11,18	18,19	1,29	26,33	15,38	base	33
9	11,18	20,21	1,29	26,33	15,38	base	53
9	18,19	20,21	36,37	36,38	37,39	base	14
9	2,3	10,19	0,28	27,32	14,39	base	87
9	2,3	11,18	1,29	26,33	15,38	base	87
9	2,3	18,19	20,21	36,37	36,38	base	131
9	2,3	18,19	20,21	36,37	37,39	base	131
9	2,3	18,19	20,21	36,38	37,39	base	126
9	2,3	18,19	36,37	36,38	37,39	base	78
9	2,3	20,21	36,37	36,38	37,39	base	169
10	10,19	0,28	27,32	14,37	36,37	base	43
10	10,19	0,28	27,32	14,37	36,40	base	47
10	10,19	0,28	27,32	14,37	40,41	base	30
10	10,19	0,28	27,32	23,35	14,37	base	60
10	10,19	18,19	0,28	27,32	14,37	base	61
10	10,19	20,21	0,28	27,32	14,37	base	63
10	11,18	1,29	26,33	15,36	36,37	base	43
10	11,18	1,29	26,33	15,36	37,41	base	47
10	11,18	1,29	26,33	15,36	40,41	base	30
10	11,18	1,29	26,33	22,34	15,36	base	60
10	11,18	18,19	1,29	26,33	15,36	base	61
10	11,18	20,21	1,29	26,33	15,36	base	63
10	18,19	20,21	36,40	37,41	40,41	base	13
10	2,3	10,19	0,28	27,32	14,37	base	134
10	2,3	11,18	1,29	26,33	15,36	base	134
10	2,3	18,19	20,21	36,40	37,41	base	127
10	2,3	18,19	20,21	36,40	40,41	base	130
10	2,3	18,19	20,21	37,41	40,41	base	130
10	2,3	18,19	36,40	37,41	40,41	base	77
10	2,3	20,21	36,40	37,41	40,41	base	166
11	0,1	15,20	3,27	31,33	16,38	base	68
11	0,1	20,21	24,30	30,39	38,39	base	130
11	0,1	5,7	20,21	24,30	30,39	base	79
11	0,1	5,7	20,21	24,30	38,39	base	85
11	0,1	5,7	20,21	30,39	38,39	base	77
11	0,1	5,7	24,30	30,39	38,39	base	132
11	14,21	17,24	2,28	24,30	29,37	base	63
11	15,20	20,21	3,27	31,33	16,38	base	123
11	15,20	3,27	24,30	31,33	16,38	base	63
11	15,20	3,27	31,33	16,38	24,38	base	65
11	15,20	3,27	31,33	16,38	30,39	base	57
11	15,20	3,27	31,33	23,35	16,38	base	58
11	5,7	15,20	3,27	31,33	16,38	base	47
11	5,7	20,21	24,30	30,39	38,39	base	21
12	0,1	4,5	19,23	19,32	32,38	base	187
12	0,1	4,5	6,7	19,23	19,32	base	94
12	0,1	4,5	6,7	19,23	32,38	base	132
12	0,1	4,5	6,7	19,32	32,38	base	95
12	0,1	5,17	2,28	22,38	34,39	base	113
12	0,1	6,7	19,23	19,32	32,38	base	85
12	4,20	19,23	21,23	3,26	36,37	base	124
12	4,5	5,17	2,28	22,38	34,39	base	57
12	4,5	6,7	19,23	19,32	32,38	base	2
12	5,17	19,23	2,28	22,38	34,39	base	124
12	5,17	2,28	19,32	22,38	34,39	base	123
12	5,17	2,28	22,38	23,38	34,39	base	226
12	5,17	2,28	24,31	22,38	34,39	base	221
12	6,7	5,17	2,28	22,38	34,39	base	51
13	0,1	4,5	20,21	20,24	21,25	base	168
13	0,1	4,5	6,7	20,21	20,24	base	89
13	0,1	4,5	6,7	20,21	21,25	base	89
13	0,1	4,5	6,7	20,24	21,25	base	93
13	0,1	6,7	20,21	20,24	21,25	base	80
