formula	variables	clauses	cnf_bytes	cnf_sha256	proof_bytes	proof_sha256	original_total	original_core	lemmas_total	lemmas_core	rat_core	resolution_steps	solve_seconds	check_seconds
branch43-d23-q4-center-selector	13162	218990	4178056	c736109ae8ea728adc60d7e4915eaf892b397348536fb38ff246244ce4de20bd	163609346	98b1d33aad63bc391092a8c7c2ed8d91dac7e5da5a5b0a08091094811f0afdf0	218990	7692	1205731	618288	0	32312349	175	185.884
branch43-d24-cover	11387	193479	3640691	a5f4b7ada5b2ea01b46bd4beed14216bee92ec0c08840417e6f66de8905b5b3e	999203074	4143683e79ee0b3c9e40ab0e2c6c1882a6bfd4d3d2735c61b1f5cbfce746a7bf	193479	4876	6217148	3404843	0	166773772	1118	1535.826
branch43-d25	10432	183619	3433600	284886102c5cc0d897ab04da660feec55c7c4368c0399c39d82db8c26fa84d76	388161745	c98812938992e18f2f63c308f4965079c874f75ad56455cbdfa6ed0eb6e96639	183619	4020	2536295	1450131	0	66850227	455	440.322
