orbit,packings,calls1,calls2,calls3,calls4,candidates1,candidates2,candidates3,candidates4,found
113,9359,0,874,10869,9359,0,0,874,10869,0
114,26012,1,1604,23196,26012,0,1,1604,23196,0
115,13156,0,683,10905,13156,0,0,683,10905,0
116,3027,0,385,4507,3027,0,0,385,4507,0
117,17730,0,1510,18803,17730,0,0,1510,18803,0
118,7637,0,967,10601,7637,0,0,967,10601,0
119,20014,0,1350,20932,20014,0,0,1350,20932,0
120,12412,0,859,12680,12412,0,0,859,12680,0
121,7275,0,1375,12926,7275,0,0,1375,12926,0
122,39286,1,1429,24672,39286,0,1,1429,24672,0
123,4204,0,407,5006,4204,0,0,407,5006,0
124,21943,0,807,15646,21943,0,0,807,15646,0
125,24382,1,1472,22095,24382,0,1,1472,22095,0
126,16083,0,607,12056,16083,0,0,607,12056,0
127,4974,0,451,5943,4974,0,0,451,5943,0
128,20354,0,1410,20943,20354,0,0,1410,20943,0
129,12738,0,682,10410,12738,0,0,682,10410,0
130,24221,0,888,16410,24221,0,0,888,16410,0
131,5407,0,324,5495,5407,0,0,324,5495,0
132,4739,0,472,5989,4739,0,0,472,5989,0
133,44960,0,743,18733,44960,0,0,743,18733,0
134,14464,0,908,13233,14464,0,0,908,13233,0
135,9171,0,471,8214,9171,0,0,471,8214,0
136,35198,0,634,15701,35198,0,0,634,15701,0
137,13207,0,789,12928,13207,0,0,789,12928,0
138,9866,0,613,9141,9866,0,0,613,9141,0
139,2350,0,442,4405,2350,0,0,442,4405,0
140,5398,0,632,7642,5398,0,0,632,7642,0
141,10002,0,823,11420,10002,0,0,823,11420,0
142,3654,0,380,5062,3654,0,0,380,5062,0
143,6624,0,287,5295,6624,0,0,287,5295,0
144,21728,0,823,15954,21728,0,0,823,15954,0
145,44159,0,559,17652,44159,0,0,559,17652,0
146,5523,1,682,7902,5523,0,1,682,7902,0
147,11116,0,583,9040,11116,0,0,583,9040,0
148,20282,0,708,14025,20282,0,0,708,14025,0
149,13271,0,491,8840,13271,0,0,491,8840,0
150,1975,0,229,2926,1975,0,0,229,2926,0
151,35407,0,910,19771,35407,0,0,910,19771,0
152,15488,0,673,11520,15488,0,0,673,11520,0
153,7548,0,446,7169,7548,0,0,446,7169,0
154,20112,0,571,12815,20112,0,0,571,12815,0
155,16282,0,494,9289,16282,0,0,494,9289,0
156,38173,0,1213,23213,38173,0,0,1213,23213,0
157,49116,0,762,21416,49116,0,0,762,21416,0
158,32533,0,620,15502,32533,0,0,620,15502,0
159,33873,0,1059,19493,33873,0,0,1059,19493,0
160,5502,0,293,4691,5502,0,0,293,4691,0
161,10966,0,456,7987,10966,0,0,456,7987,0
162,2348,0,233,3216,2348,0,0,233,3216,0
163,13641,0,473,9721,13641,0,0,473,9721,0
164,20914,0,880,15571,20914,0,0,880,15571,0
165,33307,0,711,17048,33307,0,0,711,17048,0
166,10172,0,469,8395,10172,0,0,469,8395,0
167,10467,0,418,8271,10467,0,0,418,8271,0
168,15480,0,547,10839,15480,0,0,547,10839,0
169,7815,0,395,6877,7815,0,0,395,6877,0
170,6974,0,364,5315,6974,0,0,364,5315,0
171,21703,1,783,15103,21703,0,1,783,15103,0
172,25642,0,606,13847,25642,0,0,606,13847,0
173,29146,0,1141,19373,29146,0,0,1141,19373,0
174,1937,0,181,2419,1937,0,0,181,2419,0
175,15139,0,459,9708,15139,0,0,459,9708,0
176,39280,0,749,17990,39280,0,0,749,17990,0
177,21048,0,828,14957,21048,0,0,828,14957,0
178,15284,0,619,11448,15284,0,0,619,11448,0
179,12926,0,618,10642,12926,0,0,618,10642,0
180,3794,0,180,3349,3794,0,0,180,3349,0
181,14066,0,553,10612,14066,0,0,553,10612,0
182,9488,0,228,5040,9488,0,0,228,5040,0
183,2884,0,189,2868,2884,0,0,189,2868,0
184,4077,0,181,3690,4077,0,0,181,3690,0
185,18464,0,588,11489,18464,0,0,588,11489,0
186,3144,0,204,3077,3144,0,0,204,3077,0
187,20182,1,404,9783,20182,0,1,404,9783,0
188,13627,0,401,7835,13627,0,0,401,7835,0
189,13944,0,369,8012,13944,0,0,369,8012,0
190,15227,0,589,11400,15227,0,0,589,11400,0
191,16514,0,482,10618,16514,0,0,482,10618,0
192,27981,0,490,12996,27981,0,0,490,12996,0
193,18775,0,399,10143,18775,0,0,399,10143,0
194,21490,0,651,14160,21490,0,0,651,14160,0
195,9015,0,202,5092,9015,0,0,202,5092,0
196,25190,0,669,14758,25190,0,0,669,14758,0
197,6925,0,249,5254,6925,0,0,249,5254,0
198,10796,0,354,7224,10796,0,0,354,7224,0
199,34695,0,777,17797,34695,0,0,777,17797,0
