index,cnf_sha256,proof_sha256,proof_bytes
30,78f6bc0a5f5a420131be51c687e89c503f8c9d552280316252c767900b74d7e8,23277aa9d0b15fef5a9f3c839776613bd3fc1d133aeef2b946e44cc6b84b1a59,154855
31,ea5c2a4fe4565006d3f8b7876940d096f4eba46ebf5504ac612724c2c34a4258,9f1bf6a7a23a8e453cc1c951be30ac72a0d21e2e43b31b90ca8f6a52c376a425,62778
32,3a5b43431b15ede4a48493ac89dd12dc734c731bcceec0434d8a64f4bf54ca5e,c0ac97a56ac3d7b19bb1c9a70b7ea3f7d9f488ae7fa297c773ced35149ca5e05,64560
33,ce703c3b4078f848d7f4773f8b84182eab210429dff2228bf565a049ce5062bc,b3270c263b89c1f1effca65bb9a81c461f413ff7818f2e0914f273c217ea678a,108375
34,0fdbb34a21fa89cbad31ece5797019180d40fa103f8a32db6e0b550e1ebb5d46,de1d43dcaf4ec9609f1efeffc995155bc0b2c259cb1dd50f13d30689a2a968b0,155786
35,86c1e230617b5c472c47fa914dd565a0a709e35f8bec25b838fd7f1b2021cd0a,332ae659fbe668374aca25220d1859e004ff41442d9ac188c0f28c4d819d7ee7,144160
36,f23a7bd81e4483e39a3ebca11d6810c283a543019ea162ecd83f1bb63e84b4c9,c87ccd1da0d84113598326e38366a5898dec9af1ac346a788e7dfc00f60d9396,143769
37,ebf81f278a69fd8d18c57839a050379abb89815ed90644727a1fe3d96bb5569c,70895bacc5fd15a1b163e00dd714f77c095a1fdf061ea914e742c45c4f6b063f,259150
38,ac3e48dcc6645589aebb75f40d30f0ef6cae478e0352858cd31f51e38c6b4d99,07301459568fff295d4c88173bfec1a7c8c39e2b4de68d734c465d348e32dd61,64066
39,2da95713734a52a70bc5c3376f786831d91e45e57b58aa4b154b88a7c73a77c3,ddd417898b18651eebc704d38568de6e3ddda5dbdeb574d19d7a3d55d0d722f8,96550
40,ff91ede9e130658143869a13fa3ab24cc76ab570c20355946e63203242715732,8273d88ae2b8d3ad7d8b962b098dcb3e4ce9a53947345aec66fb638ddee74797,95622
41,bfe2587480adf220c4d89d7ee15319903c7e4c173c119c986b14e9f29dfddaad,84f6aa5ac8c112b5ad852ab97e8ba5f434f926d57f082dd0133e2943032b33b9,147257
42,d50ee7aed76d0c0cfc692115d46b19b8761aeef04bf16adac829858949d87c90,bc8431128d04f47a7b7b83b219356c5f76f1e5fb9dfe437c43b8b68737c889d8,142637
43,dba559698c653a0d21eb7441a4ad262b8203ae935f074b32b37a6b80125f9164,8b9fea994308f00ef3ca082c462cb1732da2164642d63b7d68db6c1b9c4d41c0,106716
44,9010937a6b020c9b3f6b4ab5ac3f476c59276d6dbfd07b41e7b0f359f265679f,2c1207acffd90b0e714f8d91a2edd96e694bf00e490de81f9ba63a29c2385ea1,33459
45,71457b75858a80f1b06252a2222be9e062ec5d03ca79c99929e83115f6c4073a,120676f5f1c1603d47a6b03011566d5cc84bb5ef1ab02091646eb02199f4d271,142508
46,bcb3b8294533425b427054629a2e20d1f08eb36f78fd3f955799d3c1013d35d8,60b8f35493b884ef1899755fe253fa96cc80e3ab2b2709f777b9ff0a45cd7dbd,191653
47,66eb4e0a0b34507ac79cfba6ae0a7a7d3859e9d9a136d55cc194c8286cc62cdb,cd14c8106e3993c74104f29556771d8998bce596ba1e26dd7f2fc11975d50bc4,135026
48,018483e557cd8cee4a583c782f6d87df6161185775ce4e8018f66a076684440f,00199c6fcbcfc1c054ecde3c800bc9684d9887a7d04a162f0c96451f5ea342b6,61972
49,6a25924fabb138bab2726e0785128194deccd39d97708e1bd4970fb36465b7d0,a09d909eba46d8734b90655f4b64f5d81b9b78497908a0548d366d04d7dc18a9,63955
50,a1c1ff3d04eaa0da4f42bc237086e5d60fe1eb951014270b99ab97685876f66e,70beb6ed1fc59ba775383d1aa139a6ad8ef284093a0fe350a5dfae52d75dca43,162763
51,3d1a8355b69f045c482a191b6537930eb3963dba4e68852d283bb46262f8a8f2,0e8fe48cd7b4d070c25b9094d753fb30cb2543874247403d1ed0c917b1390eb2,158421
52,3fead511fc0f881b705bbdba8ce323761b2cb9c1d0766d9bd559fad1a0cf51c5,fb9af09bdb28aff00fc8e21b049d94d3d00caf080b23ebae824fc5824dbbe024,72387
53,aea6cc58b9e571e1e54c3b9df21caeab70b0a27b8d7b596514dec1d976edefc5,9b3b4d9e5ee0c963eba5243dcc80496188894e0271430ab7feb578671f56f493,106515
54,877afbce73f1d77b40425cacfff190b17aaf12f627060ffa4b4f56593e338dc5,a9160d2e9087f0100eb2a02e1af60efd06d8a41742974c5d960b76e8021d9f31,66488
