1 0 0
1 1 0
2 0 0
2 0 1
2 1 0
2 1 1
2 2 0
2 2 1
3 0 0
3 0 1
3 0 3
3 0 7
3 1 0
3 1 1
3 1 3
3 1 4
3 1 5
3 1 7
3 2 0
3 2 1
3 2 2
3 2 3
3 2 6
3 2 7
3 3 0
3 3 1
3 3 3
3 3 7
4 0 1
4 0 3
4 0 7
4 0 11
4 0 12
4 0 13
4 0 15
4 0 30
4 0 31
4 0 63
4 1 0
4 1 1
4 1 3
4 1 4
4 1 5
4 1 7
4 1 11
4 1 12
4 1 13
4 1 15
4 1 20
4 1 21
4 1 22
4 1 23
4 1 30
4 1 31
4 1 52
4 1 53
4 1 55
4 1 63
4 2 0
4 2 1
4 2 2
4 2 3
4 2 6
4 2 7
4 2 10
4 2 11
4 2 12
4 2 13
4 2 14
4 2 15
4 2 30
4 2 31
4 2 32
4 2 33
4 2 34
4 2 35
4 2 38
4 2 39
4 2 42
4 2 43
4 2 44
4 2 45
4 2 46
4 2 47
4 2 62
4 2 63
4 3 0
4 3 1
4 3 3
4 3 7
4 3 8
4 3 9
4 3 11
4 3 12
4 3 13
4 3 15
4 3 24
4 3 25
4 3 26
4 3 27
4 3 30
4 3 31
4 3 56
4 3 57
4 3 59
4 3 63
4 4 0
4 4 1
4 4 3
4 4 7
4 4 11
4 4 12
4 4 13
4 4 15
4 4 30
4 4 31
5 0 7
5 0 12
5 0 13
5 0 15
5 0 30
5 0 31
5 0 63
5 0 76
5 0 77
5 0 79
5 0 86
5 0 87
5 0 94
5 0 95
5 0 116
5 0 117
5 0 119
5 0 127
5 0 222
5 0 223
5 0 235
5 0 236
5 0 237
5 0 239
5 0 254
5 0 255
5 0 507
5 0 511
5 1 4
5 1 5
5 1 7
5 1 12
5 1 13
5 1 15
5 1 20
5 1 21
5 1 22
5 1 23
5 1 30
5 1 31
5 1 52
5 1 53
5 1 55
5 1 63
5 1 76
5 1 77
5 1 79
5 1 84
5 1 85
5 1 86
5 1 87
5 1 94
5 1 95
5 1 116
5 1 117
5 1 119
5 1 127
5 1 148
5 1 149
5 1 150
5 1 151
5 1 158
5 1 159
5 1 160
5 1 161
5 1 163
5 1 164
5 1 165
5 1 167
5 1 170
5 1 171
5 1 172
5 1 173
5 1 174
5 1 175
5 1 180
5 1 181
5 1 182
5 1 183
5 1 190
5 1 191
5 1 222
5 1 223
5 1 235
5 1 236
5 1 237
5 1 239
5 1 244
5 1 245
5 1 246
5 1 247
5 1 254
5 1 255
5 1 432
5 1 433
5 1 435
5 1 436
5 1 437
5 1 439
5 1 441
5 1 443
5 1 444
5 1 445
5 1 447
5 1 507
5 1 508
5 1 509
5 1 511
5 1 948
5 1 949
5 1 951
5 1 959
5 2 1
5 2 2
5 2 3
5 2 6
5 2 7
5 2 10
5 2 11
5 2 12
5 2 13
5 2 14
5 2 15
5 2 30
5 2 31
5 2 32
5 2 33
5 2 34
5 2 35
