parent	edge_1	edge_2	edge_3	target_kind	target_index
8	20,21	22,38	23,39	base	20
8	20,21	22,38	38,39	base	24
8	20,21	23,39	38,39	base	24
8	22,38	23,39	38,39	base	9
9	18,19	20,21	36,37	base	16
9	18,19	20,21	36,38	base	12
9	18,19	20,21	37,39	base	12
9	18,19	36,37	36,38	base	22
9	18,19	36,37	37,39	base	22
9	18,19	36,38	37,39	base	3
9	2,3	18,19	20,21	base	128
9	2,3	18,19	36,37	base	80
9	2,3	18,19	36,38	base	86
9	2,3	18,19	37,39	base	86
9	2,3	20,21	36,37	base	168
9	2,3	20,21	36,38	base	118
9	2,3	20,21	37,39	base	118
9	2,3	36,37	36,38	base	89
9	2,3	36,37	37,39	base	89
9	2,3	36,38	37,39	base	92
9	20,21	36,37	36,38	base	11
9	20,21	36,37	37,39	base	11
9	20,21	36,38	37,39	base	17
9	36,37	36,38	37,39	base	8
10	18,19	20,21	36,40	base	0
10	18,19	20,21	37,41	base	0
10	18,19	20,21	40,41	base	15
10	18,19	36,40	37,41	base	4
10	18,19	36,40	40,41	base	21
10	18,19	37,41	40,41	base	21
10	2,3	18,19	20,21	base	129
10	2,3	18,19	36,40	base	85
10	2,3	18,19	37,41	base	85
10	2,3	18,19	40,41	base	79
10	2,3	20,21	36,40	base	187
10	2,3	20,21	37,41	base	187
10	2,3	20,21	40,41	base	167
10	2,3	36,40	37,41	base	95
10	2,3	36,40	40,41	base	132
10	2,3	37,41	40,41	base	132
10	20,21	36,40	37,41	base	18
10	20,21	36,40	40,41	base	24
10	20,21	37,41	40,41	base	24
10	36,40	37,41	40,41	base	7
11	0,1	20,21	24,30	base	129
11	0,1	20,21	30,39	base	130
11	0,1	20,21	38,39	base	127
11	0,1	24,30	30,39	base	167
11	0,1	24,30	38,39	base	187
11	0,1	30,39	38,39	base	166
11	0,1	5,7	20,21	base	85
11	0,1	5,7	24,30	base	94
11	0,1	5,7	30,39	base	132
11	0,1	5,7	38,39	base	95
11	20,21	24,30	30,39	base	15
11	20,21	24,30	38,39	base	0
11	20,21	30,39	38,39	base	13
11	24,30	30,39	38,39	base	24
11	5,7	20,21	24,30	base	6
11	5,7	20,21	30,39	base	21
11	5,7	20,21	38,39	base	4
11	5,7	24,30	30,39	base	9
11	5,7	24,30	38,39	base	2
11	5,7	30,39	38,39	base	7
12	0,1	19,23	19,32	base	129
12	0,1	19,23	32,38	base	130
12	0,1	19,32	32,38	base	127
12	0,1	4,5	19,23	base	167
12	0,1	4,5	19,32	base	187
12	0,1	4,5	32,38	base	166
12	0,1	4,5	6,7	base	132
12	0,1	6,7	19,23	base	79
12	0,1	6,7	19,32	base	85
12	0,1	6,7	32,38	base	77
12	19,23	19,32	32,38	base	0
12	4,5	19,23	19,32	base	20
12	4,5	19,23	32,38	base	24
12	4,5	19,32	32,38	base	18
12	4,5	6,7	19,23	base	9
12	4,5	6,7	19,32	base	2
12	4,5	6,7	32,38	base	7
12	6,7	19,23	19,32	base	6
12	6,7	19,23	32,38	base	21
12	6,7	19,32	32,38	base	4
13	0,1	20,21	20,24	base	131
13	0,1	20,21	21,25	base	131
13	0,1	20,24	21,25	base	128
13	0,1	4,5	20,21	base	169
13	0,1	4,5	20,24	base	118
13	0,1	4,5	21,25	base	118
13	0,1	4,5	6,7	base	92
13	0,1	6,7	20,21	base	78
13	0,1	6,7	20,24	base	86
13	0,1	6,7	21,25	base	86
13	20,21	20,24	21,25	base	16
13	4,5	20,21	20,24	base	11
13	4,5	20,21	21,25	base	11
13	4,5	20,24	21,25	base	19
13	4,5	6,7	20,21	base	8
13	4,5	6,7	20,24	base	1
13	4,5	6,7	21,25	base	1
13	6,7	20,21	20,24	base	22
13	6,7	20,21	21,25	base	22
13	6,7	20,24	21,25	base	5
14	0,1	22,32	23,33	base	129
14	0,1	22,32	32,33	base	130
14	0,1	23,33	32,33	base	130
14	0,1	4,5	22,32	base	187
14	0,1	4,5	23,33	base	187
14	0,1	4,5	32,33	base	166
14	0,1	4,5	6,7	base	95
14	0,1	6,7	22,32	base	85
14	0,1	6,7	23,33	base	85
14	0,1	6,7	32,33	base	77
14	22,32	23,33	32,33	base	15
14	4,5	22,32	23,33	base	20
14	4,5	22,32	32,33	base	24
14	4,5	23,33	32,33	base	24
14	4,5	6,7	22,32	base	2
14	4,5	6,7	23,33	base	2
14	4,5	6,7	32,33	base	7
14	6,7	22,32	23,33	base	6
14	6,7	22,32	32,33	base	21
14	6,7	23,33	32,33	base	21
15	0,1	30,31	30,38	base	131
15	0,1	30,31	31,39	base	131
15	0,1	30,38	31,39	base	126
15	0,1	4,5	30,31	base	168
15	0,1	4,5	30,38	base	118
15	0,1	4,5	31,39	base	118
15	0,1	4,5	6,7	base	93
15	0,1	6,7	30,31	base	80
15	0,1	6,7	30,38	base	86
15	0,1	6,7	31,39	base	86
15	30,31	30,38	31,39	base	14
15	4,5	30,31	30,38	base	11
15	4,5	30,31	31,39	base	11
15	4,5	30,38	31,39	base	17
15	4,5	6,7	30,31	base	10
15	4,5	6,7	30,38	base	1
