-240,0,0,-80,0,0,0,0,0,-240,80,0,0,0,0,0
-240,0,0,-48,0,0,0,0,0,-240,48,0,0,0,0,0
-240,0,0,-16,0,0,0,0,0,-240,16,0,0,0,0,0
-240,0,0,16,0,0,0,0,0,-240,-16,0,0,0,0,0
-240,0,0,48,0,0,0,0,0,-240,-48,0,0,0,0,0
-240,0,0,80,0,0,0,0,0,-240,-80,0,0,0,0,0
-192,0,0,-96,0,0,0,0,0,-192,96,0,0,0,0,0
-192,0,0,-64,0,0,0,0,0,-192,64,0,0,0,0,0
-192,0,0,-32,0,0,0,0,0,-192,32,0,0,0,0,0
-192,0,0,0,0,0,0,0,0,-192,0,0,0,0,0,0
-192,0,0,32,0,0,0,0,0,-192,-32,0,0,0,0,0
-192,0,0,64,0,0,0,0,0,-192,-64,0,0,0,0,0
-192,0,0,96,0,0,0,0,0,-192,-96,0,0,0,0,0
-144,0,0,-112,0,0,0,0,0,-144,112,0,0,0,0,0
-144,0,0,-80,0,0,0,0,0,-144,80,0,0,0,0,0
-144,0,0,-48,0,0,0,0,0,-144,48,0,0,0,0,0
-144,0,0,-16,0,0,0,0,0,-144,16,0,0,0,0,0
-144,0,0,0,0,0,0,0,0,0,-48,0,0,0,0,0
-144,0,0,0,0,0,0,0,0,0,-16,0,0,0,0,0
-144,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
-144,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0
-144,0,0,16,0,0,0,0,0,-144,-16,0,0,0,0,0
-144,0,0,48,0,0,0,0,0,-144,-48,0,0,0,0,0
-144,0,0,80,0,0,0,0,0,-144,-80,0,0,0,0,0
-144,0,0,112,0,0,0,0,0,-144,-112,0,0,0,0,0
-136,0,0,0,0,0,-8,0,0,0,24,0,8,0,0,0
-136,0,0,0,0,0,8,0,0,0,40,0,8,0,0,0
-120,0,0,0,0,0,-8,0,0,0,8,0,-24,0,0,0
-120,0,0,0,0,0,8,0,0,0,-8,0,-24,0,0,0
-112,0,0,0,0,0,0,0,0,0,-16,0,32,0,0,0
-112,0,0,0,0,0,0,0,0,0,0,0,-16,0,0,0
-112,0,0,0,0,0,0,0,0,0,16,0,32,0,0,0
-104,0,0,0,0,0,-8,0,0,0,-8,0,8,0,0,0
-104,0,0,0,0,0,-8,0,0,0,24,0,8,0,0,0
-104,0,0,0,0,0,8,0,0,0,-24,0,8,0,0,0
-104,0,0,0,0,0,8,0,0,0,8,0,8,0,0,0
-96,0,0,-128,0,0,0,0,0,-96,128,0,0,0,0,0
-96,0,0,-96,0,0,0,0,0,-96,96,0,0,0,0,0
-96,0,0,-64,0,0,0,0,0,-96,64,0,0,0,0,0
-96,0,0,-32,0,0,0,0,0,-96,32,0,0,0,0,0
