orbit,packings,calls1,calls2,calls3,calls4,candidates1,candidates2,candidates3,candidates4,found
1052,209,0,0,4,209,0,0,0,4,0
1053,650,0,0,17,650,0,0,0,17,0
1054,1044,0,1,26,1044,0,0,1,26,0
1055,413,0,0,12,413,0,0,0,12,0
1056,353,0,0,14,353,0,0,0,14,0
1057,529,0,0,18,529,0,0,0,18,0
1058,538,0,0,13,538,0,0,0,13,0
1059,300,0,0,14,300,0,0,0,14,0
1060,869,0,0,15,869,0,0,0,15,0
1061,148,0,0,2,148,0,0,0,2,0
1062,612,0,2,15,612,0,0,2,15,0
1063,739,0,0,22,739,0,0,0,22,0
1064,804,0,0,24,804,0,0,0,24,0
1065,379,0,0,12,379,0,0,0,12,0
1066,1088,0,1,38,1088,0,0,1,38,0
1067,188,0,0,6,188,0,0,0,6,0
1068,669,0,0,16,669,0,0,0,16,0
1069,904,0,0,29,904,0,0,0,29,0
1070,128,0,1,9,128,0,0,1,9,0
1071,913,0,0,24,913,0,0,0,24,0
1072,372,0,0,5,372,0,0,0,5,0
1073,374,0,0,11,374,0,0,0,11,0
1074,658,0,0,12,658,0,0,0,12,0
1075,652,0,0,26,652,0,0,0,26,0
1076,115,0,0,2,115,0,0,0,2,0
1077,413,0,0,9,413,0,0,0,9,0
1078,302,0,0,5,302,0,0,0,5,0
1079,403,0,0,9,403,0,0,0,9,0
1080,842,0,0,11,842,0,0,0,11,0
1081,396,0,0,9,396,0,0,0,9,0
1082,790,0,0,20,790,0,0,0,20,0
1083,830,0,0,29,830,0,0,0,29,0
1084,667,0,0,13,667,0,0,0,13,0
1085,498,0,0,21,498,0,0,0,21,0
1086,476,0,0,15,476,0,0,0,15,0
1087,137,0,0,4,137,0,0,0,4,0
1088,168,0,0,7,168,0,0,0,7,0
1089,775,0,0,26,775,0,0,0,26,0
1090,81,0,0,1,81,0,0,0,1,0
1091,748,0,0,20,748,0,0,0,20,0
1092,286,0,0,9,286,0,0,0,9,0
1093,1021,0,0,38,1021,0,0,0,38,0
1094,333,0,0,8,333,0,0,0,8,0
1095,480,0,0,8,480,0,0,0,8,0
1096,414,0,0,3,414,0,0,0,3,0
1097,358,0,0,12,358,0,0,0,12,0
1098,818,0,0,24,818,0,0,0,24,0
1099,298,0,0,9,298,0,0,0,9,0
1100,340,0,0,17,340,0,0,0,17,0
1101,476,0,0,11,476,0,0,0,11,0
1102,1013,0,0,40,1013,0,0,0,40,0
1103,499,0,0,9,499,0,0,0,9,0
1104,619,0,0,17,619,0,0,0,17,0
1105,392,0,0,7,392,0,0,0,7,0
1106,218,0,0,4,218,0,0,0,4,0
1107,523,0,0,18,523,0,0,0,18,0
1108,616,0,0,12,616,0,0,0,12,0
1109,663,0,0,13,663,0,0,0,13,0
1110,291,0,0,1,291,0,0,0,1,0
1111,98,0,0,5,98,0,0,0,5,0
1112,113,0,0,1,113,0,0,0,1,0
1113,178,0,0,8,178,0,0,0,8,0
1114,136,0,0,2,136,0,0,0,2,0
1115,817,0,0,30,817,0,0,0,30,0
1116,170,0,0,3,170,0,0,0,3,0
1117,432,0,0,10,432,0,0,0,10,0
1118,116,0,0,3,116,0,0,0,3,0
1119,85,0,0,2,85,0,0,0,2,0
1120,93,0,0,3,93,0,0,0,3,0
1121,259,0,0,2,259,0,0,0,2,0
1122,440,0,0,9,440,0,0,0,9,0
1123,178,0,0,7,178,0,0,0,7,0
1124,393,0,0,6,393,0,0,0,6,0
1125,24,0,0,1,24,0,0,0,1,0
1126,462,0,0,17,462,0,0,0,17,0
1127,559,0,0,16,559,0,0,0,16,0
1128,28,0,0,0,28,0,0,0,0,0
