index	task	whole_task_status	residual_status	clauses	cnf_sha256	residual_edgeword
27	bo1-q9-r5-c000027	UNKNOWN	SAT	28764	bd3ff1f9198d4e7d95552c9a4c56ddc3301933cfc1396e24d18ca9c119c4e5b9	1a4a082aa02ca633afb256814a83ed192c433707c6618727c1eb51657a15d930
28	bo1-q9-r5-c000028	UNKNOWN	SAT	28076	1282366b9f3e9c4fd25e59be15b9637e0d56ffa91e29e5c8e31941995dbe14f2	1e4a082454a4c80f3bac09b2bd0a58492dd64781baa07a36227b933b8121b670
29	bo1-q9-r5-c000029	UNKNOWN	SAT	28524	6bb90ff41537cd6e8d27324aaa527a909539c8f8a36cd4a3f2ecdcfd72fb1641	064e080691602c3ccd530873b301eb4f918b2e4a1e4336c09783d6bc4b01db30
30	bo1-q9-r5-c000030	UNKNOWN	SAT	27956	4c205f92ba06cbca195d64f1638584a204c4f03572d3ff88a12fa8be1903fb0c	164e088634c80a01f5a31ca345873a219c9d6186032150f79bc7564fe90476a8
31	bo1-q9-r5-c000031	UNKNOWN	SAT	27508	0ebfcd68be32824d4f7bf7914a519101905b475239ddb41b74779c327f2bc620	1e4e08cb1ce01c2b8a9559f05482852be95a1b4456c0a2be5b8590768711e4d0
32	bo1-q9-r5-c000032	UNKNOWN	SAT	27492	95487095381532ab69e3f385d2cc5486cb5b1416f9f801a25b2e7f01801642ef	164e286c916cea0ce2357060b487c520798323894b61443fadd841aa4723a790
33	bo1-q9-r5-c000033	UNKNOWN	SAT	27476	f155a941f540648880e731dd5632e0cb7ade63a2da6687d91b645f8a7488302e	0f4e0870a5102c059f552270dc84fc3acb41d0c39b41e1d124a374aee823c458
34	bo1-q9-r5-c000034	UNKNOWN	SAT	26340	5536cfb03c48b16757cc3e067d8b2ba7fc8a176d0c3d0729094984b418565cd9	0f6e281834dca018c08b3ac33c82ceead604b88c29c10dab92dd74b3642b4478
35	bo1-q9-r5-c000035	UNKNOWN	SAT	26372	d0f1c20b60a84a04654ce4fbba4bad4c0d9c434c219c8ab7043933b173364d92	1eee089614006419344b087139049f94d7c66744a940617bb9e384a73a0fdf88
36	bo1-q9-r5-c000036	UNKNOWN	SAT	27388	2fea8e44d8d89bad658a5fb5acb82fe371e23f3628d3e686c28a2294cb0c3c7c	1b5a0882f1186a149b2b06f2c401e526535cf28c66212f2a88ff1168da25cb60
37	bo1-q9-r5-c000037	UNKNOWN	SAT	27372	39c0f8dc179e82572719c838eab2cb3a550ed46a58a538685da7421d0c733661	1b1e08422c9cba3af11438d2d40bd8809bcd2148fa4172691ba3844b6e1692b8
38	bo1-q9-r5-c000038	UNKNOWN	SAT	27252	7a073dbfa35b5139042ff699ee88b33a9e8af9c4ff85a3a1eef3b2f705424dff	191e28c2b018e0044a7c4770f90783c25cca6a4b49209af1deac440dd519b478
39	bo1-q9-r5-c000039	UNKNOWN	SAT	26372	328852561911f9093a1d54a72bee9af5a628476a3072e4c426f0fbdb6dfccad9	1b5e28623d203613094b6131d68898e26b4bad830f425aa62c8ad462971aa5a0
40	bo1-q9-r5-c000040	UNKNOWN	SAT	26772	354b0a5eefd1afa5838e05b260a19e9738b0cef966b545b021568df7645bdd62	075e288795547835106d0751d6072898368097c1c5a11d1691dd50dafe2818f8
41	bo1-q9-r5-c000041	UNKNOWN	SAT	26340	06a773858588cf3cd82e41322742269f0bc9dcac38a350eaf05fb475b0ff24df	175e284c45201e08547e5731d08a892870ce3e834de0265ecbd8911bd4133a50
42	bo1-q9-r5-c000042	UNKNOWN	SAT	25924	20b3ddabf51dd3fdff2e7c2a0c11c64fba7ad93d88dcbfa202c796a3a96cd34b	1f5e28623d18342c5a2b0f924a87a28dd89813c4dc2147534746a1497304d6d8
43	bo1-q9-r5-c000043	UNKNOWN	SAT	25804	e41e8829fceff5a59b995951fb4f31bc006c6bc266dcaab089dc08a05c8cf59a	1f3e2873212c2a19a0df0cc2830a52441fc86ac1fd232a95a68750a3ae0b27d0
44	bo1-q9-r5-c000044	UNKNOWN	SAT	26116	a231a0b2b8177077ca54790ad813ff3aa2a8560ca141867b688c793935752502	19be286e3098943c35444590d68524e42f015c8849e104fe936da4954e071b68
45	bo1-q9-r5-c000045	UNKNOWN	SAT	25684	13437376cb4bb48f3c19592f2a359cc7f3c8438bf996ad82960d2e3b4323ac83	1bbe2854c8dce804a95c20b218843fa4d6d3a78908630a718663b1aaa507ff88
46	bo1-q9-r5-c000046	UNKNOWN	SAT	27148	b1acd240b9b7ad935accb30e3ba01779198c7b15028c7efe294b25a00ee0e7b2	192d288c2cc04e18ec676a10fc8e8da55c8daa8b16234ba09ec854c46724d5e0
47	bo1-q9-r5-c000047	UNKNOWN	SAT	27836	7ea567f55fcb7f43084d3c4440bf9fa91b91d066e11149885f94502134263ccc	164b082ea5e4960c575554c31208076b8987170939614f941a5fc0333f23ccb0
48	bo1-q9-r5-c000048	UNKNOWN	SAT	26684	0d4437225def081d01899427de73166ef4600afce223ef85fcf3111d1876934b	0b6f080fd5600420bab514133c8971c26d0cb882a6e3053fb2f840cdae348db0
49	bo1-q9-r5-c000049	UNKNOWN	SAT	26564	57c27bdb27723d6f999fdb22d0163073e5fb4a81cf933b4eb2885c703b4ded30	0b6b28727808ce01ed4e72804188a552bdca534b1d21aa1f601f326ada0f98c0
50	bo1-q9-r5-c000050	UNKNOWN	SAT	26116	166cf3c2662d8f583e41c85b79feed2592fcde8d7e4d05411cadf864535ea8f6	0b6f28329478d61d61574840a504d0ea198176ce83a051ed47ea86123f094b70
51	bo1-q9-r5-c000051	UNKNOWN	SAT	26236	8c527a47e190461e55a8168336fcf964e5f3f4c1fd6da4962808ec8ca15e18df	0f6f084809642e11550d1e430b070ce37e02c6ccea2240e794cf26bc5422d750
52	bo1-q9-r5-c000052	UNKNOWN	SAT	25668	e5ee220957aa8a091b1ec60cc19698557458069a7aab81db5d6dee64fc4da58b	0f6f28029cd4941c445f16a30d84d3648f52e88b096057b8b941760cc7061c70
53	bo1-q9-r5-c000053	UNKNOWN	SAT	25652	d1815d1cc1c597924e33eff8cc96fd251309c34535e46e92b81764318ff4a2d6	0b6f383809246233109a37406380bc6e955d3c490be0357ab8ba941d4f09e648
54	bo1-q9-r5-c000054	UNKNOWN	SAT	25220	bf86a424ae8bf6f97094365c4a07d005f423b7a81168e928eface2906e7a186e	0f6f3868191470129ca70be0b403a37ae0c61c48398232c9aaaf10d6562a6158
55	bo1-q9-r5-c000055	UNKNOWN	SAT	25204	169c85bee54d28fff6ec2d57d3bc88acae4332a1cf81a8e9667b181afc5bc060	0bef3851502c241cae0f45113c0916a74cc91f885840973ac739833e2b07ff88
56	bo1-q9-r5-c000056	UNKNOWN	SAT	25292	b45bff9f944e8546a6da1f70ea2d414c65bd59b65f17a013b8756f5b9521a7b7	03ff3844ed907006a4ac53a3918933383d09c782b4a0a75e46d8d29a29040fb8
57	bo1-q9-r5-c000057	UNKNOWN	SAT	27372	287d60216dd3c4f0df2873a1eee915fe19e9590f3452df992f6ca726f0f9d80d	0f34a0ae39a4e6029b163a8204812c68c5d653c59ba133dd0a2d7546fc13e4e0
58	bo1-q9-r5-c000058	UNKNOWN	SAT	27524	877b8fc41772c980dc0b244cdd1c8f8f9cdd43f97d5a829aa56e4a5802a31875	1f5280b25d2868217cc511213a03d0d8878a2dc23f01699c81cee079ba2991a8
59	bo1-q9-r5-c000059	UNKNOWN	SAT	27372	9a70f2ec26db5612b79b5130aa3e5f2e792ae10aee6f44b0aa7d6ae07813c02e	0f5490814c9c1a1aaaea09e334829e43e29239845be29546b7c5479138147cf0
60	bo1-q9-r5-c000060	UNKNOWN	SAT	26940	6b9fc9673207293655a8b8cf1007e3b71546cab24101f2afb4b623f9cd90c34b	1f54909a7598ce2071e113817b02964cd992578603a16662aa3aa524b100d6f8
61	bo1-q9-r5-c000061	UNKNOWN	SAT	27356	c0c148af0d57d8b8c262bb7d6f1db324515a9869d4c32007231fe3f901004333	0d54b03939084a30f2f21c304581667ea2817bc872c2c338e4b5513c2b1b2e40
62	bo1-q9-r5-c000062	UNKNOWN	SAT	26908	f252c3605230074d3cd30958d92e6444cde23a1d0491b20df8c2c2982ec1b302	0f54b04a044cf226f4692e80b605cd80ed86f54c0cc39748f341c1c6e70639e8
