formula	variables	clauses	cnf_bytes	cnf_sha256	proof_bytes	proof_sha256	original_total	original_core	lemmas_total	lemmas_core	rat_core	resolution_steps	solve_seconds	check_seconds
branch46-d23-q4-center-selector	13143	218388	4164451	23e88ef2fb71f0673fa9310c8381d85e86a09ce66491951340c56a7c3b084723	337136034	891e592baa16e7429ee1b8168be184a981b430dc4777411e3df81780c76d6b55	218388	7958	2659592	1228625	0	73586777	486.074	529.652
branch46-d24-cover	11545	195707	3670909	a8b8471302f5ae46f59c48145c06de218278c9b9918c0ab15e3367dae0f9a159	635810837	5110d535f1b430b2e947ba8b95a5688cbca2217c4e2a374f4251c5e7df8dcedc	195707	6921	4924048	2714294	0	138856432	1231.203	1094.320
branch46-d25	10432	183619	3433600	b75c4fad945e3ad796c8702af40a40b19ceb1cae4900fb651c35b1422b044ab6	250929662	afc556ef6a9da0cb6ee86b5c01d7a0c1693ef72989b6e6e7dcd3d4bc4c6d90d6	183619	3900	1951282	1071831	0	57208744	421.809	445.189
