orbit,packings,unsat,unknown,sat,calls,queries,options,leaves,max_calls,parent_rows
1083,454,454,0,0,959204,959186,958750,18,7754,2343829
1084,298,298,0,0,796080,796066,795782,14,6715,2196302
1085,522,522,0,0,845956,845945,845434,11,5837,2443399
1086,583,583,0,0,1176502,1176483,1175919,19,7280,2468833
1087,744,744,0,0,1295328,1295305,1294584,23,7926,2625235
1088,96,96,0,0,330114,330112,330018,2,7368,1701680
1089,804,804,0,0,1014972,1014963,1014168,9,4323,2693904
1090,122,122,0,0,414593,414575,414471,18,9525,1762695
1091,421,421,0,0,786589,786582,786168,7,5345,2362506
1092,492,492,0,0,735637,735631,735145,6,5138,2502557
1093,439,439,0,0,1021002,1020986,1020563,16,7701,2417228
1094,145,145,0,0,331843,331839,331698,4,6021,1883870
1095,711,711,0,0,1258469,1258460,1257758,9,8737,2511538
1096,533,533,0,0,930219,930214,929686,5,6597,2370345
1097,271,271,0,0,500968,500963,500697,5,5651,2157299
1098,271,271,0,0,678193,678177,677922,16,7384,1976573
1099,162,162,0,0,399504,399496,399342,8,5950,1916952
