parent	cnf_clauses	core_clauses	core_bytes	proof_bytes	cnf_sha256	core_sha256	proof_sha256
159	101878	5489	97116	214527	d4be6a20691385b6db31e350859a1dee58b355fe5c9c1c9e29bfe7d68e1bf3e4	3b3f79c88fd660e9894cfae7aef4d24744e45865ee27b62f5efaad1f61596f9b	8bdb928ae6cb97bfb387c6a5cf9f72e70d4a56dc7399fa6c36d6e46321cfb016
160	102024	4523	79759	175146	acaa8d2fbc2d755eba8216c19b1ef888a2349ff91afd93b70d19d075ddb47a64	46ebcf8a11ff78b402e1e18b87c79bfc1452b9b6f41da2991fe94106957c9102	7e8f00e1a337676f0c2cf2c3dec7019cae74a1cd0cc3d30c531c6d432627c5ed
161	102060	5309	93909	208852	7cae92dd317c9ec44817f7bf0ec1e2909b55514e88680c61858fe52c84379d3d	b26737382a5762b1ad5c5215e3cff3d38a1283e96cc15f01300dfcc1f3586a89	37cd9db4213789be7dd2385212d6eafd2483b3a9937e73ea353bc2aff6dcb2c2
162	102076	5556	99074	211919	d3e76c3eb8e24ed64a595d7ddffa649122599d958e9e3c2028121998bd559cbf	86309bba32c237d0416cb8bc26156912b2d0974939f548a4f024332087b8e6b0	1f4278fd71b9bdfd87724cfd1aa91e8777558aebf45911da8aa0069c08fafa49
163	102230	4409	77091	163746	b67bfd4e3b0f2dc48ca468b5a66e7bb981e01fab2bc02238b1f25a66ae2d7d8f	b258e169b41f6d17b4e25ad0cd863ae12e009352424d0931cdeecc8be23639fc	715ef9acd2381e6c6d1f649e300695c2e1d8c3478ff06b385b47e8d26bb97bcf
164	102266	6257	111508	248799	ee42d82e6533dc7be8e902b318744e82b5dc536444829bf85563e1f46569515f	4b52dcd46bec1cb624a6aee0a72b28163a2e3cb0a3e95a743dd25e91275d9a33	2b2a8696666621ff05fc617acc08c5eda416ddabd344faaed091d42cb1bd3d8a
165	102436	4732	83194	176829	36bb25513e1b1e9d4ae71ee79b5ddf5108cab2e27e6ce438e03176ccee4e0e06	1c33a86fbfaab202d0784929b13f301817ddb1db75b4ce7c85a2025b3315b4cb	1b506eaa5e8869127d0b47f4a4c5e1ac8ccdff0fa121b2f0479618f841640046
166	102821	4798	85073	177634	da944c303868279a75f2ddadb4164637db061973a82dbb68ef612b84472481f3	b5b0e81f5ef9eb35c83e4f1fc43d5d5174eef46f20e378af99147ba10d599293	aadf20b2f1777ebf866fbd3e57b900a3235df5d1134f15d5629b283682267f2a
167	102429	4293	75872	159461	788fb4da0eae8ee353ec16b1904c0a797923e7a84ccd766cb6444dc398efbc3c	332cd3fe2a75892b72080f39f95d7e6641cf95299e724c80675a079dc87e313b	9c1bcbbe32bf894f100a12c45bc229005d6b1b9dab85fe9499b2617647465e68
168	102410	4854	86128	186825	58233900db8934993db244ceceda7a7cc5cffd0108d7f42fdc54e867103f831a	80908d1ef4293b0a09a2429aa214c1f729c8078c1ae3c053b19171c88b13a87e	3f50480294c1f623f907e03076f9147eb2a3e6de8c74e67d193f9d5fe233dfe9
169	102570	4119	72025	157247	919646d0fc27ae0ecd438726b9ac00aa167a4b31279621963162e63acc4bb442	5746090498ad419c1c08d599b348265cc93af782984cc9a019916fcde4cb9d8a	c120d4fa9a0109bf9eceed0475b40a4c14b16f51ac8e93be5b99efba0096a288
170	103189	3601	62702	132976	5c6438fef66939b6960a28a6d2036e4bf85855764efee2c72cca74bb7692a650	55e1894dd0d7624693ae162a63d6a805f2a540998d6e52a4b55ae13f6cf39e78	eb4650cdfa35499e9e93dd41fce3fb29daa120e7974c781cac71dc19c9c79abd
171	103256	3551	63001	126107	7552dbf72df506ba295c8b146a1ccfd4a21a0b1da5117ea3b52322c995ca4221	a7ccc386dbc0349721758e1229fe9a5acc410b5d120838b1dcd2146e9a4bd699	f5f05ba3026bdde882bd15226985ff081d82db1c22ebcd0efecd5b298abd23c9
172	103226	5026	89350	191371	ef2658fe6664039097769918158b07b6de4287a193f952829273180b493ca1b8	3ae22f0aa04d158eaf3651f62ef56f8ef33e81f9adb6017f48a87fcaa146e857	0bd3a80b5109a3f1a90d2fa6f36304a1e78ded18ab0dce5b33795c4c55d3fc59
173	103467	5210	92239	206710	e0b64d74cfcee8dbc1b48500256441d972f2db649206a4c642354547ec749b61	e57d0da0c2c344119a06049d092e4d72c33c74dd69d8354259111d22f8ae4e77	7d091722e71290fb90200b153779b846316a81d9dd4735f54c443293ba6d2892
174	103302	4145	72722	155629	fdc1667cd8e5faa3d72ea3c04b76e8c17abe654e9d745ed68eb147d53a829604	5d18cb00800f6c562cc78a1ab61e95edd7c24f4d6cf6fa5fba677a0eb362e832	774d00d738c9cca5d159a28d22f169a9ec999834b3bb218a6ca7b8c792abab86
175	103509	3445	61337	124871	9b7c952eebc0a64476f4fdb7096b2e6356544f056a7c78cf5bdcb27c9596464c	8b25f2d0535e355ee7ecf5681b19c118b69f5ee4ee9cfba222958f53943f4bba	f65415529edab7d53374f657fcda7975e63e64a53249de4a533f613c4145ff36
176	103408	4001	70415	146128	1dbe869ad08952d3b92914712436f46a7ae32d7251858e56595af6842245126f	9301403845d5559a77f5d4d306f7d6bb38d8ebb5612b8230b472ff6b19b23484	1c034e56a61635a761e6d62aae6e9189c469e939366beb6297a4420df7210e98
177	103077	4450	78181	171765	d71d05526d55b39708f05ff8f6253932c1430835a45a05a594cb57c728651e3a	ec562d9c6b7712c01cb3a88e4a7f6b1a9b9a4b52bb66ccdb8ff83e80ee180760	e0acc0285f079df029ee4845b2e1b405af4258a7da29bfb0002ec224354caf36
178	103217	5125	90472	196066	5170ecd996e0a2ae8e2899e416cac0831b5769610679fea1ac490da42f8018a5	5645bd9c17a0bbf2f1ab401cbf396da7e07147c48df4bf4c499bdbbf8ae8998f	7fea694f9daeda131bc35f98da1b123fe2aaa166e517e51f68d0e5b5086630ab
179	102617	4812	85639	185036	df7f3409a402cedf8ad8cf15b819ca27be1eef7ca695a2fa629045829543b19c	7eca5858d353dcd49b999be56e257ef983ea9f00283cd9a8dec74b17ada2e7ad	6f50dda288199c5162b3a1fff7ae5225e1e9f75d2bf6cd14dbe5caf6b9d56473
180	102478	5579	98734	225654	68067babeae325389449f71941b5295e3ab749a2eeda960567348544144518a7	87a72cae79139f7fc3a829baeb82147856d40a862c0ff39d80430e86384c6029	6a48e0b95009b04c560ad552358dd67c4bf21ef2b45a46c0e65de29d8e2711b2
181	102356	4846	85565	193142	e158267c682ffedb830f230f50b9d8e6eee2152d768d600bcc7fa15703643524	f289c719b3aa0f7de56ef0e4d3ba66d43d9b431b104ccbce6a049e32399e0995	4dd68e160d9d6425b69c0ea0f4e5c87b3682de42909f3455acc01c9bb3c332b2
182	102570	5228	92980	197591	bc5d500eb88e25059923a89dcec736602953161e4c1ab3c8321080fd8c020be7	9f72e915cde8a086838657e0aa89d91bcceaddd05f20c2e2a0fe58140ebebe48	f43fbb724bf7a6fe2aa5a2db53d29fc50f81cff6c6fd4817f27ee40b9bd55450
183	102675	4277	75714	158320	030b5114bbabf84b81e5726ad9a5618b501b6722f8f173c421d6c49bda65c4c6	67b4440530a05b88197181b4bd4ad5b968ac8fc71227ee8da33f5c1ec14829cc	efea110312acf77bcefa1e84d40384647c5ac6a8574d69ae0a74e5d3cc7557b4
184	102184	4358	76424	160892	38ac479220877a56ce2150ff511df6b014541173c26360f35a1785ef8425e52c	1214aec3cdff6f1f8700642ae2f7af0af52dc3348d293b846c449696451ad164	d9610e2e882d32ee494154b49d30a2fed168078d8063b602fb6ec8c252f32a30
185	102393	4368	76620	150697	d8f4f11700812a9c23b1a25430bbc7b0e2be43fe0ba43eb28f49db728e332609	c045e6929d91bdb3f1c9f5e4b0921c39db60d965b6f647051a55a17940ef0334	b0a8d7bc487c4a53cb3a68f97a5a495b013e049712b02fe3e3827e55a85b230a
186	102593	3084	53934	108751	c9206eeb65987810118cf31d4f1db759d98aee609aace89ff7dd4872f2ae1f6c	a9c3ca9dbdeaca1ad0a8acacc8cee2b95a104a5aad7b87d6f1a944c92268a502	ef68133cf27b8b3553bccedf60a752bfd6b78b31c1de3b03a4c7846d59f33384
187	102483	4803	84722	195577	a2ef87d761b997704f442fdfd51b3f577eb9443d3b39125cc0dfb2e016c5ebd8	70b236194ee588cf8885891a25c5085241a0294238183cdb46eff9a27828989c	54a98452539f8ff55d765368a0e036f8166219fe6f762879da9446201d5a72f6
188	103038	5187	91541	198902	109d3929864d6eef24a9384100f21327d6df562da1050b440a72408d3ba3acb9	0cf54887ec8bdaefea7d2bda4ef03fed374098e76bba2481474fb6e4ea53bd2a	4ae629a462fe4b811bc851360cc1e633f8f218b7c7f9f0dca183cec66793c231
189	102793	4019	71826	149110	1ccbe6dc6b821fc9b3b7f5315066ee711311fba16e80eb048b60d153178a3b15	ba0f9285500b9704d0eed286b0ef70d34a3c0a308b7d9d93f7789a6edfebdd97	963134cd824e782e30ed427a58e8a39e4796413f3ba070e769012d6a1c3151e9
190	103501	3404	60354	128190	8a17e38500f0ed9b801fb99b525cb86c6bc89176aa99bb0e90e1cbcda25ecd4b	8a16912d1dd2ae97c0bde0126a10d4a26415146e9ff0e6c4742e0aafc5945d3a	72c32495c73a95fd43e3acaf4f6bf6ad6914267e597eeedf8b9c152f5b019ca0
191	103470	4197	73878	160815	7155e7eadce5e8d07bcc548b33d947a28e8901064cb432da9c52cb34e2dda35e	2dbd5ff4f1d20a617213975d319815ea7645f144296908d4b472f15da4049aaf	de2678a694491ae5a32ff05ab0028b15e72bbc2955c7d9075a2339bd776d6cdb
192	103478	4867	85480	184338	cc3a4fc9838b21f4376cbaf7aeda66a3f7cc7899ce97841208f81e079124b79d	3047d46b0a8ce610f26d580c05408889df19a4077b4134d4d0f354d9ba496461	f8730e15f5087c31a4a8f32cb993c4471a950a07ba902971d7dfd834484e2390
193	103485	4270	74839	161348	f4677c41e5701209fafba0bc33fec66b522afc5d5741ef26b5783cf4b1a6bd7b	2624648bd0ae647a31124e1874be7d6dae4c904c3ba012c18c5114fda063a456	f9302cc407bd3446dadc42cc1a130420437163f4eea297c5e11ddee88be28fee
194	102114	4172	73612	149460	fb366cc956a52e4335046a5768dd8b69186c01aae3ece9d8f39a85c3e94f126b	f2e1e0bb96118f4922248ab618d0546d43f39aa9579fea46777f33c86a683ad1	05350abbe2b4088f16b41d0dd98386ea03c1a08fb476d0138dffa0bf46d41627
195	102383	3780	66306	134401	47e47b085a1735ee1748881447179539b338526c83a4b1c6eca743ed3dc1ab67	42896d700982516a5a341807eb9dcfc25e49693bcb6d87380b9d3534791fae35	9c28e65d92830d517f33f4779a9b1f8bcc54196e37db4a0e7fbdcb39acd56c8a
196	101941	5196	92069	200014	71d756fca91c79aaa2cef009070389ba6c7812ece2543477b58614d5fd82fd30	f6d5796b14fbbd8c922ef14358c270f99246f8cb1a6556afc058398cecdc7d0d	8c21ba80d5931f6ba39b9f3dd40a4cf25578c74c5c1cd04d110a155e64e6ec81
197	101861	4040	70629	141379	3f150c079054172812c14c1aa1510be43679c138e308bd72dacd92f6a65451c3	dabdab5aa7ea3da3f3bddac8ba217a7303b6e514379a9b9c3e767b1d994b083f	51e36319a50fc7cba59bb3d5462196ba7ff9ff7f9f040855aaf648118aa35710
198	102013	4835	85973	178266	f623954c02c793a0025e8a9142d896ea50544126b21b4f0e6e8c0f72c12f1033	2af890a9093ca572562965be77334e250c515bfde47de770744822e378a59321	a305188f350646d40a197b40ce677c4c20f1348314f0ffbef49e93128416150f
199	102065	4197	74066	155530	bf8c9168eb5b0c042ef4ded60d765a9f3057896e19b0cd2a4cd306b5306ed637	44617b2488ebaac4e182809ebc567f560040a6be14f2dbdf727aa5de9a6688b3	659d40c241020c60a5b495fa608492aa43e720a82705c15638c93566fd6e71b2
200	102167	3583	62668	131968	d8738d75a72d8ca7153fb393e906a404eacc29f855903c8f1be8142a02e7065d	0cd4891019148c474588cab9ae5e752225e7291d8f2e8547892ee4d16e2dd39f	dac5dc06d32e90d1e612a00ed1258f1368ccbdf0370a28e40793bce0a6956166
201	102114	3835	67353	140162	9ceb1582ab5a49a4d4d64f8e5c6dfa540cd963d8d7963a1e44d2c0d2098bae24	f47c497ffa487e47ea42283243ae8da89b33dcae8308230bf7076f730ecc22f7	a3bf08b1127563c4621bb137bebb0a939511b539840ada37135a7302d6eb73de
202	102307	3972	70259	145032	06ba92a5da2efac793dec6fff8f9754807e67f36c0562c55829e355620be10b3	46fd9ec8fa5e103d25bb83c167222a75a735a6e66b0ec7ed5b452d918af28eeb	4c7f29f761cf91154c462b2aaaf57c995df962414c1c0c477ebcc8ca6bd99095
203	102282	3241	57299	115279	e06992d634d4451ace39b0b989898abe51f2483845c3d315ecbdfdb5d75750d5	ff097fcadadc783c6c385ae993ec5c6908b08268f109e96a43d0ce5f968890f5	3b889306276fff1595796686afb4324efb438fecd6576fb45edefe3e506bbd11
204	102033	4721	83608	174700	5cdf9752317887b423da00f2be9118f8b1ff1bfa98bf98a2a18c586162640411	413d52a574a6e5e7f260e30696700818e7132bc9ac5eac992f8ca4ac8a25ff6a	d13caea0fcaca4eb3db800a9877349827670dd562c534bfae2a9633ac520ce56
205	101953	3844	67048	144298	624afbac4117404dfb07a69f3f3e7be01065a383e6b363181bb641ebf8c3bb88	df0f2e8a05b4fdb243c793af17acacfe2e8c8965353585e1febec7d5cff41457	db2fa652dbe9ceac665eb0f3082a111add60693b090128e3dfa00852716cab8e
206	102302	4239	74168	151291	196dc5dd63cc6e0d0ee8642e365ec93ae00b70a162b0ad7db56e1fd0476511af	84fdd88b41b1500c6fa0fb0018b9b98576c956339419a70f06bdae0358ec3eca	7712f788471338efe3bfd054b47272fe03c7dadb0c5365ed26fb1251600a6bc8
207	102249	4236	74939	155669	726c7fa8992cc1f3a9c5138088113f6132fc9bf3834a147544fcc18bbb89be6a	ec26b8d6c4f8743bd8973710bb35630f67d720ed840c01f57318e84140b875d5	d8276d62e7885bab2244d0df213ab6aa9fd2542993c9566bb8254fde4ba03354
208	102068	5290	94353	203813	4478cbf05a40eaa472c25a7a6e11dfe874f1c95ef128c0ea8be2d0437b8caae6	c2d1fb937618264315767eb35c3fc18780e7df4a08de884f1df64cdb232a9a13	c86973c26304ae75df6e42907573e16014349c4c10f6085ee2e0a084f1ce6393
209	102027	4491	79643	158817	d2264f87cec91d6448e410ad726e146303a723567c61b92571cc6743093daba5	ae5646ad40ed233aa5025fc7fbf6e7b5cdd28e188597bf01605d0bbc6efe5fe1	2983e110ca435ff029097bdafbd088f95c5ee337cc493a56458e27f605893ede
210	102216	4038	71875	153331	3b22a1f3670bb2efeef5c22cc84e38d5c24e8fa1a24cbad8255458f8320bdfc7	8d192130a9b824612030116d8dffc617d32c243b38860ce0cd60a2e92f71c2e6	03c4700f6e9f22d36fb13a82033017fba3fe6295dd81ad620c11bb98f155a080
211	102203	4143	73325	150354	90146073bab1c3d5c361162957eaab4722d678936c8c2bdb4ce14fd412fac3e0	cb31be6f7a58145ab73985c25cb87348861f0c6b6170d959ec1e27fd1a73b8d3	f98ff26a366defa5ed555a24a4724ed72abc449093a85ca91be357943c1b0c14
212	102321	4163	74025	146052	2d6f83bbc01cf8c2555c1bd52b009c8b1d90ec7176299121cd93e3516d8f745a	334f97f0881fdf21010412fd54cc3696560a73238823279b1f87de00689004af	58373d8aa70a0a00b97e9c06b9a68d7945172774ea6371dcffa08bf12904a3f7
213	102307	3290	58419	113629	86e0a28b9effe9eac7ea6bfedc6a0d0a3b8b74bf1f6b44d00d131bcf483766ea	425ee39eebe35f2969286c82310b76670ef4ccaa5230849cc2a2b2af8b9ed997	0b433430148d921309b74f6b9abd5204d396a39b75fb912cb514cd8f287e6444
214	102485	3702	65285	128943	3807dccba7d98545e131814ed36e24be6f3fe37456238b9d12da8e490becb25d	9dd6c50e9dde409be2c53f0d6e99588ee2cfb0455bfaea5037b09d74a362b50d	dbf48cd2606f10e60d9595aed0be3e3062030b0c31521d53f6d11eeb01432f22
215	102361	3693	65651	129281	5b5893010dc9a95b2fd42d1ac7779827edc4af274f243c6af8900de5d37c18c7	598140bab65ec0578f8943557305c3f10d7317960dbd1b0c47241ddd189f5c28	b2053592c94d1525fe77115ea0e646f9dd91c10edbff52972406f8f87f9db9c3
216	102034	4443	78210	164241	856b370a19c036000e85dd380a707f0271c8c2996b3027c78d7d85a17f9a775e	6fa13aa83cf3af087386479f276e0bdc957a393df7b95131c820097717019dec	5a1686a32e681096ffeae7ee0ecc3a530207eb4cf5d074eb2ed6ed65f59278db
217	102638	2955	51576	105782	81a99163076a79e76f3a8eb664842f38fc1eb33272a77318e5fd6a7af4941b47	3aa26277e61384afa6b6392b58faf91d02ce9d265d0bc66d107ebca3162b701d	1071835145917a23fc9d5fb7447c384500c23629e8b7a28968c73027beb6450f
218	102672	3320	57693	119292	68fa134402f55835a9b1079a4e324b13e89d8215199316639d68c9eb9e974d9f	e3033017aaeab2610491337f3b6ab613f98d0c455a1bc9b15858bfba49eea084	9f7c26730b1233bdc908ba92432682e4b0b3067d9411bf42cc519ef06f771022
219	102564	3198	55359	111863	5b3b665b11012887c97d4c8fa34b39711f5550270a9ab68b053e5156f8da79b8	9f3059518376bb262583e63691576872a9b85f557eacf9623eeaff31c4309acf	c7a17b15577938a6f0fd0ee2b10a616b010d35eb876459862a9c7c144b48e5d0
220	103152	4738	83712	183155	cecca778f7e8f0d2040db42d87cba2532f500548bd53007a3293bb881444839e	4d4872274070436bd6a81a6ce7a582c0d038121337031ac13934095cb0591e8e	7bd1b25e430854088a5e0068510f5b860a56c8c3cc3c2ea934f7f0acf11d7d2f
221	103012	4045	71790	146966	0c3caa7be821122a666714ddb4b32943a569741063f1ed745cac180684c12ad7	36b9060e5ed44ba293dc6336ae7980319762a53e9e0f5e9262333c6efee6ea23	9b15ba3e2cd54869599510a6ec38d993d81a6314fb48a137a5cea27285509acd
222	103009	4954	87253	192391	02138928d53278b1b36f190fe81366005caba887aad6618919407948ae0db74a	9b4779c931be8991404f2f144f621660c7bfb004ccaebf41363ee221adfca47e	3c04677f1c4c4010772c7bdced3ee01bae8af3123baa4a8f317aee36b784db5d
223	102869	4396	77444	159647	12bad3d61a6e2614a74cdf1acabdf32ea47ab054c07254d11477dd9381c8e987	d6baa514761fa3f0378e98e80a40621c26a25d1d5cf2c1bda7105f43ee308416	1604ddf65a521d5e95b7a1204146a7274f144f183e237b94c69663a51a085f0e
224	102864	3858	68195	145311	5bcc9b4f51be524a903080acfbc5c244d3ed4aa61b813fab99d1c1b384fa87bb	d1347cef0997240369b5758e8d52d1372a5d5c82942bda731aaec42bd742ca5b	9d90cb24272d59d7080b881e6c92e6fd3ce3f2db15ca35f3fbdeee9918d07e11
225	103043	4686	82986	182874	ba49b4c31989c99cc526e9b701b5276fd82bf616d60c31f7aa8049e4c6f5b1d4	89890ba1b243d897c92d927c0469da3b50c7eb8adf2801411d16dbf735da9523	a75afc4f834edbc58498df8a7f94e9656a660ab10f4e40176d6da7a0898f4707
226	103044	5435	95587	218094	01256e3283c91d21f42e9e9ef006a544c2d5d7c538a94ffaec11437142479c86	1f1be67ca8102be2cfd99a21e575fed62f401108d7235785317bd9ccace9d55b	465c401e9d632048a95883fb4aecad4aa670890f7ddaafd5e16f350e635a4842
227	102904	4676	82923	188054	c30cd4fc6145b68cf702768c7d3106943956da57d24ba9c147917546b5064dcb	6ad83797ef80a499831fc751d086804213bc9764fe4a1d4632c181c0cf6804a2	12521c6dbb6e4f5ac7bf10e887bff83601dfa3e81ca45cd20555a4df2416f35c
228	102831	4949	87217	192548	412bff2b1fc338a20248e320a76b39f236a956af8e5c62e38bb742e6dadeea43	5cb5371e8bdf092ec3af4417f60245034f2cad59e74ea27c9e2a74d1f67023c0	5431d16cca564e7cf25c1c6615825a35052d07fbc525b60e6678d60ed579d668
229	102461	3010	52435	106976	bf253ff3090c5c958bfb492e29a7c3bd87fe88de548075c3130eea4ad1aebe93	4f55781f3a49a2c6ebf0ec5c6cb6c50c1f943a880c80be901398b24008db13d1	8b94e5fc5864ce01fc33c11091fbd45f72d05d737519cc14477dd20e10f52eaf
230	102699	3053	53782	105711	d18dc7bdc87e63d8ff2faa5f38bb910d9594ae25527e35120e52191e10024d08	679e907c54f7471b91230e872b57f03069ae77794f5eda0f1f60ae6a9fce03a9	9631af3ea26cc00d299bf887ce70ebc8876be2a2addb164b440d7333a9c152e6
231	102670	4182	73623	155012	c81014d0ee6b383c070d169aa8e5d7a676c70ec0c0f152149ae983d35d1af284	4ae82a8449d80ea803817f670fb070334dfeccaa575fede5b7ba4f6d42723aa2	c1f679fccde7acd5d0ce07b3536e2c030975678ebe206a3a517856f53c33e84a
232	102405	3800	66532	136215	99d1bbae0a764a9ce997400417a5a0000cbcefb23d5911a8ffb2a2d0883bf7aa	5c4fc5b3ab888e4950b7cb8086fbcb486e8e6e8bca1080612d0cbb9f2277ae93	036b168c47a7006a808f2305b32c15e6bbbe76694b152e340da12e6d400f4f5b
233	102339	3930	69289	138334	97bc209cfda27726b982e872061dad5bb8ecf7518fdf17637fe72a5a0b2aa174	c596cae234fc62f94e6e1874efd8fb51f88140f4eb1894617d33957939ff62f3	d11ad4e0fd5e027dc7e4cbf604fd532888e372f84eae6b8cd94869d515893ddf
234	102247	3253	56859	118372	85d0f2e5e676ab68b958a33dc29696ad064cb6d6a91ec2566c4501f9fa9c9f86	6f02ec71e302ef67dce634644b991609ddbcc104e5387555c52dcf21ef754396	35e4e64074b8037dadcfd31a8f7ffc76a094d77f2e079241ef42531e9c418cd6
