first	records	root_formulas	sat	unsat	unknown	stderr_sha256
0	273	11739	0	11739	0	7b2d92a296d1c1959483829ea0f170b11b44d5108b5478bdfdf6c36ee4572886
273	273	11739	0	11739	0	8f3130d1ba6ea0cad08b0f032668a1d1096cb035fa69ac2840ba4f422165f61f
546	272	11696	0	11696	0	dba775c41b50dde4d9fce6613a2da4516e730ed8a8e99a85d961363afe8c8aed
818	272	11696	0	11696	0	771b94078eb47d1f687fd147d85cb05507c9eaeb7f453ce6a3d2b604fd935342
1090	272	11696	0	11696	0	2d3693a7f153521a9d4eddeba413fc2ae07fcacc9edd8b9dad97f9c4158c1967
1362	272	11696	0	11696	0	62b6c0cdef832acd3b8d48e051f296e819c5ccbdeececde18d7f971a12e7e993
1634	272	11696	0	11696	0	0562a4d8143bd4e1941d70a6fe0d61d330423306664e3583d96fd86526c5d594
1906	272	11696	0	11696	0	39b845b8aeffc28f60e67d699d00296c2f1346159ddc0c4e5ee0f710986f34c5
TOTAL	2178	93654	0	93654	0	-
