case	empty_count	variables	clauses	added_clauses	status	solve_seconds	cnf_bytes	cnf_sha256
e2	2	320	364103	8	UNKNOWN	90.350155	14841531	97a6647537ff6631e988832ede8c9806a4885d7637d719509ffd58bdee5b345d
e3	3	320	364108	13	UNKNOWN	90.356283	14841553	b8ca6084dd41450d921b74754d422e2546e7c57b9968122a5e82bceaac9573fe
e4	4	320	364114	19	UNKNOWN	90.411669	14841581	1753bc6de7d66b87d7279d4176c00f192e8454773928879fe4ce401b1be8a1c8
