formula	variables	clauses	cnf_bytes	cnf_sha256	proof_bytes	proof_sha256	original_core	original_total	lemma_core	lemma_total	resolution_steps	rat_core	verification_seconds
branch45-d25	10432	183619	3433600	65015fa6405fb52dcc859a52f3b931152dc6b387c029832e70813cd513aa6d7b	328754589	ca68654fa9e7357eb93227ba8486a3810aae2ae548323ff344252a029b2efc8a	3943	183619	1236901	2201099	58349717	0	761.565
branch45-d24-couple-selector	11406	193737	3644233	f8d3d640e937edc733e3378ff3c3886137c32817e7efe54ab05891745782ef3d	1041586413	37d190349aceeaadf7fb9f2007c5ddad53ffaac67894425f76452a3ba0743bc0	5041	193737	3530724	5900474	183919954	0	2187.936
branch53-d25	10432	183619	3433600	10283e81fd79d35c2cecc45d79506cd0c87b3ba7a82ad34854e03d7bfbdc8be9	382387319	47b29bcc0f6c3d1c540bfa44d48889ad1bba4c52228993344c1dffceb1c1c0e8	4003	183619	1447358	2448223	76834076	0	714.153
branch53-d24-couple-selector	11531	195487	3668040	4eb97680c952d41a5ce5a7e654d0fd7ddc7fc148cf6ad83b73f0991b8a1d1045	1060761917	8a21c45febc039efb7afe5da3a556473488e444724245fcb672c0d5a77ac17c7	6790	195487	4094255	6257380	211554443	0	2344.211
