component	complement_component	orientation	catalog_index
1	0	complement	113
1	0	complement	114
1	0	complement	115
1	0	complement	116
1	0	complement	117
1	0	complement	118
1	0	complement	119
1	0	complement	120
1	0	complement	121
1	0	complement	122
1	0	complement	123
1	0	complement	124
1	0	complement	125
1	0	complement	126
1	0	complement	127
1	0	complement	128
1	0	complement	129
1	0	complement	130
1	0	complement	131
1	0	complement	132
1	0	complement	133
1	0	complement	134
1	0	complement	135
1	0	complement	136
1	0	complement	137
1	0	complement	138
1	0	complement	139
1	0	complement	140
1	0	complement	141
1	0	complement	142
1	0	complement	143
1	0	complement	144
1	0	complement	145
1	0	complement	146
1	0	complement	147
1	0	complement	148
1	0	complement	149
1	0	complement	150
1	0	complement	151
1	0	complement	152
1	0	complement	153
1	0	complement	154
1	0	complement	155
1	0	complement	156
1	0	complement	157
1	0	complement	158
1	0	complement	159
1	0	complement	160
1	0	complement	161
1	0	complement	162
1	0	complement	163
1	0	complement	164
1	0	complement	165
1	0	complement	166
1	0	complement	167
1	0	complement	168
1	0	complement	169
1	0	complement	179
1	0	complement	180
1	0	complement	181
1	0	complement	182
1	0	complement	183
1	0	complement	184
1	0	complement	185
1	0	complement	186
1	0	complement	187
1	0	complement	189
1	0	complement	194
1	0	complement	195
1	0	complement	196
1	0	complement	197
1	0	complement	198
1	0	complement	199
1	0	complement	200
1	0	complement	201
1	0	complement	202
1	0	complement	203
1	0	complement	204
1	0	complement	205
1	0	complement	206
1	0	complement	207
1	0	complement	208
1	0	complement	209
1	0	complement	210
1	0	complement	211
1	0	complement	212
1	0	complement	213
1	0	complement	214
1	0	complement	215
1	0	complement	216
1	0	complement	217
1	0	complement	218
1	0	complement	219
1	0	complement	220
1	0	complement	221
1	0	complement	222
1	0	complement	223
1	0	complement	224
1	0	complement	226
1	0	complement	227
1	0	complement	228
1	0	complement	229
1	0	complement	230
1	0	complement	231
1	0	complement	232
1	0	complement	233
1	0	complement	234
1	0	complement	235
1	0	complement	236
1	0	complement	237
1	0	complement	238
1	0	complement	239
1	0	complement	240
1	0	complement	241
1	0	complement	242
1	0	complement	243
1	0	complement	244
1	0	complement	245
1	0	complement	246
1	0	complement	247
1	0	complement	248
1	0	complement	249
1	0	complement	250
1	0	complement	251
1	0	complement	252
1	0	complement	257
1	0	complement	258
1	0	complement	283
1	0	complement	284
1	0	complement	286
1	0	complement	287
1	0	complement	295
1	0	complement	296
1	0	complement	297
1	0	complement	298
1	0	complement	299
1	0	complement	300
1	0	complement	301
1	0	complement	302
1	0	complement	303
1	0	complement	304
1	0	complement	306
1	0	complement	307
1	0	complement	308
1	0	complement	309
1	0	complement	310
1	0	complement	311
1	0	complement	312
1	0	complement	313
1	0	complement	314
1	0	complement	315
1	0	complement	316
1	0	complement	317
1	0	complement	318
1	0	complement	319
1	0	complement	320
1	0	complement	321
1	0	complement	322
1	0	complement	323
1	0	complement	324
1	0	complement	325
2	3	base	172
2	3	base	173
2	3	base	174
2	3	base	175
2	3	base	176
2	3	base	178
2	3	base	255
2	3	base	256
2	3	base	259
2	3	base	260
2	3	base	261
2	3	base	262
2	3	base	263
2	3	base	264
2	3	base	265
2	3	base	266
2	3	base	267
2	3	base	268
2	3	base	269
2	3	base	270
2	3	base	272
2	3	base	273
2	3	base	274
2	3	base	275
2	3	base	276
2	3	base	277
2	3	base	278
2	3	base	279
2	3	base	280
2	3	base	281
2	3	base	282
2	3	base	285
2	3	base	288
2	3	base	289
2	3	base	290
2	3	base	291
2	3	base	292
2	3	base	293
2	3	base	326
2	3	base	327
3	2	complement	172
3	2	complement	173
3	2	complement	174
3	2	complement	175
3	2	complement	176
3	2	complement	178
3	2	complement	255
3	2	complement	256
3	2	complement	259
3	2	complement	260
3	2	complement	261
3	2	complement	262
3	2	complement	263
3	2	complement	264
3	2	complement	265
3	2	complement	266
3	2	complement	267
3	2	complement	268
3	2	complement	269
3	2	complement	270
3	2	complement	272
3	2	complement	273
3	2	complement	274
3	2	complement	275
3	2	complement	276
3	2	complement	277
3	2	complement	278
3	2	complement	279
3	2	complement	280
3	2	complement	281
3	2	complement	282
3	2	complement	285
3	2	complement	288
3	2	complement	289
3	2	complement	290
3	2	complement	291
3	2	complement	292
3	2	complement	293
3	2	complement	326
3	2	complement	327
4	5	base	39
4	5	base	41
4	5	base	170
4	5	base	171
4	5	base	177
4	5	base	188
4	5	base	225
4	5	base	253
4	5	base	254
4	5	base	271
4	5	base	294
4	5	base	305
5	4	complement	39
5	4	complement	41
5	4	complement	170
5	4	complement	171
5	4	complement	177
5	4	complement	188
5	4	complement	225
5	4	complement	253
5	4	complement	254
5	4	complement	271
5	4	complement	294
5	4	complement	305
6	7	base	190
6	7	base	191
6	7	base	192
6	7	base	193
7	6	complement	190
7	6	complement	191
7	6	complement	192
7	6	complement	193
