counts_18_to_24	M	W	split_count	status	edge_counts	half_counts	multipliers
1,0,2,39,0,1,0	219	39	2	excluded	-	-	3,0,2
1,0,2,38,2,0,0	219	33	3	feasible	2,0,0,4,0	-	-
1,0,2,36,4,0,0	220	39	5	feasible	1,0,1,4,0	-	-
1,0,3,38,1,0,0	218	33	3	feasible	2,0,2,3	-	-
1,0,3,36,3,0,0	219	39	5	feasible	1,0,3,6,0	-	-
1,0,4,38,0,0,0	217	33	2	feasible	3,2	-	-
1,0,4,36,2,0,0	218	39	5	feasible	2,0,4,6,0	-	-
1,0,5,36,1,0,0	217	39	4	feasible	3,0,5,4	-	-
1,0,6,36,0,0,0	216	39	2	feasible	4,6	-	-
1,1,0,41,0,0,0	218	33	1	feasible	1	-	-
1,1,0,39,2,0,0	219	39	2	feasible	1,1,1,0	-	-
1,1,1,39,1,0,0	218	39	3	feasible	1,1,1,0,0,0	-	-
1,1,2,39,0,0,0	217	39	2	feasible	1,1,1,1	-	-
