a2	a3	a4	b2	b3	b4	common	low_triple	paired_rhs	edge_rows
3	3	8	5	7	2	2	8	83	153
3	4	7	5	6	3	2	8	81	153
4	2	8	4	8	2	2	8	84	153
4	3	7	4	7	3	2	8	82	153
4	4	6	4	6	4	2	8	80	153
5	2	7	3	8	3	2	8	83	153
5	3	6	3	7	4	2	8	81	153
